index,doppler_offset,measured_freq,timestamp
0,2835.2936936339,145882835.2936936319,2018-01-13T16:12:01.862011Z
1,2834.9209003815,145882834.9209004045,2018-01-13T16:12:01.962011Z
2,2834.5478695298,145882834.5478695333,2018-01-13T16:12:02.062011Z
3,2834.1746010788,145882834.1746010780,2018-01-13T16:12:02.162011Z
4,2833.8010950286,145882833.8010950387,2018-01-13T16:12:02.262011Z
5,2833.4271137798,145882833.4271138012,2018-01-13T16:12:02.362011Z
6,2833.0528949318,145882833.0528949201,2018-01-13T16:12:02.462011Z
7,2832.6784384845,145882832.6784384847,2018-01-13T16:12:02.562011Z
8,2832.3037444379,145882832.3037444353,2018-01-13T16:12:02.662011Z
9,2831.9285751928,145882831.9285751879,2018-01-13T16:12:02.762011Z
10,2831.5531683485,145882831.5531683564,2018-01-13T16:12:02.862011Z
11,2831.1772863056,145882831.1772862971,2018-01-13T16:12:02.962011Z
12,2830.8014042626,145882830.8014042675,2018-01-13T16:12:03.062011Z
13,2830.4250470212,145882830.4250470102,2018-01-13T16:12:03.162011Z
14,2830.0482145812,145882830.0482145846,2018-01-13T16:12:03.262011Z
15,2829.6713821412,145882829.6713821590,2018-01-13T16:12:03.362011Z
16,2829.2940745027,145882829.2940745056,2018-01-13T16:12:03.462011Z
17,2828.9162916656,145882828.9162916839,2018-01-13T16:12:03.562011Z
18,2828.5385088286,145882828.5385088325,2018-01-13T16:12:03.662011Z
19,2828.1602507930,145882828.1602508128,2018-01-13T16:12:03.762011Z
20,2827.7817551581,145882827.7817551792,2018-01-13T16:12:03.862011Z
21,2827.4027843247,145882827.4027843177,2018-01-13T16:12:03.962011Z
22,2827.0238134913,145882827.0238135159,2018-01-13T16:12:04.062011Z
23,2826.6441298601,145882826.6441298723,2018-01-13T16:12:04.162011Z
24,2826.2644462289,145882826.2644462287,2018-01-13T16:12:04.262011Z
25,2825.8842873991,145882825.8842874169,2018-01-13T16:12:04.362011Z
26,2825.5038909701,145882825.5038909614,2018-01-13T16:12:04.462011Z
27,2825.1232569418,145882825.1232569516,2018-01-13T16:12:04.562011Z
28,2824.7421477150,145882824.7421477139,2018-01-13T16:12:04.662011Z
29,2824.3608008889,145882824.3608008921,2018-01-13T16:12:04.762011Z
30,2823.9792164636,145882823.9792164862,2018-01-13T16:12:04.862011Z
31,2823.5971568397,145882823.5971568227,2018-01-13T16:12:04.962011Z
32,2823.2148596165,145882823.2148596346,2018-01-13T16:12:05.062011Z
33,2822.8323247941,145882822.8323248029,2018-01-13T16:12:05.162011Z
34,2822.4493147731,145882822.4493147731,2018-01-13T16:12:05.262011Z
35,2822.0663047522,145882822.0663047731,2018-01-13T16:12:05.362011Z
36,2821.6825819334,145882821.6825819314,2018-01-13T16:12:05.462011Z
37,2821.2988591146,145882821.2988591194,2018-01-13T16:12:05.562011Z
38,2820.9146610973,145882820.9146611094,2018-01-13T16:12:05.662011Z
39,2820.5299878814,145882820.5299879014,2018-01-13T16:12:05.762011Z
40,2820.1453146656,145882820.1453146935,2018-01-13T16:12:05.862011Z
41,2819.7601662512,145882819.7601662576,2018-01-13T16:12:05.962011Z
42,2819.3747802376,145882819.3747802675,2018-01-13T16:12:06.062011Z
43,2818.9889190254,145882818.9889190495,2018-01-13T16:12:06.162011Z
44,2818.6028202139,145882818.6028202176,2018-01-13T16:12:06.262011Z
45,2818.2164838032,145882818.2164838016,2018-01-13T16:12:06.362011Z
46,2817.8296721939,145882817.8296721876,2018-01-13T16:12:06.462011Z
47,2817.4428605846,145882817.4428605735,2018-01-13T16:12:06.562011Z
48,2817.0553361776,145882817.0553361773,2018-01-13T16:12:06.662011Z
49,2816.6678117705,145882816.6678117514,2018-01-13T16:12:06.762011Z
50,2816.2798121649,145882816.2798121572,2018-01-13T16:12:06.862011Z
