index,doppler_offset,measured_freq,timestamp
0,2213.6905263328,145882213.6905263364,2018-01-13T16:12:01.862011Z
1,2212.7897875056,145882212.7897875011,2018-01-13T16:12:01.962011Z
2,2211.8883358805,145882211.8883358836,2018-01-13T16:12:02.062011Z
3,2210.9861714577,145882210.9861714542,2018-01-13T16:12:02.162011Z
4,2210.0832942371,145882210.0832942426,2018-01-13T16:12:02.262011Z
5,2209.1797042186,145882209.1797042191,2018-01-13T16:12:02.362011Z
6,2208.2754014023,145882208.2754014134,2018-01-13T16:12:02.462011Z
7,2207.3703857883,145882207.3703857660,2018-01-13T16:12:02.562011Z
8,2206.4646573764,145882206.4646573663,2018-01-13T16:12:02.662011Z
9,2205.5582161667,145882205.5582161546,2018-01-13T16:12:02.762011Z
10,2204.6510621592,145882204.6510621607,2018-01-13T16:12:02.862011Z
11,2203.7431953540,145882203.7431953549,2018-01-13T16:12:02.962011Z
12,2202.8346157509,145882202.8346157372,2018-01-13T16:12:03.062011Z
13,2201.9253233500,145882201.9253233373,2018-01-13T16:12:03.162011Z
14,2201.0153181513,145882201.0153181553,2018-01-13T16:12:03.262011Z
15,2200.1046001548,145882200.1046001613,2018-01-13T16:12:03.362011Z
16,2199.1931693604,145882199.1931693554,2018-01-13T16:12:03.462011Z
17,2198.2807881690,145882198.2807881832,2018-01-13T16:12:03.562011Z
18,2197.3679317791,145882197.3679317534,2018-01-13T16:12:03.662011Z
19,2196.4543625914,145882196.4543626010,2018-01-13T16:12:03.762011Z
20,2195.5400806058,145882195.5400806069,2018-01-13T16:12:03.862011Z
21,2194.6250858225,145882194.6250858009,2018-01-13T16:12:03.962011Z
22,2193.7091406421,145882193.7091406286,2018-01-13T16:12:04.062011Z
23,2192.7927202631,145882192.7927202582,2018-01-13T16:12:04.162011Z
24,2191.8755870864,145882191.8755870759,2018-01-13T16:12:04.262011Z
25,2190.9575035125,145882190.9575035274,2018-01-13T16:12:04.362011Z
26,2190.0389447401,145882190.0389447510,2018-01-13T16:12:04.462011Z
27,2189.1196731700,145882189.1196731627,2018-01-13T16:12:04.562011Z
28,2188.1994512027,145882188.1994512081,2018-01-13T16:12:04.662011Z
29,2187.2787540369,145882187.2787540257,2018-01-13T16:12:04.762011Z
30,2186.3571064741,145882186.3571064770,2018-01-13T16:12:04.862011Z
31,2185.4347461134,145882185.4347461164,2018-01-13T16:12:04.962011Z
32,2184.5119105542,145882184.5119105577,2018-01-13T16:12:05.062011Z
33,2183.5881245979,145882183.5881246030,2018-01-13T16:12:05.162011Z
34,2182.6636258438,145882182.6636258364,2018-01-13T16:12:05.262011Z
35,2181.7384142919,145882181.7384142876,2018-01-13T16:12:05.362011Z
36,2180.8127275415,145882180.8127275407,2018-01-13T16:12:05.462011Z
37,2179.8860903940,145882179.8860903978,2018-01-13T16:12:05.562011Z
38,2178.9587404487,145882178.9587404728,2018-01-13T16:12:05.662011Z
39,2178.0306777055,145882178.0306777060,2018-01-13T16:12:05.762011Z
