index,doppler_offset,measured_freq,timestamp
0,2188.1448033709,145882188.1448033750,2018-01-13T16:12:01.862011Z
1,2187.2236310066,145882187.2236310244,2018-01-13T16:12:01.962011Z
2,2186.3019834437,145882186.3019834459,2018-01-13T16:12:02.062011Z
3,2185.3796230831,145882185.3796230853,2018-01-13T16:12:02.162011Z
4,2184.4565499246,145882184.4565499127,2018-01-13T16:12:02.262011Z
5,2183.5325263690,145882183.5325263739,2018-01-13T16:12:02.362011Z
6,2182.6080276150,145882182.6080276072,2018-01-13T16:12:02.462011Z
7,2181.6828160631,145882181.6828160882,2018-01-13T16:12:02.562011Z
8,2180.7566541141,145882180.7566541135,2018-01-13T16:12:02.662011Z
9,2179.8300169666,145882179.8300169706,2018-01-13T16:12:02.762011Z
10,2178.9024294220,145882178.9024294317,2018-01-13T16:12:02.862011Z
11,2177.9741290796,145882177.9741290808,2018-01-13T16:12:02.962011Z
12,2177.0451159394,145882177.0451159477,2018-01-13T16:12:03.062011Z
13,2176.1156276007,145882176.1156275868,2018-01-13T16:12:03.162011Z
14,2175.1851888649,145882175.1851888597,2018-01-13T16:12:03.262011Z
15,2174.2540373313,145882174.2540373206,2018-01-13T16:12:03.362011Z
16,2173.3221729999,145882173.3221729994,2018-01-13T16:12:03.462011Z
17,2172.3895958706,145882172.3895958662,2018-01-13T16:12:03.562011Z
18,2171.4560683444,145882171.4560683370,2018-01-13T16:12:03.662011Z
19,2170.5220656195,145882170.5220656097,2018-01-13T16:12:03.762011Z
20,2169.5873500969,145882169.5873501003,2018-01-13T16:12:03.862011Z
21,2168.6516841772,145882168.6516841948,2018-01-13T16:12:03.962011Z
22,2167.7155430589,145882167.7155430615,2018-01-13T16:12:04.062011Z
23,2166.7784515436,145882166.7784515321,2018-01-13T16:12:04.162011Z
24,2165.8408848297,145882165.8408848345,2018-01-13T16:12:04.262011Z
25,2164.9023677188,145882164.9023677409,2018-01-13T16:12:04.362011Z
26,2163.9631378101,145882163.9631378055,2018-01-13T16:12:04.462011Z
27,2163.0231951035,145882163.0231950879,2018-01-13T16:12:04.562011Z
28,2162.0825395992,145882162.0825395882,2018-01-13T16:12:04.662011Z
29,2161.1411712970,145882161.1411713064,2018-01-13T16:12:04.762011Z
30,2160.1988525978,145882160.1988525987,2018-01-13T16:12:04.862011Z
31,2159.2560587000,145882159.2560586929,2018-01-13T16:12:04.962011Z
32,2158.3125520044,145882158.3125520051,2018-01-13T16:12:05.062011Z
33,2157.3680949118,145882157.3680949211,2018-01-13T16:12:05.162011Z
34,2156.4231626206,145882156.4231626093,2018-01-13T16:12:05.262011Z
35,2155.4772799323,145882155.4772799313,2018-01-13T16:12:05.362011Z
