index,doppler_offset,measured_freq,timestamp
0,2162.5974172142,145882162.5974172056,2018-01-13T16:12:01.862011Z
1,2161.6558113128,145882161.6558113098,2018-01-13T16:12:01.962011Z
2,2160.7132550143,145882160.7132550180,2018-01-13T16:12:02.062011Z
3,2159.7699859180,145882159.7699859142,2018-01-13T16:12:02.162011Z
4,2158.8260040238,145882158.8260040283,2018-01-13T16:12:02.262011Z
5,2157.8813093319,145882157.8813093305,2018-01-13T16:12:02.362011Z
6,2156.9359018422,145882156.9359018207,2018-01-13T16:12:02.462011Z
7,2155.9897815547,145882155.9897815585,2018-01-13T16:12:02.562011Z
8,2155.0429484693,145882155.0429484546,2018-01-13T16:12:02.662011Z
9,2154.0951649869,145882154.0951649845,2018-01-13T16:12:02.762011Z
10,2153.1469063060,145882153.1469063163,2018-01-13T16:12:02.862011Z
11,2152.1976972279,145882152.1976972222,2018-01-13T16:12:02.962011Z
12,2151.2477753521,145882151.2477753460,2018-01-13T16:12:03.062011Z
13,2150.2971406785,145882150.2971406877,2018-01-13T16:12:03.162011Z
14,2149.3457932070,145882149.3457932174,2018-01-13T16:12:03.262011Z
15,2148.3937329378,145882148.3937329352,2018-01-13T16:12:03.362011Z
16,2147.4409598707,145882147.4409598708,2018-01-13T16:12:03.462011Z
17,2146.4872364066,145882146.4872364104,2018-01-13T16:12:03.562011Z
18,2145.5330377440,145882145.5330377221,2018-01-13T16:12:03.662011Z
19,2144.5778886842,145882144.5778886676,2018-01-13T16:12:03.762011Z
20,2143.6220268267,145882143.6220268309,2018-01-13T16:12:03.862011Z
21,2142.6656897706,145882142.6656897664,2018-01-13T16:12:03.962011Z
22,2141.7081647182,145882141.7081647217,2018-01-13T16:12:04.062011Z
23,2140.7501644672,145882140.7501644492,2018-01-13T16:12:04.162011Z
24,2139.7914514185,145882139.7914514244,2018-01-13T16:12:04.262011Z
25,2138.8317879726,145882138.8317879736,2018-01-13T16:12:04.362011Z
26,2137.8716493282,145882137.8716493249,2018-01-13T16:12:04.462011Z
27,2136.9105602868,145882136.9105602801,2018-01-13T16:12:04.562011Z
28,2135.9487584475,145882135.9487584531,2018-01-13T16:12:04.662011Z
29,2134.9862438105,145882134.9862438142,2018-01-13T16:12:04.762011Z
