index,doppler_offset,measured_freq,timestamp
0,2157.3307918266,145882157.3307918310,2018-01-13T16:12:01.862011Z
1,2156.3846715391,145882156.3846715391,2018-01-13T16:12:01.962011Z
2,2155.4380760530,145882155.4380760491,2018-01-13T16:12:02.062011Z
3,2154.4905301699,145882154.4905301630,2018-01-13T16:12:02.162011Z
4,2153.5420338896,145882153.5420338809,2018-01-13T16:12:02.262011Z
5,2152.5930624109,145882152.5930624306,2018-01-13T16:12:02.362011Z
6,2151.6433781343,145882151.6433781385,2018-01-13T16:12:02.462011Z
7,2150.6927434607,145882150.6927434802,2018-01-13T16:12:02.562011Z
8,2149.7416335885,145882149.7416335940,2018-01-13T16:12:02.662011Z
9,2148.7895733193,145882148.7895733118,2018-01-13T16:12:02.762011Z
10,2147.8368002522,145882147.8368002474,2018-01-13T16:12:02.862011Z
11,2146.8833143874,145882146.8833143711,2018-01-13T16:12:02.962011Z
12,2145.9291157247,145882145.9291157424,2018-01-13T16:12:03.062011Z
13,2144.9742042642,145882144.9742042720,2018-01-13T16:12:03.162011Z
14,2144.0185800060,145882144.0185799897,2018-01-13T16:12:03.262011Z
15,2143.0620053506,145882143.0620053411,2018-01-13T16:12:03.362011Z
16,2142.1049554967,145882142.1049554944,2018-01-13T16:12:03.462011Z
17,2141.1469552458,145882141.1469552517,2018-01-13T16:12:03.562011Z
18,2140.1882421970,145882140.1882421970,2018-01-13T16:12:03.662011Z
19,2139.2288163504,145882139.2288163602,2018-01-13T16:12:03.762011Z
20,2138.2686777060,145882138.2686776817,2018-01-13T16:12:03.862011Z
21,2137.3075886646,145882137.3075886369,2018-01-13T16:12:03.962011Z
22,2136.3460244246,145882136.3460244238,2018-01-13T16:12:04.062011Z
23,2135.3835097875,145882135.3835097849,2018-01-13T16:12:04.162011Z
24,2134.4205199519,145882134.4205199480,2018-01-13T16:12:04.262011Z
25,2133.4565797193,145882133.4565797150,2018-01-13T16:12:04.362011Z
26,2132.4919266888,145882132.4919266701,2018-01-13T16:12:04.462011Z
27,2131.5263232612,145882131.5263232589,2018-01-13T16:12:04.562011Z
28,2130.5602446351,145882130.5602446198,2018-01-13T16:12:04.662011Z
29,2129.5932156120,145882129.5932155848,2018-01-13T16:12:04.762011Z
30,2128.6257113903,145882128.6257113814,2018-01-13T16:12:04.862011Z
31,2127.6572567715,145882127.6572567821,2018-01-13T16:12:04.962011Z
32,2126.6880893549,145882126.6880893707,2018-01-13T16:12:05.062011Z
33,2125.7182091405,145882125.7182091475,2018-01-13T16:12:05.162011Z
34,2124.7473785291,145882124.7473785281,2018-01-13T16:12:05.262011Z
35,2123.7760727191,145882123.7760727108,2018-01-13T16:12:05.362011Z
36,2122.8038165120,145882122.8038164973,2018-01-13T16:12:05.462011Z
37,2121.8308475071,145882121.8308475018,2018-01-13T16:12:05.562011Z
38,2120.8571657044,145882120.8571657240,2018-01-13T16:12:05.662011Z
39,2119.8827711039,145882119.8827711046,2018-01-13T16:12:05.762011Z
40,2118.9076637056,145882118.9076637030,2018-01-13T16:12:05.862011Z
41,2117.9316059102,145882117.9316059053,2018-01-13T16:12:05.962011Z
42,2116.9548353171,145882116.9548353255,2018-01-13T16:12:06.062011Z
43,2115.9773519261,145882115.9773519337,2018-01-13T16:12:06.162011Z
44,2114.9991557373,145882114.9991557598,2018-01-13T16:12:06.262011Z
45,2114.0202467507,145882114.0202467442,2018-01-13T16:12:06.362011Z
46,2113.0403873670,145882113.0403873622,2018-01-13T16:12:06.462011Z
47,2112.0600527848,145882112.0600527823,2018-01-13T16:12:06.562011Z
48,2111.0787678055,145882111.0787678063,2018-01-13T16:12:06.662011Z
49,2110.0967700284,145882110.0967700183,2018-01-13T16:12:06.762011Z
50,2109.1140594535,145882109.1140594482,2018-01-13T16:12:06.862011Z
51,2108.1303984816,145882108.1303984821,2018-01-13T16:12:06.962011Z
52,2107.1462623111,145882107.1462623179,2018-01-13T16:12:07.062011Z
53,2106.1611757435,145882106.1611757576,2018-01-13T16:12:07.162011Z
54,2105.1753763781,145882105.1753763855,2018-01-13T16:12:07.262011Z
55,2104.1886266157,145882104.1886266172,2018-01-13T16:12:07.362011Z
56,2103.2014016547,145882103.2014016509,2018-01-13T16:12:07.462011Z
