index,doppler_offset,measured_freq,timestamp
0,2099.9522316567,145882099.9522316456,2018-01-13T16:12:01.862011Z
1,2098.9555027249,145882098.9555027187,2018-01-13T16:12:01.962011Z
2,2097.9580609954,145882097.9580609798,2018-01-13T16:12:02.062011Z
3,2096.9599064680,145882096.9599064589,2018-01-13T16:12:02.162011Z
4,2095.9608015436,145882095.9608015418,2018-01-13T16:12:02.262011Z
5,2094.9612214206,145882094.9612214267,2018-01-13T16:12:02.362011Z
6,2093.9606909006,145882093.9606908858,2018-01-13T16:12:02.462011Z
7,2092.9592099835,145882092.9592100084,2018-01-13T16:12:02.562011Z
8,2091.9572538678,145882091.9572538435,2018-01-13T16:12:02.662011Z
9,2090.9543473551,145882090.9543473721,2018-01-13T16:12:02.762011Z
10,2089.9507280446,145882089.9507280588,2018-01-13T16:12:02.862011Z
11,2088.9463959362,145882088.9463959336,2018-01-13T16:12:02.962011Z
12,2087.9411134308,145882087.9411134422,2018-01-13T16:12:03.062011Z
13,2086.9351181276,145882086.9351181090,2018-01-13T16:12:03.162011Z
14,2085.9284100266,145882085.9284100235,2018-01-13T16:12:03.262011Z
15,2084.9209891278,145882084.9209891260,2018-01-13T16:12:03.362011Z
16,2083.9126178319,145882083.9126178324,2018-01-13T16:12:03.462011Z
17,2082.9035337382,145882082.9035337567,2018-01-13T16:12:03.562011Z
18,2081.8937368467,145882081.8937368393,2018-01-13T16:12:03.662011Z
19,2080.8832271573,145882080.8832271695,2018-01-13T16:12:03.762011Z
20,2079.8717670709,145882079.8717670739,2018-01-13T16:12:03.862011Z
21,2078.8595941867,145882078.8595941961,2018-01-13T16:12:03.962011Z
22,2077.8467085047,145882077.8467085063,2018-01-13T16:12:04.062011Z
23,2076.8328724257,145882076.8328724205,2018-01-13T16:12:04.162011Z
24,2075.8185611480,145882075.8185611367,2018-01-13T16:12:04.262011Z
25,2074.8032994733,145882074.8032994866,2018-01-13T16:12:04.362011Z
26,2073.7870874016,145882073.7870873809,2018-01-13T16:12:04.462011Z
27,2072.7704001313,145882072.7704001367,2018-01-13T16:12:04.562011Z
28,2071.7527624639,145882071.7527624667,2018-01-13T16:12:04.662011Z
29,2070.7344119987,145882070.7344119847,2018-01-13T16:12:04.762011Z
30,2069.7151111365,145882069.7151111364,2018-01-13T16:12:04.862011Z
31,2068.6950974764,145882068.6950974762,2018-01-13T16:12:04.962011Z
32,2067.6743710185,145882067.6743710041,2018-01-13T16:12:05.062011Z
33,2066.6529317629,145882066.6529317796,2018-01-13T16:12:05.162011Z
34,2065.6305421101,145882065.6305421293,2018-01-13T16:12:05.262011Z
35,2064.6074396596,145882064.6074396670,2018-01-13T16:12:05.362011Z
36,2063.5836244112,145882063.5836244226,2018-01-13T16:12:05.462011Z
37,2062.5590963650,145882062.5590963662,2018-01-13T16:12:05.562011Z
38,2061.5336179218,145882061.5336179137,2018-01-13T16:12:05.662011Z
39,2060.5074266807,145882060.5074266791,2018-01-13T16:12:05.762011Z
40,2059.4802850426,145882059.4802850187,2018-01-13T16:12:05.862011Z
41,2058.4524306067,145882058.4524306059,2018-01-13T16:12:05.962011Z
42,2057.4238633730,145882057.4238633811,2018-01-13T16:12:06.062011Z
43,2056.3945833414,145882056.3945833445,2018-01-13T16:12:06.162011Z
44,2055.3643529128,145882055.3643529117,2018-01-13T16:12:06.262011Z
45,2054.3334096864,145882054.3334096670,2018-01-13T16:12:06.362011Z
46,2053.3017536622,145882053.3017536700,2018-01-13T16:12:06.462011Z
47,2052.2691472409,145882052.2691472173,2018-01-13T16:12:06.562011Z
48,2051.2358280218,145882051.2358280122,2018-01-13T16:12:06.662011Z
49,2050.2017960049,145882050.2017960250,2018-01-13T16:12:06.762011Z
50,2049.1670511901,145882049.1670511961,2018-01-13T16:12:06.862011Z
51,2048.1313559784,145882048.1313559711,2018-01-13T16:12:06.962011Z
52,2047.0947103695,145882047.0947103798,2018-01-13T16:12:07.062011Z
53,2046.0575895621,145882046.0575895607,2018-01-13T16:12:07.162011Z
54,2045.0195183576,145882045.0195183754,2018-01-13T16:12:07.262011Z
55,2043.9807343553,145882043.9807343483,2018-01-13T16:12:07.362011Z
56,2042.9409999560,145882042.9409999549,2018-01-13T16:12:07.462011Z
57,2041.9007903581,145882041.9007903337,2018-01-13T16:12:07.562011Z
58,2040.8593927639,145882040.8593927622,2018-01-13T16:12:07.662011Z
59,2039.8175199711,145882039.8175199628,2018-01-13T16:12:07.762011Z
60,2038.7746967812,145882038.7746967673,2018-01-13T16:12:07.862011Z
61,2037.7311607936,145882037.7311607897,2018-01-13T16:12:07.962011Z
62,2036.6866744089,145882036.6866744161,2018-01-13T16:12:08.062011Z
63,2035.6414752263,145882035.6414752007,2018-01-13T16:12:08.162011Z
64,2034.5955632460,145882034.5955632329,2018-01-13T16:12:08.262011Z
65,2033.5489384678,145882033.5489384532,2018-01-13T16:12:08.362011Z
66,2032.5013632926,145882032.5013632774,2018-01-13T16:12:08.462011Z
67,2031.4530753196,145882031.4530752897,2018-01-13T16:12:08.562011Z
68,2030.4038369495,145882030.4038369358,2018-01-13T16:12:08.662011Z
69,2029.3538857816,145882029.3538857698,2018-01-13T16:12:08.762011Z
70,2028.3032218159,145882028.3032218218,2018-01-13T16:12:08.862011Z
71,2027.2516074531,145882027.2516074479,2018-01-13T16:12:08.962011Z
72,2026.1992802925,145882026.1992802918,2018-01-13T16:12:09.062011Z
73,2025.1462403341,145882025.1462403238,2018-01-13T16:12:09.162011Z
74,2024.0922499786,145882024.0922499895,2018-01-13T16:12:09.262011Z
75,2023.0375468254,145882023.0375468433,2018-01-13T16:12:09.362011Z
76,2021.9821308743,145882021.9821308851,2018-01-13T16:12:09.462011Z
77,2020.9257645261,145882020.9257645309,2018-01-13T16:12:09.562011Z
78,2019.8686853801,145882019.8686853647,2018-01-13T16:12:09.662011Z
79,2018.8106558371,145882018.8106558323,2018-01-13T16:12:09.762011Z
80,2017.7519134963,145882017.7519134879,2018-01-13T16:12:09.862011Z
81,2016.6924583576,145882016.6924583614,2018-01-13T16:12:09.962011Z
