index,doppler_offset,measured_freq,timestamp
0,2165.9204805847,145882165.9204805791,2018-01-13T16:12:01.862011Z
1,2164.9824386723,145882164.9824386835,2018-01-13T16:12:01.962011Z
2,2164.0436839621,145882164.0436839461,2018-01-13T16:12:02.062011Z
3,2163.1042164541,145882163.1042164564,2018-01-13T16:12:02.162011Z
4,2162.1640361483,145882162.1640361547,2018-01-13T16:12:02.262011Z
5,2161.2231430447,145882161.2231430709,2018-01-13T16:12:02.362011Z
6,2160.2815371432,145882160.2815371454,2018-01-13T16:12:02.462011Z
7,2159.3392184440,145882159.3392184377,2018-01-13T16:12:02.562011Z
8,2158.3959493477,145882158.3959493637,2018-01-13T16:12:02.662011Z
9,2157.4522050528,145882157.4522050619,2018-01-13T16:12:02.762011Z
10,2156.5075103609,145882156.5075103641,2018-01-13T16:12:02.862011Z
11,2155.5621028712,145882155.5621028543,2018-01-13T16:12:02.962011Z
12,2154.6159825837,145882154.6159825921,2018-01-13T16:12:03.062011Z
13,2153.6691494983,145882153.6691494882,2018-01-13T16:12:03.162011Z
14,2152.7216036152,145882152.7216036022,2018-01-13T16:12:03.262011Z
15,2151.7733449342,145882151.7733449340,2018-01-13T16:12:03.362011Z
16,2150.8243734555,145882150.8243734539,2018-01-13T16:12:03.462011Z
17,2149.8744515797,145882149.8744515777,2018-01-13T16:12:03.562011Z
18,2148.9240545053,145882148.9240545034,2018-01-13T16:12:03.662011Z
19,2147.9727070339,145882147.9727070332,2018-01-13T16:12:03.762011Z
20,2147.0206467646,145882147.0206467509,2018-01-13T16:12:03.862011Z
21,2146.0678736976,145882146.0678737164,2018-01-13T16:12:03.962011Z
22,2145.1143878327,145882145.1143878400,2018-01-13T16:12:04.062011Z
23,2144.1601891700,145882144.1601891816,2018-01-13T16:12:04.162011Z
24,2143.2052777096,145882143.2052777112,2018-01-13T16:12:04.262011Z
25,2142.2494158520,145882142.2494158447,2018-01-13T16:12:04.362011Z
26,2141.2930787959,145882141.2930788100,2018-01-13T16:12:04.462011Z
27,2140.3357913428,145882140.3357913494,2018-01-13T16:12:04.562011Z
28,2139.3777910918,145882139.3777910769,2018-01-13T16:12:04.662011Z
29,2138.4193156423,145882138.4193156362,2018-01-13T16:12:04.762011Z
30,2137.4596521965,145882137.4596522152,2018-01-13T16:12:04.862011Z
31,2136.4995135521,145882136.4995135367,2018-01-13T16:12:04.962011Z
32,2135.5386621099,145882135.5386621356,2018-01-13T16:12:05.062011Z
33,2134.5768602707,145882134.5768602490,2018-01-13T16:12:05.162011Z
34,2133.6145832329,145882133.6145832539,2018-01-13T16:12:05.262011Z
35,2132.6513557980,145882132.6513558030,2018-01-13T16:12:05.362011Z
36,2131.6874155653,145882131.6874155402,2018-01-13T16:12:05.462011Z
37,2130.7227625349,145882130.7227625251,2018-01-13T16:12:05.562011Z
38,2129.7573967066,145882129.7573967278,2018-01-13T16:12:05.662011Z
39,2128.7910804812,145882128.7910804749,2018-01-13T16:12:05.762011Z
40,2127.8242890573,145882127.8242890537,2018-01-13T16:12:05.862011Z
41,2126.8565472363,145882126.8565472364,2018-01-13T16:12:05.962011Z
42,2125.8880926176,145882125.8880926371,2018-01-13T16:12:06.062011Z
43,2124.9189252010,145882124.9189252257,2018-01-13T16:12:06.162011Z
44,2123.9490449866,145882123.9490449727,2018-01-13T16:12:06.262011Z
45,2122.9784519744,145882122.9784519672,2018-01-13T16:12:06.362011Z
46,2122.0069085651,145882122.0069085360,2018-01-13T16:12:06.462011Z
47,2121.0348899573,145882121.0348899662,2018-01-13T16:12:06.562011Z
48,2120.0619209524,145882120.0619209409,2018-01-13T16:12:06.662011Z
49,2119.0882391497,145882119.0882391632,2018-01-13T16:12:06.762011Z
50,2118.1138445493,145882118.1138445735,2018-01-13T16:12:06.862011Z
51,2117.1384995517,145882117.1384995282,2018-01-13T16:12:06.962011Z
52,2116.1626793556,145882116.1626793444,2018-01-13T16:12:07.062011Z
53,2115.1859087624,145882115.1859087646,2018-01-13T16:12:07.162011Z
54,2114.2084253714,145882114.2084253728,2018-01-13T16:12:07.262011Z
55,2113.2302291826,145882113.2302291989,2018-01-13T16:12:07.362011Z
56,2112.2513201960,145882112.2513201833,2018-01-13T16:12:07.462011Z
57,2111.2714608124,145882111.2714608014,2018-01-13T16:12:07.562011Z
58,2110.2911262302,145882110.2911262214,2018-01-13T16:12:07.662011Z
59,2109.3098412509,145882109.3098412454,2018-01-13T16:12:07.762011Z
60,2108.3278434738,145882108.3278434575,2018-01-13T16:12:07.862011Z
61,2107.3451328989,145882107.3451328874,2018-01-13T16:12:07.962011Z
62,2106.3614719269,145882106.3614719212,2018-01-13T16:12:08.062011Z
