index,doppler_offset,measured_freq,timestamp
0,2146.7773451136,145882146.7773451209,2018-01-13T16:12:01.862011Z
1,2145.8226712524,145882145.8226712644,2018-01-13T16:12:01.962011Z
2,2144.8672845934,145882144.8672845662,2018-01-13T16:12:02.062011Z
3,2143.9111851366,145882143.9111851454,2018-01-13T16:12:02.162011Z
4,2142.9543728819,145882142.9543728530,2018-01-13T16:12:02.262011Z
5,2141.9968478295,145882141.9968478382,2018-01-13T16:12:02.362011Z
6,2141.0383723800,145882141.0383723974,2018-01-13T16:12:02.462011Z
7,2140.0791841327,145882140.0791841447,2018-01-13T16:12:02.562011Z
8,2139.1192830876,145882139.1192831099,2018-01-13T16:12:02.662011Z
9,2138.1586692447,145882138.1586692333,2018-01-13T16:12:02.762011Z
10,2137.1973426040,145882137.1973426044,2018-01-13T16:12:02.862011Z
11,2136.2353031654,145882136.2353031635,2018-01-13T16:12:02.962011Z
12,2135.2723133298,145882135.2723133266,2018-01-13T16:12:03.062011Z
13,2134.3088482957,145882134.3088482916,2018-01-13T16:12:03.162011Z
14,2133.3444328645,145882133.3444328606,2018-01-13T16:12:03.262011Z
15,2132.3793046355,145882132.3793046176,2018-01-13T16:12:03.362011Z
16,2131.4134636087,145882131.4134635925,2018-01-13T16:12:03.462011Z
17,2130.4469097840,145882130.4469097853,2018-01-13T16:12:03.562011Z
18,2129.4796431616,145882129.4796431661,2018-01-13T16:12:03.662011Z
19,2128.5114261421,145882128.5114261210,2018-01-13T16:12:03.762011Z
20,2127.5424963248,145882127.5424963236,2018-01-13T16:12:03.862011Z
21,2126.5728537096,145882126.5728537142,2018-01-13T16:12:03.962011Z
22,2125.6024982967,145882125.6024982929,2018-01-13T16:12:04.062011Z
23,2124.6314300860,145882124.6314300895,2018-01-13T16:12:04.162011Z
24,2123.6596490774,145882123.6596490741,2018-01-13T16:12:04.262011Z
25,2122.6869176718,145882122.6869176924,2018-01-13T16:12:04.362011Z
26,2121.7137110677,145882121.7137110829,2018-01-13T16:12:04.462011Z
27,2120.7395540665,145882120.7395540774,2018-01-13T16:12:04.562011Z
28,2119.7646842674,145882119.7646842599,2018-01-13T16:12:04.662011Z
29,2118.7888640713,145882118.7888640463,2018-01-13T16:12:04.762011Z
30,2117.8125686767,145882117.8125686944,2018-01-13T16:12:04.862011Z
31,2116.8353228850,145882116.8353228569,2018-01-13T16:12:04.962011Z
32,2115.8573642954,145882115.8573642969,2018-01-13T16:12:05.062011Z
33,2114.8786929081,145882114.8786929250,2018-01-13T16:12:05.162011Z
34,2113.8993087230,145882113.8993087411,2018-01-13T16:12:05.262011Z
35,2112.9192117400,145882112.9192117453,2018-01-13T16:12:05.362011Z
36,2111.9381643600,145882111.9381643534,2018-01-13T16:12:05.462011Z
37,2110.9566417815,145882110.9566417933,2018-01-13T16:12:05.562011Z
38,2109.9741688058,145882109.9741687775,2018-01-13T16:12:05.662011Z
39,2108.9909830324,145882108.9909830093,2018-01-13T16:12:05.762011Z
40,2108.0068468619,145882108.0068468750,2018-01-13T16:12:05.862011Z
41,2107.0222354929,145882107.0222355127,2018-01-13T16:12:05.962011Z
42,2106.0366737268,145882106.0366737247,2018-01-13T16:12:06.062011Z
43,2105.0503991628,145882105.0503991544,2018-01-13T16:12:06.162011Z
44,2104.0634118011,145882104.0634117723,2018-01-13T16:12:06.262011Z
45,2103.0754740423,145882103.0754740238,2018-01-13T16:12:06.362011Z
46,2102.0870610850,145882102.0870610774,2018-01-13T16:12:06.462011Z
47,2101.0976977305,145882101.0976977348,2018-01-13T16:12:06.562011Z
48,2100.1076215783,145882100.1076215506,2018-01-13T16:12:06.662011Z
49,2099.1168326283,145882099.1168326139,2018-01-13T16:12:06.762011Z
50,2098.1253308805,145882098.1253308654,2018-01-13T16:12:06.862011Z
51,2097.1328787356,145882097.1328787208,2018-01-13T16:12:06.962011Z
52,2096.1397137929,145882096.1397137940,2018-01-13T16:12:07.062011Z
53,2095.1458360523,145882095.1458360553,2018-01-13T16:12:07.162011Z
54,2094.1512455140,145882094.1512455046,2018-01-13T16:12:07.262011Z
55,2093.1557045786,145882093.1557045579,2018-01-13T16:12:07.362011Z
56,2092.1596884447,145882092.1596884429,2018-01-13T16:12:07.462011Z
57,2091.1627219137,145882091.1627219021,2018-01-13T16:12:07.562011Z
58,2090.1650425849,145882090.1650425792,2018-01-13T16:12:07.662011Z
59,2089.1664128590,145882089.1664128602,2018-01-13T16:12:07.762011Z
60,2088.1673079345,145882088.1673079431,2018-01-13T16:12:07.862011Z
61,2087.1672526130,145882087.1672526300,2018-01-13T16:12:07.962011Z
62,2086.1664844937,145882086.1664844751,2018-01-13T16:12:08.062011Z
63,2085.1647659773,145882085.1647659540,2018-01-13T16:12:08.162011Z
64,2084.1625722624,145882084.1625722647,2018-01-13T16:12:08.262011Z
65,2083.1594281504,145882083.1594281495,2018-01-13T16:12:08.362011Z
66,2082.1555712406,145882082.1555712521,2018-01-13T16:12:08.462011Z
67,2081.1510015330,145882081.1510015130,2018-01-13T16:12:08.562011Z
68,2080.1454814284,145882080.1454814374,2018-01-13T16:12:08.662011Z
69,2079.1392485259,145882079.1392485201,2018-01-13T16:12:08.762011Z
70,2078.1323028256,145882078.1323028207,2018-01-13T16:12:08.862011Z
71,2077.1246443275,145882077.1246443391,2018-01-13T16:12:08.962011Z
72,2076.1160354323,145882076.1160354316,2018-01-13T16:12:09.062011Z
73,2075.1069513386,145882075.1069513261,2018-01-13T16:12:09.162011Z
74,2074.0969168478,145882074.0969168544,2018-01-13T16:12:09.262011Z
75,2073.0859319600,145882073.0859319568,2018-01-13T16:12:09.362011Z
76,2072.0744718736,145882072.0744718909,2018-01-13T16:12:09.462011Z
77,2071.0620613901,145882071.0620613992,2018-01-13T16:12:09.562011Z
78,2070.0489381088,145882070.0489381254,2018-01-13T16:12:09.662011Z
79,2069.0351020298,145882069.0351020396,2018-01-13T16:12:09.762011Z
80,2068.0203155536,145882068.0203155577,2018-01-13T16:12:09.862011Z
81,2067.0048162796,145882067.0048162937,2018-01-13T16:12:09.962011Z
82,2065.9886042079,145882065.9886042178,2018-01-13T16:12:10.062011Z
83,2064.9716793383,145882064.9716793299,2018-01-13T16:12:10.162011Z
84,2063.9538040717,145882063.9538040757,2018-01-13T16:12:10.262011Z
85,2062.9352160072,145882062.9352160096,2018-01-13T16:12:10.362011Z
86,2061.9159151450,145882061.9159151614,2018-01-13T16:12:10.462011Z
87,2060.8959014849,145882060.8959014714,2018-01-13T16:12:10.562011Z
88,2059.8749374278,145882059.8749374449,2018-01-13T16:12:10.662011Z
89,2058.8532605728,145882058.8532605767,2018-01-13T16:12:10.762011Z
90,2057.8308709201,145882057.8308709264,2018-01-13T16:12:10.862011Z
91,2056.8075308702,145882056.8075308502,2018-01-13T16:12:10.962011Z
92,2055.7834780226,145882055.7834780216,2018-01-13T16:12:11.062011Z
93,2054.7587123772,145882054.7587123513,2018-01-13T16:12:11.162011Z
94,2053.7332339339,145882053.7332339287,2018-01-13T16:12:11.262011Z
95,2052.7068050936,145882052.7068050802,2018-01-13T16:12:11.362011Z
96,2051.6796634555,145882051.6796634495,2018-01-13T16:12:11.462011Z
97,2050.6518090196,145882050.6518090367,2018-01-13T16:12:11.562011Z
98,2049.6230041866,145882049.6230041683,2018-01-13T16:12:11.662011Z
99,2048.5934865558,145882048.5934865773,2018-01-13T16:12:11.762011Z
100,2047.5632561272,145882047.5632561147,2018-01-13T16:12:11.862011Z
101,2046.5323129007,145882046.5323128998,2018-01-13T16:12:11.962011Z
102,2045.5004192772,145882045.5004192889,2018-01-13T16:12:12.062011Z
103,2044.4678128559,145882044.4678128660,2018-01-13T16:12:12.162011Z
104,2043.4344936368,145882043.4344936609,2018-01-13T16:12:12.262011Z
105,2042.4002240207,145882042.4002240300,2018-01-13T16:12:12.362011Z
106,2041.3652416067,145882041.3652416170,2018-01-13T16:12:12.462011Z
107,2040.3295463949,145882040.3295463920,2018-01-13T16:12:12.562011Z
108,2039.2929007860,145882039.2929008007,2018-01-13T16:12:12.662011Z
109,2038.2557799786,145882038.2557799816,2018-01-13T16:12:12.762011Z
110,2037.2174711749,145882037.2174711823,2018-01-13T16:12:12.862011Z
111,2036.1786871726,145882036.1786871552,2018-01-13T16:12:12.962011Z
