index,doppler_offset,measured_freq,timestamp
0,1862.7384678786,145881862.7384679019,2018-01-13T16:12:01.862011Z
1,1861.5604507049,145881861.5604507029,2018-01-13T16:12:01.962011Z
2,1860.3817207335,145881860.3817207515,2018-01-13T16:12:02.062011Z
3,1859.2020403649,145881859.2020403743,2018-01-13T16:12:02.162011Z
4,1858.0214095993,145881858.0214095712,2018-01-13T16:12:02.262011Z
5,1856.8400660358,145881856.8400660455,2018-01-13T16:12:02.362011Z
6,1855.6578908750,145881855.6578908861,2018-01-13T16:12:02.462011Z
7,1854.4747653170,145881854.4747653008,2018-01-13T16:12:02.562011Z
8,1853.2908081616,145881853.2908081710,2018-01-13T16:12:02.662011Z
9,1852.1060194088,145881852.1060194075,2018-01-13T16:12:02.762011Z
10,1850.9203990585,145881850.9203990400,2018-01-13T16:12:02.862011Z
11,1849.7339471108,145881849.7339471281,2018-01-13T16:12:02.962011Z
12,1848.5466635657,145881848.5466635525,2018-01-13T16:12:03.062011Z
13,1847.3584296234,145881847.3584296405,2018-01-13T16:12:03.162011Z
14,1846.1693640838,145881846.1693640649,2018-01-13T16:12:03.262011Z
15,1844.9794669467,145881844.9794669449,2018-01-13T16:12:03.362011Z
16,1843.7887382121,145881843.7887382209,2018-01-13T16:12:03.462011Z
17,1842.5971778801,145881842.5971778631,2018-01-13T16:12:03.562011Z
18,1841.4047859507,145881841.4047859609,2018-01-13T16:12:03.662011Z
19,1840.2114436242,145881840.2114436328,2018-01-13T16:12:03.762011Z
20,1839.0172697003,145881839.0172697008,2018-01-13T16:12:03.862011Z
21,1837.8222641789,145881837.8222641945,2018-01-13T16:12:03.962011Z
22,1836.6264270601,145881836.6264270842,2018-01-13T16:12:04.062011Z
23,1835.4296395442,145881835.4296395481,2018-01-13T16:12:04.162011Z
24,1834.2321392305,145881834.2321392298,2018-01-13T16:12:04.262011Z
25,1833.0336885197,145881833.0336885154,2018-01-13T16:12:04.362011Z
26,1831.8344062115,145881831.8344062269,2018-01-13T16:12:04.462011Z
27,1830.6342923058,145881830.6342923045,2018-01-13T16:12:04.562011Z
28,1829.4332280031,145881829.4332280159,2018-01-13T16:12:04.662011Z
29,1828.2314509026,145881828.2314509153,2018-01-13T16:12:04.762011Z
30,1827.0287234049,145881827.0287233889,2018-01-13T16:12:04.862011Z
31,1825.8251643099,145881825.8251642883,2018-01-13T16:12:04.962011Z
32,1824.6207736174,145881824.6207736135,2018-01-13T16:12:05.062011Z
33,1823.4154325278,145881823.4154325426,2018-01-13T16:12:05.162011Z
34,1822.2093786405,145881822.2093786299,2018-01-13T16:12:05.262011Z
35,1821.0023743560,145881821.0023743808,2018-01-13T16:12:05.362011Z
36,1819.7945384741,145881819.7945384681,2018-01-13T16:12:05.462011Z
37,1818.5858709948,145881818.5858709812,2018-01-13T16:12:05.562011Z
38,1817.3762531184,145881817.3762531281,2018-01-13T16:12:05.662011Z
39,1816.1658036446,145881816.1658036411,2018-01-13T16:12:05.762011Z
40,1814.9546413729,145881814.9546414018,2018-01-13T16:12:05.862011Z
41,1813.7424099046,145881813.7424099147,2018-01-13T16:12:05.962011Z
42,1812.5294656384,145881812.5294656456,2018-01-13T16:12:06.062011Z
43,1811.3155709752,145881811.3155709803,2018-01-13T16:12:06.162011Z
44,1810.1009635142,145881810.1009635031,2018-01-13T16:12:06.262011Z
45,1808.8854056560,145881808.8854056597,2018-01-13T16:12:06.362011Z
46,1807.6688974009,145881807.6688974202,2018-01-13T16:12:06.462011Z
47,1806.4516763479,145881806.4516763389,2018-01-13T16:12:06.562011Z
48,1805.2335048978,145881805.2335049212,2018-01-13T16:12:06.662011Z
49,1804.0145018503,145881804.0145018399,2018-01-13T16:12:06.762011Z
50,1802.7946672053,145881802.7946672142,2018-01-13T16:12:06.862011Z
51,1801.5738821633,145881801.5738821924,2018-01-13T16:12:06.962011Z
52,1800.3522655239,145881800.3522655070,2018-01-13T16:12:07.062011Z
53,1799.1299360866,145881799.1299360991,2018-01-13T16:12:07.162011Z
54,1797.9065374526,145881797.9065374434,2018-01-13T16:12:07.262011Z
55,1796.6824260208,145881796.6824260354,2018-01-13T16:12:07.362011Z
56,1795.4573641920,145881795.4573642015,2018-01-13T16:12:07.462011Z
57,1794.2314707657,145881794.2314707637,2018-01-13T16:12:07.562011Z
58,1793.0047457419,145881793.0047457516,2018-01-13T16:12:07.662011Z
59,1791.7770703211,145881791.7770703435,2018-01-13T16:12:07.762011Z
60,1790.5486821025,145881790.5486821234,2018-01-13T16:12:07.862011Z
61,1789.3193434868,145881789.3193434775,2018-01-13T16:12:07.962011Z
62,1788.0890544741,145881788.0890544653,2018-01-13T16:12:08.062011Z
63,1786.8580526635,145881786.8580526412,2018-01-13T16:12:08.162011Z
64,1785.6261004558,145881785.6261004508,2018-01-13T16:12:08.262011Z
65,1784.3933166507,145881784.3933166564,2018-01-13T16:12:08.362011Z
66,1783.1597012482,145881783.1597012281,2018-01-13T16:12:08.462011Z
67,1781.9251354486,145881781.9251354337,2018-01-13T16:12:08.562011Z
68,1780.6897380516,145881780.6897380352,2018-01-13T16:12:08.662011Z
69,1779.4535090571,145881779.4535090625,2018-01-13T16:12:08.762011Z
70,1778.2164484652,145881778.2164484560,2018-01-13T16:12:08.862011Z
71,1776.9784374762,145881776.9784374833,2018-01-13T16:12:08.962011Z
72,1775.7395948897,145881775.7395948768,2018-01-13T16:12:09.062011Z
73,1774.4999207059,145881774.4999206960,2018-01-13T16:12:09.162011Z
74,1773.2594149246,145881773.2594149411,2018-01-13T16:12:09.262011Z
75,1772.0179587462,145881772.0179587305,2018-01-13T16:12:09.362011Z
76,1770.7756709703,145881770.7756709754,2018-01-13T16:12:09.462011Z
77,1769.5325515971,145881769.5325516164,2018-01-13T16:12:09.562011Z
78,1768.2884818267,145881768.2884818316,2018-01-13T16:12:09.662011Z
79,1767.0435804589,145881767.0435804725,2018-01-13T16:12:09.762011Z
80,1765.7978474937,145881765.7978475094,2018-01-13T16:12:09.862011Z
81,1764.5512829311,145881764.5512829125,2018-01-13T16:12:09.962011Z
82,1763.3037679713,145881763.3037679791,2018-01-13T16:12:10.062011Z
83,1762.0554214141,145881762.0554214120,2018-01-13T16:12:10.162011Z
84,1760.8061244599,145881760.8061244786,2018-01-13T16:12:10.262011Z
85,1759.5561147078,145881759.5561147034,2018-01-13T16:12:10.362011Z
86,1758.3051545587,145881758.3051545322,2018-01-13T16:12:10.462011Z
87,1757.0533628121,145881757.0533628166,2018-01-13T16:12:10.562011Z
