index,doppler_offset,measured_freq,timestamp
0,1689.0631441084,145881689.0631441176,2018-01-13T16:12:01.862011Z
1,1687.7597933205,145881687.7597933412,2018-01-13T16:12:01.962011Z
2,1686.4556109352,145881686.4556109309,2018-01-13T16:12:02.062011Z
3,1685.1505969525,145881685.1505969763,2018-01-13T16:12:02.162011Z
4,1683.8446325727,145881683.8446325958,2018-01-13T16:12:02.262011Z
5,1682.5378365954,145881682.5378365815,2018-01-13T16:12:02.362011Z
6,1681.2302090207,145881681.2302090228,2018-01-13T16:12:02.462011Z
7,1679.9216310489,145881679.9216310680,2018-01-13T16:12:02.562011Z
8,1678.6122214797,145881678.6122214794,2018-01-13T16:12:02.662011Z
9,1677.3018615135,145881677.3018614948,2018-01-13T16:12:02.762011Z
10,1675.9906699497,145881675.9906699657,2018-01-13T16:12:02.862011Z
11,1674.6785279889,145881674.6785280108,2018-01-13T16:12:02.962011Z
12,1673.3655544307,145881673.3655544519,2018-01-13T16:12:03.062011Z
13,1672.0517492750,145881672.0517492890,2018-01-13T16:12:03.162011Z
14,1670.7369937223,145881670.7369937301,2018-01-13T16:12:03.262011Z
15,1669.4214065721,145881669.4214065671,2018-01-13T16:12:03.362011Z
16,1668.1049878245,145881668.1049878299,2018-01-13T16:12:03.462011Z
17,1666.7876186797,145881666.7876186967,2018-01-13T16:12:03.562011Z
18,1665.4692991380,145881665.4692991376,2018-01-13T16:12:03.662011Z
19,1664.1501479988,145881664.1501480043,2018-01-13T16:12:03.762011Z
20,1662.8301652621,145881662.8301652670,2018-01-13T16:12:03.862011Z
21,1661.5093509280,145881661.5093509555,2018-01-13T16:12:03.962011Z
22,1660.1875861968,145881660.1875861883,2018-01-13T16:12:04.062011Z
23,1658.8648710686,145881658.8648710847,2018-01-13T16:12:04.162011Z
24,1657.5413243429,145881657.5413243473,2018-01-13T16:12:04.262011Z
25,1656.2169460198,145881656.2169460356,2018-01-13T16:12:04.362011Z
26,1654.8916172996,145881654.8916172981,2018-01-13T16:12:04.462011Z
27,1653.5654569819,145881653.5654569864,2018-01-13T16:12:04.562011Z
