index,doppler_offset,measured_freq,timestamp
0,2730.3270887556,145882730.3270887434,2018-01-13T16:12:01.862011Z
1,2729.8640077811,145882729.8640077710,2018-01-13T16:12:01.962011Z
2,2729.4006892074,145882729.4006891847,2018-01-13T16:12:02.062011Z
3,2728.9368954351,145882728.9368954301,2018-01-13T16:12:02.162011Z
4,2728.4726264643,145882728.4726264775,2018-01-13T16:12:02.262011Z
5,2728.0081198942,145882728.0081198812,2018-01-13T16:12:02.362011Z
6,2727.5431381255,145882727.5431381166,2018-01-13T16:12:02.462011Z
7,2727.0776811584,145882727.0776811540,2018-01-13T16:12:02.562011Z
8,2726.6119865919,145882726.6119865775,2018-01-13T16:12:02.662011Z
9,2726.1458168269,145882726.1458168328,2018-01-13T16:12:02.762011Z
10,2725.6794094627,145882725.6794094443,2018-01-13T16:12:02.862011Z
11,2725.2125268999,145882725.2125269175,2018-01-13T16:12:02.962011Z
12,2724.7451691386,145882724.7451691628,2018-01-13T16:12:03.062011Z
13,2724.2775737780,145882724.2775737643,2018-01-13T16:12:03.162011Z
14,2723.8095032189,145882723.8095032275,2018-01-13T16:12:03.262011Z
15,2723.3411950605,145882723.3411950469,2018-01-13T16:12:03.362011Z
16,2722.8724117036,145882722.8724116981,2018-01-13T16:12:03.462011Z
17,2722.4031531481,145882722.4031531513,2018-01-13T16:12:03.562011Z
18,2721.9334193941,145882721.9334194064,2018-01-13T16:12:03.662011Z
19,2721.4634480408,145882721.4634480476,2018-01-13T16:12:03.762011Z
20,2720.9932390883,145882720.9932390749,2018-01-13T16:12:03.862011Z
21,2720.5225549372,145882720.5225549340,2018-01-13T16:12:03.962011Z
22,2720.0513955876,145882720.0513955653,2018-01-13T16:12:04.062011Z
23,2719.5797610394,145882719.5797610581,2018-01-13T16:12:04.162011Z
24,2719.1078888920,145882719.1078889072,2018-01-13T16:12:04.262011Z
25,2718.6355415460,145882718.6355415285,2018-01-13T16:12:04.362011Z
26,2718.1629566008,145882718.1629565954,2018-01-13T16:12:04.462011Z
27,2717.6898964571,145882717.6898964345,2018-01-13T16:12:04.562011Z
28,2717.2163611147,145882717.2163611054,2018-01-13T16:12:04.662011Z
29,2716.7425881732,145882716.7425881624,2018-01-13T16:12:04.762011Z
30,2716.2683400331,145882716.2683400512,2018-01-13T16:12:04.862011Z
31,2715.7936166944,145882715.7936166823,2018-01-13T16:12:04.962011Z
32,2715.3186557565,145882715.3186557591,2018-01-13T16:12:05.062011Z
33,2714.8432196201,145882714.8432196081,2018-01-13T16:12:05.162011Z
34,2714.3673082851,145882714.3673082590,2018-01-13T16:12:05.262011Z
35,2713.8911593508,145882713.8911593556,2018-01-13T16:12:05.362011Z
36,2713.4145352180,145882713.4145352244,2018-01-13T16:12:05.462011Z
37,2712.9374358867,145882712.9374358952,2018-01-13T16:12:05.562011Z
38,2712.4600989561,145882712.4600989521,2018-01-13T16:12:05.662011Z
39,2711.9822868270,145882711.9822868109,2018-01-13T16:12:05.762011Z
40,2711.5042370985,145882711.5042371154,2018-01-13T16:12:05.862011Z
41,2711.0257121716,145882711.0257121623,2018-01-13T16:12:05.962011Z
42,2710.5467120461,145882710.5467120409,2018-01-13T16:12:06.062011Z
43,2710.0672367221,145882710.0672367215,2018-01-13T16:12:06.162011Z
44,2709.5875237988,145882709.5875237882,2018-01-13T16:12:06.262011Z
45,2709.1073356770,145882709.1073356867,2018-01-13T16:12:06.362011Z
