index,doppler_offset,measured_freq,timestamp
0,2627.2149461687,145882627.2149461806,2018-01-13T16:12:01.862011Z
1,2626.6634782663,145882626.6634782553,2018-01-13T16:12:01.962011Z
2,2626.1112975661,145882626.1112975776,2018-01-13T16:12:02.062011Z
3,2625.5586416673,145882625.5586416721,2018-01-13T16:12:02.162011Z
4,2625.0055105701,145882625.0055105686,2018-01-13T16:12:02.262011Z
5,2624.4521418735,145882624.4521418810,2018-01-13T16:12:02.362011Z
6,2623.8980603792,145882623.8980603814,2018-01-13T16:12:02.462011Z
7,2623.3437412855,145882623.3437412977,2018-01-13T16:12:02.562011Z
8,2622.7889469934,145882622.7889469862,2018-01-13T16:12:02.662011Z
9,2622.2334399034,145882622.2334399223,2018-01-13T16:12:02.762011Z
10,2621.6776952142,145882621.6776952147,2018-01-13T16:12:02.862011Z
11,2621.1214753264,145882621.1214753389,2018-01-13T16:12:02.962011Z
12,2620.5647802401,145882620.5647802353,2018-01-13T16:12:03.062011Z
13,2620.0076099552,145882620.0076099336,2018-01-13T16:12:03.162011Z
14,2619.4499644719,145882619.4499644935,2018-01-13T16:12:03.262011Z
15,2618.8920813892,145882618.8920814097,2018-01-13T16:12:03.362011Z
16,2618.3334855087,145882618.3334855139,2018-01-13T16:12:03.462011Z
17,2617.7744144298,145882617.7744144201,2018-01-13T16:12:03.562011Z
18,2617.2148681522,145882617.2148681283,2018-01-13T16:12:03.662011Z
19,2616.6550842754,145882616.6550842524,2018-01-13T16:12:03.762011Z
20,2616.0945876008,145882616.0945876241,2018-01-13T16:12:03.862011Z
21,2615.5338533269,145882615.5338533223,2018-01-13T16:12:03.962011Z
22,2614.9724062553,145882614.9724062681,2018-01-13T16:12:04.062011Z
23,2614.4107215843,145882614.4107215703,2018-01-13T16:12:04.162011Z
24,2613.8485617148,145882613.8485617340,2018-01-13T16:12:04.262011Z
25,2613.2859266468,145882613.2859266698,2018-01-13T16:12:04.362011Z
26,2612.7225787810,145882612.7225787640,2018-01-13T16:12:04.462011Z
27,2612.1589933159,145882612.1589933336,2018-01-13T16:12:04.562011Z
28,2611.5949326522,145882611.5949326754,2018-01-13T16:12:04.662011Z
29,2611.0303967901,145882611.0303967893,2018-01-13T16:12:04.762011Z
30,2610.4653857293,145882610.4653857350,2018-01-13T16:12:04.862011Z
31,2609.8998994701,145882609.8998994827,2018-01-13T16:12:04.962011Z
32,2609.3339380123,145882609.3339380026,2018-01-13T16:12:05.062011Z
33,2608.7675013560,145882608.7675013542,2018-01-13T16:12:05.162011Z
34,2608.2005895011,145882608.2005895078,2018-01-13T16:12:05.262011Z
35,2607.6334400470,145882607.6334400475,2018-01-13T16:12:05.362011Z
36,2607.0655777951,145882607.0655778050,2018-01-13T16:12:05.462011Z
37,2606.4972403446,145882606.4972403347,2018-01-13T16:12:05.562011Z
38,2605.9284276956,145882605.9284276962,2018-01-13T16:12:05.662011Z
39,2605.3593774473,145882605.3593774438,2018-01-13T16:12:05.762011Z
40,2604.7896144012,145882604.7896143794,2018-01-13T16:12:05.862011Z
41,2604.2193761566,145882604.2193761468,2018-01-13T16:12:05.962011Z
42,2603.6489003127,145882603.6489003003,2018-01-13T16:12:06.062011Z
43,2603.0777116710,145882603.0777116716,2018-01-13T16:12:06.162011Z
44,2602.5060478308,145882602.5060478151,2018-01-13T16:12:06.262011Z
45,2601.9341463913,145882601.9341463745,2018-01-13T16:12:06.362011Z
46,2601.3615321540,145882601.3615321517,2018-01-13T16:12:06.462011Z
47,2600.7886803174,145882600.7886803150,2018-01-13T16:12:06.562011Z
48,2600.2151156830,145882600.2151156664,2018-01-13T16:12:06.662011Z
49,2599.6413134494,145882599.6413134336,2018-01-13T16:12:06.762011Z
50,2599.0667984179,145882599.0667984188,2018-01-13T16:12:06.862011Z
51,2598.4920457872,145882598.4920457900,2018-01-13T16:12:06.962011Z
52,2597.9165803587,145882597.9165803790,2018-01-13T16:12:07.062011Z
53,2597.3408773309,145882597.3408773243,2018-01-13T16:12:07.162011Z
54,2596.7644615053,145882596.7644614875,2018-01-13T16:12:07.262011Z
55,2596.1878080804,145882596.1878080666,2018-01-13T16:12:07.362011Z
56,2595.6104418577,145882595.6104418635,2018-01-13T16:12:07.462011Z
57,2595.0328380358,145882595.0328380167,2018-01-13T16:12:07.562011Z
58,2594.4547590153,145882594.4547590315,2018-01-13T16:12:07.662011Z
59,2593.8759671970,145882593.8759671748,2018-01-13T16:12:07.762011Z
60,2593.2969377795,145882593.2969377935,2018-01-13T16:12:07.862011Z
61,2592.7171955641,145882592.7171955705,2018-01-13T16:12:07.962011Z
62,2592.1372157495,145882592.1372157633,2018-01-13T16:12:08.062011Z
63,2591.5565231370,145882591.5565231442,2018-01-13T16:12:08.162011Z
64,2590.9755929253,145882590.9755929410,2018-01-13T16:12:08.262011Z
65,2590.3939499158,145882590.3939498961,2018-01-13T16:12:08.362011Z
66,2589.8120693070,145882589.8120692968,2018-01-13T16:12:08.462011Z
67,2589.2294759005,145882589.2294758856,2018-01-13T16:12:08.562011Z
68,2588.6466448946,145882588.6466448903,2018-01-13T16:12:08.662011Z
69,2588.0631010909,145882588.0631010830,2018-01-13T16:12:08.762011Z
70,2587.4790820887,145882587.4790820777,2018-01-13T16:12:08.862011Z
71,2586.8948254873,145882586.8948254585,2018-01-13T16:12:08.962011Z
72,2586.3098560880,145882586.3098560870,2018-01-13T16:12:09.062011Z
73,2585.7246490895,145882585.7246491015,2018-01-13T16:12:09.162011Z
74,2585.1387292931,145882585.1387293041,2018-01-13T16:12:09.262011Z
