index,doppler_offset,measured_freq,timestamp
0,2560.9264134266,145882560.9264134467,2018-01-13T16:12:01.862011Z
1,2560.3181592990,145882560.3181593120,2018-01-13T16:12:01.962011Z
2,2559.7091923736,145882559.7091923654,2018-01-13T16:12:02.062011Z
3,2559.0997502497,145882559.0997502506,2018-01-13T16:12:02.162011Z
4,2558.4895953279,145882558.4895953536,2018-01-13T16:12:02.262011Z
5,2557.8792028069,145882557.8792028129,2018-01-13T16:12:02.362011Z
6,2557.2683350874,145882557.2683350742,2018-01-13T16:12:02.462011Z
7,2556.6567545700,145882556.6567545831,2018-01-13T16:12:02.562011Z
8,2556.0449364534,145882556.0449364483,2018-01-13T16:12:02.662011Z
9,2555.4324055390,145882555.4324055612,2018-01-13T16:12:02.762011Z
10,2554.8193994260,145882554.8193994164,2018-01-13T16:12:02.862011Z
11,2554.2059181145,145882554.2059181333,2018-01-13T16:12:02.962011Z
12,2553.5919616044,145882553.5919615924,2018-01-13T16:12:03.062011Z
13,2552.9775298959,145882552.9775299132,2018-01-13T16:12:03.162011Z
14,2552.3623853895,145882552.3623853922,2018-01-13T16:12:03.262011Z
15,2551.7470032838,145882551.7470032573,2018-01-13T16:12:03.362011Z
16,2551.1309083804,145882551.1309083700,2018-01-13T16:12:03.462011Z
17,2550.5145758776,145882550.5145758688,2018-01-13T16:12:03.562011Z
18,2549.8975305771,145882549.8975305855,2018-01-13T16:12:03.662011Z
19,2549.2800100780,145882549.2800100744,2018-01-13T16:12:03.762011Z
20,2548.6620143804,145882548.6620143950,2018-01-13T16:12:03.862011Z
21,2548.0433058850,145882548.0433059037,2018-01-13T16:12:03.962011Z
22,2547.4243597903,145882547.4243597984,2018-01-13T16:12:04.062011Z
23,2546.8047008979,145882546.8047008812,2018-01-13T16:12:04.162011Z
24,2546.1848044061,145882546.1848044097,2018-01-13T16:12:04.262011Z
25,2545.5641951165,145882545.5641950965,2018-01-13T16:12:04.362011Z
26,2544.9431106284,145882544.9431106150,2018-01-13T16:12:04.462011Z
27,2544.3215509418,145882544.3215509355,2018-01-13T16:12:04.562011Z
28,2543.6992784574,145882543.6992784441,2018-01-13T16:12:04.662011Z
29,2543.0767683737,145882543.0767683685,2018-01-13T16:12:04.762011Z
30,2542.4535454921,145882542.4535454810,2018-01-13T16:12:04.862011Z
31,2541.8298474121,145882541.8298473954,2018-01-13T16:12:04.962011Z
