index,doppler_offset,measured_freq,timestamp
0,2481.9959364005,145882481.9959363937,2018-01-13T16:12:01.862011Z
1,2481.3197288821,145882481.3197288811,2018-01-13T16:12:01.962011Z
2,2480.6428085659,145882480.6428085566,2018-01-13T16:12:02.062011Z
3,2479.9656506504,145882479.9656506479,2018-01-13T16:12:02.162011Z
4,2479.2875423379,145882479.2875423431,2018-01-13T16:12:02.262011Z
5,2478.6091964260,145882478.6091964245,2018-01-13T16:12:02.362011Z
6,2477.9301377164,145882477.9301376939,2018-01-13T16:12:02.462011Z
7,2477.2506038082,145882477.2506038249,2018-01-13T16:12:02.562011Z
8,2476.5703571023,145882476.5703570843,2018-01-13T16:12:02.662011Z
9,2475.8896351977,145882475.8896352053,2018-01-13T16:12:02.762011Z
10,2475.2084380947,145882475.2084380984,2018-01-13T16:12:02.862011Z
11,2474.5267657931,145882474.5267657936,2018-01-13T16:12:02.962011Z
12,2473.8443806937,145882473.8443806767,2018-01-13T16:12:03.062011Z
13,2473.1612827965,145882473.1612827778,2018-01-13T16:12:03.162011Z
14,2472.4779473000,145882472.4779472947,2018-01-13T16:12:03.262011Z
15,2471.7938990058,145882471.7938989997,2018-01-13T16:12:03.362011Z
16,2471.1091379137,145882471.1091379225,2018-01-13T16:12:03.462011Z
17,2470.4241392223,145882470.4241392314,2018-01-13T16:12:03.562011Z
18,2469.7381901339,145882469.7381901443,2018-01-13T16:12:03.662011Z
19,2469.0520034462,145882469.0520034432,2018-01-13T16:12:03.762011Z
20,2468.3651039607,145882468.3651039600,2018-01-13T16:12:03.862011Z
21,2467.6777292767,145882467.6777292788,2018-01-13T16:12:03.962011Z
22,2466.9898793941,145882466.9898793697,2018-01-13T16:12:04.062011Z
23,2466.3013167137,145882466.3013167083,2018-01-13T16:12:04.162011Z
24,2465.6120412356,145882465.6120412350,2018-01-13T16:12:04.262011Z
25,2464.9225281581,145882464.9225281775,2018-01-13T16:12:04.362011Z
26,2464.2323022829,145882464.2323022783,2018-01-13T16:12:04.462011Z
27,2463.5413636098,145882463.5413635969,2018-01-13T16:12:04.562011Z
28,2462.8499497382,145882462.8499497473,2018-01-13T16:12:04.662011Z
29,2462.1580606680,145882462.1580606699,2018-01-13T16:12:04.762011Z
30,2461.4656963994,145882461.4656963944,2018-01-13T16:12:04.862011Z
31,2460.7726193329,145882460.7726193070,2018-01-13T16:12:04.962011Z
32,2460.0790670679,145882460.0790670812,2018-01-13T16:12:05.062011Z
33,2459.3848020051,145882459.3848019838,2018-01-13T16:12:05.162011Z
34,2458.6900617437,145882458.6900617480,2018-01-13T16:12:05.262011Z
35,2457.9946086845,145882457.9946087003,2018-01-13T16:12:05.362011Z
36,2457.2986804268,145882457.2986804247,2018-01-13T16:12:05.462011Z
37,2456.6022769706,145882456.6022769809,2018-01-13T16:12:05.562011Z
38,2455.9053983158,145882455.9053983092,2018-01-13T16:12:05.662011Z
39,2455.2078068632,145882455.2078068554,2018-01-13T16:12:05.762011Z
40,2454.5095026128,145882454.5095026195,2018-01-13T16:12:05.862011Z
41,2453.8107231639,145882453.8107231557,2018-01-13T16:12:05.962011Z
42,2453.1114685164,145882453.1114684939,2018-01-13T16:12:06.062011Z
43,2452.4115010712,145882452.4115010798,2018-01-13T16:12:06.162011Z
44,2451.7110584274,145882451.7110584080,2018-01-13T16:12:06.262011Z
45,2451.0101405850,145882451.0101405978,2018-01-13T16:12:06.362011Z
46,2450.3085099449,145882450.3085099459,2018-01-13T16:12:06.462011Z
47,2449.6064041062,145882449.6064041257,2018-01-13T16:12:06.562011Z
48,2448.9035854697,145882448.9035854638,2018-01-13T16:12:06.662011Z
49,2448.2002916347,145882448.2002916336,2018-01-13T16:12:06.762011Z
50,2447.4962850018,145882447.4962850213,2018-01-13T16:12:06.862011Z
51,2446.7918031704,145882446.7918031812,2018-01-13T16:12:06.962011Z
52,2446.0868461405,145882446.0868461430,2018-01-13T16:12:07.062011Z
53,2445.3811763128,145882445.3811762929,2018-01-13T16:12:07.162011Z
54,2444.6750312866,145882444.6750313044,2018-01-13T16:12:07.262011Z
55,2443.9681734625,145882443.9681734443,2018-01-13T16:12:07.362011Z
56,2443.2608404399,145882443.2608404458,2018-01-13T16:12:07.462011Z
57,2442.5530322188,145882442.5530322194,2018-01-13T16:12:07.562011Z
58,2441.8445111998,145882441.8445111811,2018-01-13T16:12:07.662011Z
59,2441.1352773831,145882441.1352773905,2018-01-13T16:12:07.762011Z
60,2440.4258059671,145882440.4258059859,2018-01-13T16:12:07.862011Z
61,2439.7153841540,145882439.7153841555,2018-01-13T16:12:07.962011Z
62,2439.0047247416,145882439.0047247410,2018-01-13T16:12:08.062011Z
63,2438.2933525315,145882438.2933525145,2018-01-13T16:12:08.162011Z
64,2437.5812675235,145882437.5812675357,2018-01-13T16:12:08.262011Z
65,2436.8687073170,145882436.8687073290,2018-01-13T16:12:08.362011Z
66,2436.1556719119,145882436.1556718946,2018-01-13T16:12:08.462011Z
67,2435.4419237091,145882435.4419237077,2018-01-13T16:12:08.562011Z
68,2434.7277003077,145882434.7277003229,2018-01-13T16:12:08.662011Z
69,2434.0127641085,145882434.0127640963,2018-01-13T16:12:08.762011Z
70,2433.2971151115,145882433.2971150875,2018-01-13T16:12:08.862011Z
71,2432.5812285153,145882432.5812284946,2018-01-13T16:12:08.962011Z
72,2431.8646291212,145882431.8646291196,2018-01-13T16:12:09.062011Z
73,2431.1473169293,145882431.1473169327,2018-01-13T16:12:09.162011Z
74,2430.4295295389,145882430.4295295477,2018-01-13T16:12:09.262011Z
75,2429.7112669499,145882429.7112669349,2018-01-13T16:12:09.362011Z
76,2428.9922915632,145882428.9922915697,2018-01-13T16:12:09.462011Z
77,2428.2726033786,145882428.2726033926,2018-01-13T16:12:09.562011Z
78,2427.5524399955,145882427.5524399877,2018-01-13T16:12:09.662011Z
79,2426.8318014139,145882426.8318014145,2018-01-13T16:12:09.762011Z
80,2426.1104500344,145882426.1104500294,2018-01-13T16:12:09.862011Z
81,2425.3886234565,145882425.3886234462,2018-01-13T16:12:09.962011Z
82,2424.6660840807,145882424.6660840809,2018-01-13T16:12:10.062011Z
83,2423.9430695064,145882423.9430694878,2018-01-13T16:12:10.162011Z
84,2423.2193421342,145882423.2193421125,2018-01-13T16:12:10.262011Z
85,2422.4951395636,145882422.4951395690,2018-01-13T16:12:10.362011Z
86,2421.7702241951,145882421.7702241838,2018-01-13T16:12:10.462011Z
87,2421.0448336281,145882421.0448336303,2018-01-13T16:12:10.562011Z
88,2420.3187302633,145882420.3187302649,2018-01-13T16:12:10.662011Z
89,2419.5921516999,145882419.5921516716,2018-01-13T16:12:10.762011Z
90,2418.8648603388,145882418.8648603261,2018-01-13T16:12:10.862011Z
91,2418.1370937791,145882418.1370937526,2018-01-13T16:12:10.962011Z
92,2417.4088520208,145882417.4088520408,2018-01-13T16:12:11.062011Z
93,2416.6796598655,145882416.6796598732,2018-01-13T16:12:11.162011Z
94,2415.9502301109,145882415.9502300918,2018-01-13T16:12:11.262011Z
95,2415.2200875586,145882415.2200875580,2018-01-13T16:12:11.362011Z
96,2414.4892322084,145882414.4892321825,2018-01-13T16:12:11.462011Z
97,2413.7579016597,145882413.7579016387,2018-01-13T16:12:11.562011Z
98,2413.0258583131,145882413.0258583128,2018-01-13T16:12:11.662011Z
99,2412.2933397681,145882412.2933397591,2018-01-13T16:12:11.762011Z
100,2411.5603460244,145882411.5603460073,2018-01-13T16:12:11.862011Z
101,2410.8266394830,145882410.8266394734,2018-01-13T16:12:11.962011Z
102,2410.0922201438,145882410.0922201276,2018-01-13T16:12:12.062011Z
103,2409.3573256061,145882409.3573256135,2018-01-13T16:12:12.162011Z
104,2408.6217182705,145882408.6217182577,2018-01-13T16:12:12.262011Z
105,2407.8856357364,145882407.8856357336,2018-01-13T16:12:12.362011Z
106,2407.1488404045,145882407.1488404274,2018-01-13T16:12:12.462011Z
107,2406.4115698741,145882406.4115698636,2018-01-13T16:12:12.562011Z
108,2405.6735865458,145882405.6735865474,2018-01-13T16:12:12.662011Z
109,2404.9351280190,145882404.9351280034,2018-01-13T16:12:12.762011Z
110,2404.1959566945,145882404.1959566772,2018-01-13T16:12:12.862011Z
111,2403.4563101713,145882403.4563101530,2018-01-13T16:12:12.962011Z
112,2402.7159508504,145882402.7159508467,2018-01-13T16:12:13.062011Z
113,2401.9751163309,145882401.9751163125,2018-01-13T16:12:13.162011Z
114,2401.2335690137,145882401.2335690260,2018-01-13T16:12:13.262011Z
115,2400.4915464979,145882400.4915464818,2018-01-13T16:12:13.362011Z
116,2399.7488111842,145882399.7488111854,2018-01-13T16:12:13.462011Z
117,2399.0053630728,145882399.0053630769,2018-01-13T16:12:13.562011Z
118,2398.2614397629,145882398.2614397407,2018-01-13T16:12:13.662011Z
119,2397.5170412544,145882397.5170412660,2018-01-13T16:12:13.762011Z
120,2396.7719299481,145882396.7719299495,2018-01-13T16:12:13.862011Z
121,2396.0261058439,145882396.0261058509,2018-01-13T16:12:13.962011Z
122,2395.2798065413,145882395.2798065245,2018-01-13T16:12:14.062011Z
123,2394.5327944409,145882394.5327944160,2018-01-13T16:12:14.162011Z
124,2393.7853071419,145882393.7853071392,2018-01-13T16:12:14.262011Z
125,2393.0371070451,145882393.0371070206,2018-01-13T16:12:14.362011Z
126,2392.2884317497,145882392.2884317338,2018-01-13T16:12:14.462011Z
127,2391.5390436566,145882391.5390436649,2018-01-13T16:12:14.562011Z
128,2390.7889427657,145882390.7889427543,2018-01-13T16:12:14.662011Z
129,2390.0383666762,145882390.0383666754,2018-01-13T16:12:14.762011Z
130,2389.2873153882,145882389.2873153687,2018-01-13T16:12:14.862011Z
131,2388.5353137031,145882388.5353136957,2018-01-13T16:12:14.962011Z
132,2387.7830744187,145882387.7830744386,2018-01-13T16:12:15.062011Z
133,2387.0298847373,145882387.0298847556,2018-01-13T16:12:15.162011Z
134,2386.2764574566,145882386.2764574587,2018-01-13T16:12:15.262011Z
135,2385.5220797788,145882385.5220797658,2018-01-13T16:12:15.362011Z
136,2384.7672269025,145882384.7672269046,2018-01-13T16:12:15.462011Z
137,2384.0118988276,145882384.0118988454,2018-01-13T16:12:15.562011Z
138,2383.2558579550,145882383.2558579445,2018-01-13T16:12:15.662011Z
139,2382.4991042845,145882382.4991042912,2018-01-13T16:12:15.762011Z
140,2381.7418754155,145882381.7418754101,2018-01-13T16:12:15.862011Z
141,2380.9839337487,145882380.9839337468,2018-01-13T16:12:15.962011Z
142,2380.2252792841,145882380.2252792716,2018-01-13T16:12:16.062011Z
143,2379.4661496209,145882379.4661495984,2018-01-13T16:12:16.162011Z
144,2378.7065447592,145882378.7065447569,2018-01-13T16:12:16.262011Z
145,2377.9459895005,145882377.9459895194,2018-01-13T16:12:16.362011Z
146,2377.1851966425,145882377.1851966381,2018-01-13T16:12:16.462011Z
147,2376.4234533874,145882376.4234533608,2018-01-13T16:12:16.562011Z
148,2375.6612349337,145882375.6612349451,2018-01-13T16:12:16.662011Z
149,2374.8985412815,145882374.8985413015,2018-01-13T16:12:16.762011Z
150,2374.1351348316,145882374.1351348162,2018-01-13T16:12:16.862011Z
151,2373.3710155838,145882373.3710155785,2018-01-13T16:12:16.962011Z
152,2372.6061835382,145882372.6061835289,2018-01-13T16:12:17.062011Z
153,2371.8411138933,145882371.8411138654,2018-01-13T16:12:17.162011Z
154,2371.0750938514,145882371.0750938356,2018-01-13T16:12:17.262011Z
155,2370.3085986109,145882370.3085986078,2018-01-13T16:12:17.362011Z
156,2369.5413905726,145882369.5413905680,2018-01-13T16:12:17.462011Z
157,2368.7737073358,145882368.7737073302,2018-01-13T16:12:17.562011Z
158,2368.0053113012,145882368.0053113103,2018-01-13T16:12:17.662011Z
159,2367.2362024687,145882367.2362024784,2018-01-13T16:12:17.762011Z
160,2366.4666184378,145882366.4666184485,2018-01-13T16:12:17.862011Z
161,2365.6963216090,145882365.6963216066,2018-01-13T16:12:17.962011Z
162,2364.9255495817,145882364.9255495965,2018-01-13T16:12:18.062011Z
163,2364.1540647566,145882364.1540647447,2018-01-13T16:12:18.162011Z
164,2363.3818671336,145882363.3818671405,2018-01-13T16:12:18.262011Z
165,2362.6091943122,145882362.6091943085,2018-01-13T16:12:18.362011Z
166,2361.8358086929,145882361.8358086944,2018-01-13T16:12:18.462011Z
167,2361.0617102759,145882361.0617102683,2018-01-13T16:12:18.562011Z
168,2360.2871366602,145882360.2871366739,2018-01-13T16:12:18.662011Z
169,2359.5118502468,145882359.5118502676,2018-01-13T16:12:18.762011Z
170,2358.7360886349,145882358.7360886335,2018-01-13T16:12:18.862011Z
171,2357.9596142251,145882357.9596142471,2018-01-13T16:12:18.962011Z
172,2357.1824270176,145882357.1824270189,2018-01-13T16:12:19.062011Z
173,2356.4047646115,145882356.4047646224,2018-01-13T16:12:19.162011Z
174,2355.6263894076,145882355.6263894141,2018-01-13T16:12:19.262011Z
175,2354.8473014058,145882354.8473013937,2018-01-13T16:12:19.362011Z
176,2354.0677382056,145882354.0677382052,2018-01-13T16:12:19.462011Z
177,2353.2874622075,145882353.2874622047,2018-01-13T16:12:19.562011Z
178,2352.5067110110,145882352.5067110360,2018-01-13T16:12:19.662011Z
179,2351.7252470166,145882351.7252470255,2018-01-13T16:12:19.762011Z
180,2350.9430702244,145882350.9430702329,2018-01-13T16:12:19.862011Z
181,2350.1601806343,145882350.1601806283,2018-01-13T16:12:19.962011Z
182,2349.3768158458,145882349.3768158555,2018-01-13T16:12:20.062011Z
183,2348.5927382594,145882348.5927382410,2018-01-13T16:12:20.162011Z
184,2347.8081854746,145882347.8081854582,2018-01-13T16:12:20.262011Z
185,2347.0229198919,145882347.0229198933,2018-01-13T16:12:20.362011Z
186,2346.2369415114,145882346.2369415164,2018-01-13T16:12:20.462011Z
187,2345.4504879323,145882345.4504879415,2018-01-13T16:12:20.562011Z
188,2344.6633215555,145882344.6633215547,2018-01-13T16:12:20.662011Z
189,2343.8754423808,145882343.8754423857,2018-01-13T16:12:20.762011Z
190,2343.0868504084,145882343.0868504047,2018-01-13T16:12:20.862011Z
191,2342.2977832374,145882342.2977832258,2018-01-13T16:12:20.962011Z
192,2341.5082408679,145882341.5082408488,2018-01-13T16:12:21.062011Z
193,2340.7177481013,145882340.7177480757,2018-01-13T16:12:21.162011Z
194,2339.9267801361,145882339.9267801344,2018-01-13T16:12:21.262011Z
195,2339.1350993732,145882339.1350993812,2018-01-13T16:12:21.362011Z
196,2338.3429434117,145882338.3429434001,2018-01-13T16:12:21.462011Z
197,2337.5500746524,145882337.5500746667,2018-01-13T16:12:21.562011Z
198,2336.7564930953,145882336.7564930916,2018-01-13T16:12:21.662011Z
199,2335.9621987404,145882335.9621987641,2018-01-13T16:12:21.762011Z
200,2335.1674291870,145882335.1674291790,2018-01-13T16:12:21.862011Z
201,2334.3719468357,145882334.3719468415,2018-01-13T16:12:21.962011Z
202,2333.5759892859,145882333.5759892762,2018-01-13T16:12:22.062011Z
203,2332.7793189383,145882332.7793189287,2018-01-13T16:12:22.162011Z
204,2331.9819357930,145882331.9819357991,2018-01-13T16:12:22.262011Z
205,2331.1838398498,145882331.1838398278,2018-01-13T16:12:22.362011Z
206,2330.3852687080,145882330.3852686882,2018-01-13T16:12:22.462011Z
207,2329.5859847685,145882329.5859847665,2018-01-13T16:12:22.562011Z
208,2328.7859880311,145882328.7859880328,2018-01-13T16:12:22.662011Z
