index,doppler_offset,measured_freq,timestamp
0,2892.8582940311,145882892.8582940102,2018-01-13T16:12:01.862011Z
1,2892.5387230149,145882892.5387230217,2018-01-13T16:12:01.962011Z
2,2892.2186768001,145882892.2186768055,2018-01-13T16:12:02.062011Z
3,2891.8986305853,145882891.8986305892,2018-01-13T16:12:02.162011Z
4,2891.5781091720,145882891.5781091750,2018-01-13T16:12:02.262011Z
5,2891.2573501594,145882891.2573501766,2018-01-13T16:12:02.362011Z
6,2890.9363535475,145882890.9363535345,2018-01-13T16:12:02.462011Z
7,2890.6151193364,145882890.6151193380,2018-01-13T16:12:02.562011Z
8,2890.2936475260,145882890.2936475277,2018-01-13T16:12:02.662011Z
9,2889.9719381163,145882889.9719381034,2018-01-13T16:12:02.762011Z
10,2889.6497535081,145882889.6497535110,2018-01-13T16:12:02.862011Z
11,2889.3275688999,145882889.3275688887,2018-01-13T16:12:02.962011Z
12,2889.0049090931,145882889.0049090981,2018-01-13T16:12:03.062011Z
13,2888.6822492864,145882888.6822492778,2018-01-13T16:12:03.162011Z
14,2888.3591142811,145882888.3591142595,2018-01-13T16:12:03.262011Z
15,2888.0357416765,145882888.0357416868,2018-01-13T16:12:03.362011Z
16,2887.7121314727,145882887.7121314704,2018-01-13T16:12:03.462011Z
17,2887.3882836696,145882887.3882836699,2018-01-13T16:12:03.562011Z
18,2887.0639606680,145882887.0639606714,2018-01-13T16:12:03.662011Z
19,2886.7396376664,145882886.7396376729,2018-01-13T16:12:03.762011Z
20,2886.4148394662,145882886.4148394465,2018-01-13T16:12:03.862011Z
21,2886.0900412660,145882886.0900412798,2018-01-13T16:12:03.962011Z
22,2885.7647678673,145882885.7647678554,2018-01-13T16:12:04.062011Z
23,2885.4392568694,145882885.4392568767,2018-01-13T16:12:04.162011Z
24,2885.1135082721,145882885.1135082841,2018-01-13T16:12:04.262011Z
25,2884.7875220756,145882884.7875220776,2018-01-13T16:12:04.362011Z
26,2884.4612982799,145882884.4612982571,2018-01-13T16:12:04.462011Z
27,2884.1348368848,145882884.1348369122,2018-01-13T16:12:04.562011Z
28,2883.8079002912,145882883.8079002798,2018-01-13T16:12:04.662011Z
29,2883.4809636976,145882883.4809636772,2018-01-13T16:12:04.762011Z
30,2883.1535519055,145882883.1535519063,2018-01-13T16:12:04.862011Z
31,2882.8259025141,145882882.8259025216,2018-01-13T16:12:04.962011Z
32,2882.4980155235,145882882.4980155230,2018-01-13T16:12:05.062011Z
33,2882.1698909336,145882882.1698909104,2018-01-13T16:12:05.162011Z
34,2881.8415287444,145882881.8415287435,2018-01-13T16:12:05.262011Z
35,2881.5126913566,145882881.5126913488,2018-01-13T16:12:05.362011Z
36,2881.1838539689,145882881.1838539541,2018-01-13T16:12:05.462011Z
37,2880.8545413826,145882880.8545413911,2018-01-13T16:12:05.562011Z
38,2880.5252287964,145882880.5252287984,2018-01-13T16:12:05.662011Z
39,2880.1954410116,145882880.1954410076,2018-01-13T16:12:05.762011Z
40,2879.8654156275,145882879.8654156327,2018-01-13T16:12:05.862011Z
41,2879.5351526441,145882879.5351526737,2018-01-13T16:12:05.962011Z
42,2879.2044144623,145882879.2044144571,2018-01-13T16:12:06.062011Z
43,2878.8736762804,145882878.8736762702,2018-01-13T16:12:06.162011Z
44,2878.5424629000,145882878.5424628854,2018-01-13T16:12:06.262011Z
45,2878.2112495196,145882878.2112495005,2018-01-13T16:12:06.362011Z
46,2877.8795609406,145882877.8795609474,2018-01-13T16:12:06.462011Z
47,2877.5476347624,145882877.5476347804,2018-01-13T16:12:06.562011Z
48,2877.2154709849,145882877.2154709697,2018-01-13T16:12:06.662011Z
49,2876.8828320089,145882876.8828319907,2018-01-13T16:12:06.762011Z
50,2876.5501930328,145882876.5501930416,2018-01-13T16:12:06.862011Z
51,2876.2170788583,145882876.2170788348,2018-01-13T16:12:06.962011Z
52,2875.8839646837,145882875.8839646578,2018-01-13T16:12:07.062011Z
53,2875.5503753106,145882875.5503753126,2018-01-13T16:12:07.162011Z
54,2875.2165483382,145882875.2165483236,2018-01-13T16:12:07.262011Z
55,2874.8824837666,145882874.8824837804,2018-01-13T16:12:07.362011Z
56,2874.5479439964,145882874.5479440093,2018-01-13T16:12:07.462011Z
57,2874.2134042262,145882874.2134042084,2018-01-13T16:12:07.562011Z
58,2873.8783892575,145882873.8783892393,2018-01-13T16:12:07.662011Z
59,2873.5433742888,145882873.5433743000,2018-01-13T16:12:07.762011Z
60,2873.2078841216,145882873.2078841329,2018-01-13T16:12:07.862011Z
61,2872.8721563550,145882872.8721563518,2018-01-13T16:12:07.962011Z
62,2872.5359533900,145882872.5359533727,2018-01-13T16:12:08.062011Z
63,2872.1997504249,145882872.1997504234,2018-01-13T16:12:08.162011Z
64,2871.8633098606,145882871.8633098602,2018-01-13T16:12:08.262011Z
65,2871.5263940977,145882871.5263940990,2018-01-13T16:12:08.362011Z
66,2871.1892407356,145882871.1892407238,2018-01-13T16:12:08.462011Z
67,2870.8518497742,145882870.8518497944,2018-01-13T16:12:08.562011Z
68,2870.5142212135,145882870.5142212212,2018-01-13T16:12:08.662011Z
69,2870.1763550536,145882870.1763550341,2018-01-13T16:12:08.762011Z
70,2869.8380136951,145882869.8380137086,2018-01-13T16:12:08.862011Z
71,2869.4996723367,145882869.4996723235,2018-01-13T16:12:08.962011Z
72,2869.1608557796,145882869.1608557999,2018-01-13T16:12:09.062011Z
73,2868.8218016234,145882868.8218016326,2018-01-13T16:12:09.162011Z
