index,doppler_offset,measured_freq,timestamp
0,2440.6356061212,145882440.6356061101,2018-01-13T16:12:01.862011Z
1,2439.9256595067,145882439.9256595075,2018-01-13T16:12:01.962011Z
2,2439.2147624951,145882439.2147625089,2018-01-13T16:12:02.062011Z
3,2438.5036278842,145882438.5036278963,2018-01-13T16:12:02.162011Z
4,2437.7917804755,145882437.7917804718,2018-01-13T16:12:02.262011Z
5,2437.0792202690,145882437.0792202652,2018-01-13T16:12:02.362011Z
6,2436.3661848639,145882436.3661848605,2018-01-13T16:12:02.462011Z
7,2435.6526742603,145882435.6526742578,2018-01-13T16:12:02.562011Z
8,2434.9384508590,145882434.9384508729,2018-01-13T16:12:02.662011Z
9,2434.2235146598,145882434.2235146463,2018-01-13T16:12:02.762011Z
10,2433.5081032620,145882433.5081032515,2018-01-13T16:12:02.862011Z
11,2432.7922166658,145882432.7922166586,2018-01-13T16:12:02.962011Z
12,2432.0756172717,145882432.0756172836,2018-01-13T16:12:03.062011Z
13,2431.3585426791,145882431.3585426807,2018-01-13T16:12:03.162011Z
14,2430.6409928879,145882430.6409928799,2018-01-13T16:12:03.262011Z
15,2429.9227302990,145882429.9227302969,2018-01-13T16:12:03.362011Z
16,2429.2037549122,145882429.2037549019,2018-01-13T16:12:03.462011Z
17,2428.4843043269,145882428.4843043387,2018-01-13T16:12:03.562011Z
18,2427.7641409438,145882427.7641409338,2018-01-13T16:12:03.662011Z
19,2427.0437399615,145882427.0437399447,2018-01-13T16:12:03.762011Z
20,2426.3223885820,145882426.3223885894,2018-01-13T16:12:03.862011Z
21,2425.6005620040,145882425.6005620062,2018-01-13T16:12:03.962011Z
22,2424.8782602275,145882424.8782602251,2018-01-13T16:12:04.062011Z
23,2424.1552456532,145882424.1552456617,2018-01-13T16:12:04.162011Z
24,2423.4317558803,145882423.4317558706,2018-01-13T16:12:04.262011Z
25,2422.7075533097,145882422.7075533271,2018-01-13T16:12:04.362011Z
26,2421.9826379412,145882421.9826379418,2018-01-13T16:12:04.462011Z
27,2421.2574849735,145882421.2574849725,2018-01-13T16:12:04.562011Z
28,2420.5313816087,145882420.5313816071,2018-01-13T16:12:04.662011Z
29,2419.8050406446,145882419.8050406575,2018-01-13T16:12:04.762011Z
30,2419.0777492834,145882419.0777492821,2018-01-13T16:12:04.862011Z
31,2418.3502203230,145882418.3502203226,2018-01-13T16:12:04.962011Z
32,2417.6219785648,145882417.6219785810,2018-01-13T16:12:05.062011Z
33,2416.8930240087,145882416.8930239975,2018-01-13T16:12:05.162011Z
34,2416.1635942541,145882416.1635942757,2018-01-13T16:12:05.262011Z
35,2415.4334517018,145882415.4334517121,2018-01-13T16:12:05.362011Z
36,2414.7028339508,145882414.7028339505,2018-01-13T16:12:05.462011Z
37,2413.9715034021,145882413.9715034068,2018-01-13T16:12:05.562011Z
38,2413.2396976549,145882413.2396976650,2018-01-13T16:12:05.662011Z
39,2412.5071791098,145882412.5071791112,2018-01-13T16:12:05.762011Z
40,2411.7741853662,145882411.7741853595,2018-01-13T16:12:05.862011Z
41,2411.0404788248,145882411.0404788256,2018-01-13T16:12:05.962011Z
42,2410.3062970848,145882410.3062970936,2018-01-13T16:12:06.062011Z
43,2409.5714025471,145882409.5714025497,2018-01-13T16:12:06.162011Z
44,2408.8360328108,145882408.8360328078,2018-01-13T16:12:06.262011Z
45,2408.0999502767,145882408.0999502540,2018-01-13T16:12:06.362011Z
46,2407.3633925441,145882407.3633925319,2018-01-13T16:12:06.462011Z
47,2406.6261220136,145882406.6261219978,2018-01-13T16:12:06.562011Z
48,2405.8883762846,145882405.8883762658,2018-01-13T16:12:06.662011Z
49,2405.1499177579,145882405.1499177516,2018-01-13T16:12:06.762011Z
50,2404.4107464333,145882404.4107464254,2018-01-13T16:12:06.862011Z
51,2403.6713375094,145882403.6713375151,2018-01-13T16:12:06.962011Z
52,2402.9309781885,145882402.9309781790,2018-01-13T16:12:07.062011Z
53,2402.1901436690,145882402.1901436746,2018-01-13T16:12:07.162011Z
54,2401.4488339510,145882401.4488339722,2018-01-13T16:12:07.262011Z
55,2400.7068114352,145882400.7068114281,2018-01-13T16:12:07.362011Z
56,2399.9640761216,145882399.9640761316,2018-01-13T16:12:07.462011Z
57,2399.2208656094,145882399.2208656073,2018-01-13T16:12:07.562011Z
58,2398.4769422995,145882398.4769423008,2018-01-13T16:12:07.662011Z
59,2397.7325437910,145882397.7325437963,2018-01-13T16:12:07.762011Z
60,2396.9874324847,145882396.9874324799,2018-01-13T16:12:07.862011Z
61,2396.2418459798,145882396.2418459654,2018-01-13T16:12:07.962011Z
62,2395.4955466772,145882395.4955466986,2018-01-13T16:12:08.062011Z
63,2394.7487721760,145882394.7487721741,2018-01-13T16:12:08.162011Z
64,2394.0012848770,145882394.0012848675,2018-01-13T16:12:08.262011Z
65,2393.2533223795,145882393.2533223927,2018-01-13T16:12:08.362011Z
66,2392.5046470842,145882392.5046470761,2018-01-13T16:12:08.462011Z
67,2391.7552589910,145882391.7552589774,2018-01-13T16:12:08.562011Z
68,2391.0053956993,145882391.0053957105,2018-01-13T16:12:08.662011Z
69,2390.2548196099,145882390.2548196018,2018-01-13T16:12:08.762011Z
70,2389.5037683218,145882389.5037683249,2018-01-13T16:12:08.862011Z
71,2388.7520042360,145882388.7520042360,2018-01-13T16:12:08.962011Z
72,2387.9997649517,145882387.9997649491,2018-01-13T16:12:09.062011Z
73,2387.2468128695,145882387.2468128800,2018-01-13T16:12:09.162011Z
74,2386.4933855888,145882386.4933856130,2018-01-13T16:12:09.262011Z
75,2385.7390079110,145882385.7390079200,2018-01-13T16:12:09.362011Z
76,2384.9843926340,145882384.9843926430,2018-01-13T16:12:09.462011Z
77,2384.2290645591,145882384.2290645540,2018-01-13T16:12:09.562011Z
78,2383.4730236865,145882383.4730236828,2018-01-13T16:12:09.662011Z
79,2382.7165076153,145882382.7165076137,2018-01-13T16:12:09.762011Z
80,2381.9592787463,145882381.9592787325,2018-01-13T16:12:09.862011Z
