index,doppler_offset,measured_freq,timestamp
0,2438.2964413220,145882438.2964413166,2018-01-13T16:12:01.862011Z
1,2437.5843563140,145882437.5843563378,2018-01-13T16:12:01.962011Z
2,2436.8717961075,145882436.8717961311,2018-01-13T16:12:02.062011Z
3,2436.1582855039,145882436.1582854986,2018-01-13T16:12:02.162011Z
4,2435.4445373011,145882435.4445372820,2018-01-13T16:12:02.262011Z
5,2434.7300763004,145882434.7300762832,2018-01-13T16:12:02.362011Z
6,2434.0149025019,145882434.0149025023,2018-01-13T16:12:02.462011Z
7,2433.2992535049,145882433.2992535233,2018-01-13T16:12:02.562011Z
8,2432.5831293094,145882432.5831293166,2018-01-13T16:12:02.662011Z
9,2431.8662923161,145882431.8662923276,2018-01-13T16:12:02.762011Z
10,2431.1489801242,145882431.1489801109,2018-01-13T16:12:02.862011Z
11,2430.4309551345,145882430.4309551418,2018-01-13T16:12:02.962011Z
12,2429.7124549463,145882429.7124549448,2018-01-13T16:12:03.062011Z
13,2428.9932419603,145882428.9932419658,2018-01-13T16:12:03.162011Z
14,2428.2735537757,145882428.2735537589,2018-01-13T16:12:03.262011Z
15,2427.5533903926,145882427.5533903837,2018-01-13T16:12:03.362011Z
16,2426.8325142117,145882426.8325141966,2018-01-13T16:12:03.462011Z
17,2426.1109252330,145882426.1109252274,2018-01-13T16:12:03.562011Z
18,2425.3888610557,145882425.3888610303,2018-01-13T16:12:03.662011Z
19,2424.6660840807,145882424.6660840809,2018-01-13T16:12:03.762011Z
20,2423.9428319071,145882423.9428319037,2018-01-13T16:12:03.862011Z
21,2423.2191045350,145882423.2191045284,2018-01-13T16:12:03.962011Z
22,2422.4946643650,145882422.4946643710,2018-01-13T16:12:04.062011Z
23,2421.7697489965,145882421.7697490156,2018-01-13T16:12:04.162011Z
24,2421.0441208303,145882421.0441208482,2018-01-13T16:12:04.262011Z
25,2420.3177798662,145882420.3177798688,2018-01-13T16:12:04.362011Z
26,2419.5909637036,145882419.5909637213,2018-01-13T16:12:04.462011Z
27,2418.8636723424,145882418.8636723161,2018-01-13T16:12:04.562011Z
28,2418.1356681834,145882418.1356681883,2018-01-13T16:12:04.662011Z
29,2417.4071888259,145882417.4071888030,2018-01-13T16:12:04.762011Z
30,2416.6779966706,145882416.6779966652,2018-01-13T16:12:04.862011Z
31,2415.9483293168,145882415.9483293295,2018-01-13T16:12:04.962011Z
32,2415.2179491651,145882415.2179491818,2018-01-13T16:12:05.062011Z
33,2414.4870938150,145882414.4870938063,2018-01-13T16:12:05.162011Z
34,2413.7555256670,145882413.7555256784,2018-01-13T16:12:05.262011Z
35,2413.0232447212,145882413.0232447088,2018-01-13T16:12:05.362011Z
36,2412.2907261761,145882412.2907261848,2018-01-13T16:12:05.462011Z
37,2411.5572572340,145882411.5572572052,2018-01-13T16:12:05.562011Z
38,2410.8233130933,145882410.8233130872,2018-01-13T16:12:05.662011Z
39,2410.0888937541,145882410.0888937712,2018-01-13T16:12:05.762011Z
40,2409.3537616170,145882409.3537616432,2018-01-13T16:12:05.862011Z
41,2408.6181542815,145882408.6181542873,2018-01-13T16:12:05.962011Z
42,2407.8818341481,145882407.8818341494,2018-01-13T16:12:06.062011Z
43,2407.1448012169,145882407.1448011994,2018-01-13T16:12:06.162011Z
44,2406.4072930872,145882406.4072930813,2018-01-13T16:12:06.262011Z
45,2405.6693097590,145882405.6693097651,2018-01-13T16:12:06.362011Z
46,2404.9306136329,145882404.9306136072,2018-01-13T16:12:06.462011Z
47,2404.1912047091,145882404.1912046969,2018-01-13T16:12:06.562011Z
48,2403.4513205867,145882403.4513205886,2018-01-13T16:12:06.662011Z
49,2402.7109612658,145882402.7109612525,2018-01-13T16:12:06.762011Z
50,2401.9698891470,145882401.9698891342,2018-01-13T16:12:06.862011Z
51,2401.2281042305,145882401.2281042039,2018-01-13T16:12:06.962011Z
52,2400.4858441154,145882400.4858441055,2018-01-13T16:12:07.062011Z
53,2399.7428712025,145882399.7428711951,2018-01-13T16:12:07.162011Z
54,2398.9994230911,145882398.9994230866,2018-01-13T16:12:07.262011Z
55,2398.2552621819,145882398.2552621663,2018-01-13T16:12:07.362011Z
56,2397.5106260741,145882397.5106260777,2018-01-13T16:12:07.462011Z
57,2396.7652771685,145882396.7652771771,2018-01-13T16:12:07.562011Z
58,2396.0192154652,145882396.0192154646,2018-01-13T16:12:07.662011Z
59,2395.2726785632,145882395.2726785541,2018-01-13T16:12:07.762011Z
60,2394.5256664628,145882394.5256664753,2018-01-13T16:12:07.862011Z
61,2393.7779415645,145882393.7779415846,2018-01-13T16:12:07.962011Z
62,2393.0295038685,145882393.0295038819,2018-01-13T16:12:08.062011Z
63,2392.2805909739,145882392.2805909514,2018-01-13T16:12:08.162011Z
64,2391.5309652815,145882391.5309652984,2018-01-13T16:12:08.262011Z
65,2390.7808643905,145882390.7808643878,2018-01-13T16:12:08.362011Z
66,2390.0300507018,145882390.0300506949,2018-01-13T16:12:08.462011Z
67,2389.2787618145,145882389.2787618339,2018-01-13T16:12:08.562011Z
68,2388.5267601294,145882388.5267601311,2018-01-13T16:12:08.662011Z
69,2387.7740456465,145882387.7740456462,2018-01-13T16:12:08.762011Z
70,2387.0208559651,145882387.0208559632,2018-01-13T16:12:08.862011Z
71,2386.2671910851,145882386.2671910822,2018-01-13T16:12:08.962011Z
72,2385.5125758080,145882385.5125758052,2018-01-13T16:12:09.062011Z
73,2384.7577229317,145882384.7577229440,2018-01-13T16:12:09.162011Z
74,2384.0019196583,145882384.0019196570,2018-01-13T16:12:09.262011Z
75,2383.2456411864,145882383.2456412017,2018-01-13T16:12:09.362011Z
76,2382.4888875160,145882382.4888875186,2018-01-13T16:12:09.462011Z
77,2381.7314210477,145882381.7314210534,2018-01-13T16:12:09.562011Z
78,2380.9732417816,145882380.9732418060,2018-01-13T16:12:09.662011Z
79,2380.2145873170,145882380.2145873010,2018-01-13T16:12:09.762011Z
80,2379.4552200546,145882379.4552200437,2018-01-13T16:12:09.862011Z
81,2378.6951399944,145882378.6951400042,2018-01-13T16:12:09.962011Z
82,2377.9345847356,145882377.9345847368,2018-01-13T16:12:10.062011Z
83,2377.1735542783,145882377.1735542715,2018-01-13T16:12:10.162011Z
84,2376.4115734239,145882376.4115734398,2018-01-13T16:12:10.262011Z
85,2375.6493549703,145882375.6493549645,2018-01-13T16:12:10.362011Z
86,2374.8861861196,145882374.8861861229,2018-01-13T16:12:10.462011Z
87,2374.1225420703,145882374.1225420535,2018-01-13T16:12:10.562011Z
88,2373.3584228225,145882373.3584228158,2018-01-13T16:12:10.662011Z
89,2372.5933531777,145882372.5933531821,2018-01-13T16:12:10.762011Z
90,2371.8280459335,145882371.8280459344,2018-01-13T16:12:10.862011Z
91,2371.0617882923,145882371.0617882907,2018-01-13T16:12:10.962011Z
92,2370.2950554526,145882370.2950554490,2018-01-13T16:12:11.062011Z
93,2369.5278474143,145882369.5278474092,2018-01-13T16:12:11.162011Z
94,2368.7596889789,145882368.7596889734,2018-01-13T16:12:11.262011Z
95,2367.9912929443,145882367.9912929535,2018-01-13T16:12:11.362011Z
96,2367.2219465126,145882367.2219465077,2018-01-13T16:12:11.462011Z
97,2366.4521248824,145882366.4521248639,2018-01-13T16:12:11.562011Z
98,2365.6815904543,145882365.6815904379,2018-01-13T16:12:11.662011Z
99,2364.9105808278,145882364.9105808139,2018-01-13T16:12:11.762011Z
100,2364.1388584034,145882364.1388584077,2018-01-13T16:12:11.862011Z
101,2363.3666607805,145882363.3666607738,2018-01-13T16:12:11.962011Z
102,2362.5935127605,145882362.5935127437,2018-01-13T16:12:12.062011Z
