index,doppler_offset,measured_freq,timestamp
0,2440.6127965915,145882440.6127965748,2018-01-13T16:12:01.862011Z
1,2439.9026123776,145882439.9026123881,2018-01-13T16:12:01.962011Z
2,2439.1917153660,145882439.1917153597,2018-01-13T16:12:02.062011Z
3,2438.4803431558,145882438.4803431630,2018-01-13T16:12:02.162011Z
4,2437.7684957471,145882437.7684957385,2018-01-13T16:12:02.262011Z
5,2437.0559355406,145882437.0559355617,2018-01-13T16:12:02.362011Z
6,2436.3429001356,145882436.3429001272,2018-01-13T16:12:02.462011Z
7,2435.6291519328,145882435.6291519403,2018-01-13T16:12:02.562011Z
8,2434.9149285314,145882434.9149285555,2018-01-13T16:12:02.662011Z
9,2434.1999923322,145882434.1999923289,2018-01-13T16:12:02.762011Z
10,2433.4845809344,145882433.4845809340,2018-01-13T16:12:02.862011Z
11,2432.7684567389,145882432.7684567273,2018-01-13T16:12:02.962011Z
12,2432.0518573448,145882432.0518573523,2018-01-13T16:12:03.062011Z
13,2431.3345451530,145882431.3345451653,2018-01-13T16:12:03.162011Z
14,2430.6167577625,145882430.6167577505,2018-01-13T16:12:03.262011Z
15,2429.8984951736,145882429.8984951675,2018-01-13T16:12:03.362011Z
16,2429.1795197868,145882429.1795198023,2018-01-13T16:12:03.462011Z
17,2428.4600692015,145882428.4600692093,2018-01-13T16:12:03.562011Z
18,2427.7399058184,145882427.7399058342,2018-01-13T16:12:03.662011Z
19,2427.0190296375,145882427.0190296173,2018-01-13T16:12:03.762011Z
20,2426.2979158574,145882426.2979158461,2018-01-13T16:12:03.862011Z
21,2425.5758516801,145882425.5758516788,2018-01-13T16:12:03.962011Z
22,2424.8535499036,145882424.8535498977,2018-01-13T16:12:04.062011Z
23,2424.1302977300,145882424.1302977204,2018-01-13T16:12:04.162011Z
24,2423.4068079571,145882423.4068079591,2018-01-13T16:12:04.262011Z
25,2422.6823677872,145882422.6823678017,2018-01-13T16:12:04.362011Z
26,2421.9576900180,145882421.9576900303,2018-01-13T16:12:04.462011Z
27,2421.2322994510,145882421.2322994471,2018-01-13T16:12:04.562011Z
28,2420.5061960862,145882420.5061960816,2018-01-13T16:12:04.662011Z
29,2419.7796175228,145882419.7796175182,2018-01-13T16:12:04.762011Z
30,2419.0523261617,145882419.0523261726,2018-01-13T16:12:04.862011Z
31,2418.3245596020,145882418.3245595992,2018-01-13T16:12:04.962011Z
32,2417.5963178437,145882417.5963178277,2018-01-13T16:12:05.062011Z
33,2416.8673632877,145882416.8673632741,2018-01-13T16:12:05.162011Z
34,2416.1376959339,145882416.1376959383,2018-01-13T16:12:05.262011Z
35,2415.4075533815,145882415.4075533748,2018-01-13T16:12:05.362011Z
36,2414.6766980313,145882414.6766980290,2018-01-13T16:12:05.462011Z
37,2413.9453674826,145882413.9453674555,2018-01-13T16:12:05.562011Z
38,2413.2135617353,145882413.2135617435,2018-01-13T16:12:05.662011Z
39,2412.4808055910,145882412.4808055758,2018-01-13T16:12:05.762011Z
40,2411.7478118474,145882411.7478118241,2018-01-13T16:12:05.862011Z
41,2411.0141053060,145882411.0141053200,2018-01-13T16:12:05.962011Z
42,2410.2796859667,145882410.2796859741,2018-01-13T16:12:06.062011Z
43,2409.5447914290,145882409.5447914302,2018-01-13T16:12:06.162011Z
44,2408.8091840934,145882408.8091841042,2018-01-13T16:12:06.262011Z
45,2408.0731015593,145882408.0731015503,2018-01-13T16:12:06.362011Z
46,2407.3365438267,145882407.3365438282,2018-01-13T16:12:06.462011Z
47,2406.5990356970,145882406.5990357101,2018-01-13T16:12:06.562011Z
48,2405.8612899680,145882405.8612899780,2018-01-13T16:12:06.662011Z
49,2405.1225938420,145882405.1225938201,2018-01-13T16:12:06.762011Z
50,2404.3836601166,145882404.3836601079,2018-01-13T16:12:06.862011Z
51,2403.6437759943,145882403.6437759995,2018-01-13T16:12:06.962011Z
52,2402.9034166733,145882402.9034166634,2018-01-13T16:12:07.062011Z
53,2402.1625821539,145882402.1625821292,2018-01-13T16:12:07.162011Z
54,2401.4210348366,145882401.4210348427,2018-01-13T16:12:07.262011Z
55,2400.6790123208,145882400.6790123284,2018-01-13T16:12:07.362011Z
56,2399.9362770072,145882399.9362770021,2018-01-13T16:12:07.462011Z
57,2399.1928288957,145882399.1928288937,2018-01-13T16:12:07.562011Z
58,2398.4489055858,145882398.4489055872,2018-01-13T16:12:07.662011Z
59,2397.7045070773,145882397.7045070827,2018-01-13T16:12:07.762011Z
60,2396.9593957710,145882396.9593957663,2018-01-13T16:12:07.862011Z
61,2396.2135716669,145882396.2135716677,2018-01-13T16:12:07.962011Z
62,2395.4672723642,145882395.4672723413,2018-01-13T16:12:08.062011Z
63,2394.7202602638,145882394.7202602625,2018-01-13T16:12:08.162011Z
64,2393.9727729648,145882393.9727729559,2018-01-13T16:12:08.262011Z
65,2393.2245728680,145882393.2245728672,2018-01-13T16:12:08.362011Z
66,2392.4756599734,145882392.4756599665,2018-01-13T16:12:08.462011Z
67,2391.7262718802,145882391.7262718976,2018-01-13T16:12:08.562011Z
68,2390.9764085886,145882390.9764086008,2018-01-13T16:12:08.662011Z
69,2390.2258324991,145882390.2258325219,2018-01-13T16:12:08.762011Z
70,2389.4745436118,145882389.4745436013,2018-01-13T16:12:08.862011Z
71,2388.7227795260,145882388.7227795124,2018-01-13T16:12:08.962011Z
72,2387.9703026424,145882387.9703026712,2018-01-13T16:12:09.062011Z
73,2387.2173505602,145882387.2173505723,2018-01-13T16:12:09.162011Z
74,2386.4636856802,145882386.4636856914,2018-01-13T16:12:09.262011Z
75,2385.7093080024,145882385.7093079984,2018-01-13T16:12:09.362011Z
76,2384.9544551261,145882384.9544551373,2018-01-13T16:12:09.462011Z
77,2384.1991270513,145882384.1991270781,2018-01-13T16:12:09.562011Z
78,2383.4428485793,145882383.4428485930,2018-01-13T16:12:09.662011Z
79,2382.6863325082,145882382.6863325238,2018-01-13T16:12:09.762011Z
80,2381.9288660399,145882381.9288660288,2018-01-13T16:12:09.862011Z
81,2381.1709243731,145882381.1709243655,2018-01-13T16:12:09.962011Z
82,2380.4125075077,145882380.4125075042,2018-01-13T16:12:10.062011Z
83,2379.6533778446,145882379.6533778310,2018-01-13T16:12:10.162011Z
84,2378.8935353836,145882378.8935353756,2018-01-13T16:12:10.262011Z
85,2378.1332177241,145882378.1332177222,2018-01-13T16:12:10.362011Z
86,2377.3721872668,145882377.3721872568,2018-01-13T16:12:10.462011Z
87,2376.6104440117,145882376.6104440093,2018-01-13T16:12:10.562011Z
88,2375.8482255581,145882375.8482255340,2018-01-13T16:12:10.662011Z
89,2375.0855319059,145882375.0855318904,2018-01-13T16:12:10.762011Z
90,2374.3221254559,145882374.3221254647,2018-01-13T16:12:10.862011Z
91,2373.5580062081,145882373.5580061972,2018-01-13T16:12:10.962011Z
92,2372.7931741625,145882372.7931741774,2018-01-13T16:12:11.062011Z
93,2372.0278669184,145882372.0278669298,2018-01-13T16:12:11.162011Z
94,2371.2620844757,145882371.2620844841,2018-01-13T16:12:11.262011Z
95,2370.4953516360,145882370.4953516126,2018-01-13T16:12:11.362011Z
96,2369.7281435977,145882369.7281435728,2018-01-13T16:12:11.462011Z
97,2368.9604603609,145882368.9604603648,2018-01-13T16:12:11.562011Z
98,2368.1920643263,145882368.1920643449,2018-01-13T16:12:11.662011Z
99,2367.4229554938,145882367.4229555130,2018-01-13T16:12:11.762011Z
100,2366.6533714629,145882366.6533714533,2018-01-13T16:12:11.862011Z
101,2365.8830746341,145882365.8830746114,2018-01-13T16:12:11.962011Z
102,2365.1120650075,145882365.1120650172,2018-01-13T16:12:12.062011Z
103,2364.3405801824,145882364.3405801654,2018-01-13T16:12:12.162011Z
104,2363.5683825595,145882363.5683825612,2018-01-13T16:12:12.262011Z
105,2362.7957097380,145882362.7957097292,2018-01-13T16:12:12.362011Z
106,2362.0223241188,145882362.0223241150,2018-01-13T16:12:12.462011Z
107,2361.2482257017,145882361.2482257187,2018-01-13T16:12:12.562011Z
108,2360.4736520861,145882360.4736520946,2018-01-13T16:12:12.662011Z
109,2359.6983656727,145882359.6983656585,2018-01-13T16:12:12.762011Z
110,2358.9226040607,145882358.9226040840,2018-01-13T16:12:12.862011Z
111,2358.1458920517,145882358.1458920538,2018-01-13T16:12:12.962011Z
112,2357.3689424434,145882357.3689424694,2018-01-13T16:12:13.062011Z
113,2356.5910424380,145882356.5910424292,2018-01-13T16:12:13.162011Z
114,2355.8126672341,145882355.8126672506,2018-01-13T16:12:13.262011Z
115,2355.0335792324,145882355.0335792303,2018-01-13T16:12:13.362011Z
116,2354.2540160322,145882354.2540160418,2018-01-13T16:12:13.462011Z
117,2353.4737400341,145882353.4737400115,2018-01-13T16:12:13.562011Z
118,2352.6927512383,145882352.6927512586,2018-01-13T16:12:13.662011Z
119,2351.9112872439,145882351.9112872481,2018-01-13T16:12:13.762011Z
120,2351.1291104517,145882351.1291104555,2018-01-13T16:12:13.862011Z
121,2350.3462208617,145882350.3462208509,2018-01-13T16:12:13.962011Z
122,2349.5628560731,145882349.5628560781,2018-01-13T16:12:14.062011Z
123,2348.7787784868,145882348.7787784934,2018-01-13T16:12:14.162011Z
124,2347.9939881026,145882347.9939880967,2018-01-13T16:12:14.262011Z
125,2347.2087225199,145882347.2087225318,2018-01-13T16:12:14.362011Z
126,2346.4227441394,145882346.4227441549,2018-01-13T16:12:14.462011Z
127,2345.6360529611,145882345.6360529363,2018-01-13T16:12:14.562011Z
128,2344.8488865843,145882344.8488865793,2018-01-13T16:12:14.662011Z
129,2344.0610074096,145882344.0610074103,2018-01-13T16:12:14.762011Z
130,2343.2726530364,145882343.2726530433,2018-01-13T16:12:14.862011Z
131,2342.4833482662,145882342.4833482504,2018-01-13T16:12:14.962011Z
132,2341.6935682974,145882341.6935682893,2018-01-13T16:12:15.062011Z
133,2340.9033131300,145882340.9033131301,2018-01-13T16:12:15.162011Z
134,2340.1123451649,145882340.1123451591,2018-01-13T16:12:15.262011Z
135,2339.3206644019,145882339.3206644058,2018-01-13T16:12:15.362011Z
136,2338.5282708412,145882338.5282708704,2018-01-13T16:12:15.462011Z
137,2337.7354020819,145882337.7354020774,2018-01-13T16:12:15.562011Z
138,2336.9418205248,145882336.9418205023,2018-01-13T16:12:15.662011Z
139,2336.1475261699,145882336.1475261748,2018-01-13T16:12:15.762011Z
140,2335.3527566165,145882335.3527566195,2018-01-13T16:12:15.862011Z
141,2334.5570366659,145882334.5570366681,2018-01-13T16:12:15.962011Z
142,2333.7610791162,145882333.7610791028,2018-01-13T16:12:16.062011Z
143,2332.9641711693,145882332.9641711414,2018-01-13T16:12:16.162011Z
144,2332.1667880239,145882332.1667880118,2018-01-13T16:12:16.262011Z
145,2331.3686920807,145882331.3686921000,2018-01-13T16:12:16.362011Z
146,2330.5701209390,145882330.5701209605,2018-01-13T16:12:16.462011Z
147,2329.7705994002,145882329.7705993950,2018-01-13T16:12:16.562011Z
148,2328.9708402621,145882328.9708402455,2018-01-13T16:12:16.662011Z
149,2328.1701307269,145882328.1701307297,2018-01-13T16:12:16.762011Z
150,2327.3689459933,145882327.3689459860,2018-01-13T16:12:16.862011Z
151,2326.5668108625,145882326.5668108463,2018-01-13T16:12:16.962011Z
152,2325.7644381325,145882325.7644381523,2018-01-13T16:12:17.062011Z
153,2324.9611150054,145882324.9611150026,2018-01-13T16:12:17.162011Z
154,2324.1573166797,145882324.1573166549,2018-01-13T16:12:17.262011Z
155,2323.3528055563,145882323.3528055549,2018-01-13T16:12:17.362011Z
156,2322.5478192343,145882322.5478192568,2018-01-13T16:12:17.462011Z
157,2321.7418825152,145882321.7418825030,2018-01-13T16:12:17.562011Z
158,2320.9354705976,145882320.9354706109,2018-01-13T16:12:17.662011Z
159,2320.1283458822,145882320.1283459067,2018-01-13T16:12:17.762011Z
160,2319.3207459683,145882319.3207459748,2018-01-13T16:12:17.862011Z
161,2318.5124332565,145882318.5124332607,2018-01-13T16:12:17.962011Z
162,2317.7034077470,145882317.7034077346,2018-01-13T16:12:18.062011Z
163,2316.8936694396,145882316.8936694562,2018-01-13T16:12:18.162011Z
164,2316.0834559337,145882316.0834559202,2018-01-13T16:12:18.262011Z
165,2315.2722920307,145882315.2722920179,2018-01-13T16:12:18.362011Z
166,2314.4608905285,145882314.4608905315,2018-01-13T16:12:18.462011Z
167,2313.6485386292,145882313.6485386193,2018-01-13T16:12:18.562011Z
168,2312.8357115313,145882312.8357115090,2018-01-13T16:12:18.662011Z
169,2312.0219340364,145882312.0219340324,2018-01-13T16:12:18.762011Z
170,2311.2079189422,145882311.2079189420,2018-01-13T16:12:18.862011Z
171,2310.3929534509,145882310.3929534256,2018-01-13T16:12:18.962011Z
172,2309.5775127611,145882309.5775127709,2018-01-13T16:12:19.062011Z
173,2308.7613592735,145882308.7613592446,2018-01-13T16:12:19.162011Z
174,2307.9444929881,145882307.9444929957,2018-01-13T16:12:19.262011Z
175,2307.1269139049,145882307.1269139051,2018-01-13T16:12:19.362011Z
176,2306.3088596231,145882306.3088596165,2018-01-13T16:12:19.462011Z
177,2305.4900925436,145882305.4900925457,2018-01-13T16:12:19.562011Z
178,2304.6706126662,145882304.6706126630,2018-01-13T16:12:19.662011Z
179,2303.8506575903,145882303.8506575823,2018-01-13T16:12:19.762011Z
180,2303.0297521173,145882303.0297521055,2018-01-13T16:12:19.862011Z
181,2302.2083714458,145882302.2083714604,2018-01-13T16:12:19.962011Z
182,2301.3862779764,145882301.3862780035,2018-01-13T16:12:20.062011Z
183,2300.5637093086,145882300.5637092888,2018-01-13T16:12:20.162011Z
184,2299.7401902436,145882299.7401902378,2018-01-13T16:12:20.262011Z
185,2298.9161959802,145882298.9161959887,2018-01-13T16:12:20.362011Z
186,2298.0914889189,145882298.0914888978,2018-01-13T16:12:20.462011Z
187,2297.2660690598,145882297.2660690546,2018-01-13T16:12:20.562011Z
188,2296.4401740022,145882296.4401740134,2018-01-13T16:12:20.662011Z
189,2295.6135661468,145882295.6135661602,2018-01-13T16:12:20.762011Z
190,2294.7862454935,145882294.7862454951,2018-01-13T16:12:20.862011Z
191,2293.9582120425,145882293.9582120478,2018-01-13T16:12:20.962011Z
192,2293.1294657936,145882293.1294658184,2018-01-13T16:12:21.062011Z
193,2292.3002443462,145882292.3002443612,2018-01-13T16:12:21.162011Z
194,2291.4703101011,145882291.4703100920,2018-01-13T16:12:21.262011Z
195,2290.6396630581,145882290.6396630406,2018-01-13T16:12:21.362011Z
196,2289.8083032173,145882289.8083032370,2018-01-13T16:12:21.462011Z
197,2288.9764681779,145882288.9764681756,2018-01-13T16:12:21.562011Z
198,2288.1436827415,145882288.1436827183,2018-01-13T16:12:21.662011Z
199,2287.3104221066,145882287.3104220927,2018-01-13T16:12:21.762011Z
200,2286.4764486738,145882286.4764486849,2018-01-13T16:12:21.862011Z
201,2285.6420000425,145882285.6420000494,2018-01-13T16:12:21.962011Z
202,2284.8066010141,145882284.8066010177,2018-01-13T16:12:22.062011Z
203,2283.9707267872,145882283.9707267880,2018-01-13T16:12:22.162011Z
204,2283.1341397625,145882283.1341397464,2018-01-13T16:12:22.262011Z
205,2282.2968399400,145882282.2968399227,2018-01-13T16:12:22.362011Z
206,2281.4588273197,145882281.4588273168,2018-01-13T16:12:22.462011Z
207,2280.6203395008,145882280.6203395128,2018-01-13T16:12:22.562011Z
208,2279.7809012849,145882279.7809012830,2018-01-13T16:12:22.662011Z
209,2278.9409878704,145882278.9409878552,2018-01-13T16:12:22.762011Z
210,2278.1003616582,145882278.1003616452,2018-01-13T16:12:22.862011Z
211,2277.2590226481,145882277.2590226531,2018-01-13T16:12:22.962011Z
212,2276.4172084395,145882276.4172084332,2018-01-13T16:12:23.062011Z
213,2275.5744438338,145882275.5744438171,2018-01-13T16:12:23.162011Z
214,2274.7312040295,145882274.7312040329,2018-01-13T16:12:23.262011Z
215,2273.8872514275,145882273.8872514367,2018-01-13T16:12:23.362011Z
216,2273.0425860277,145882273.0425860286,2018-01-13T16:12:23.462011Z
217,2272.1974454293,145882272.1974454224,2018-01-13T16:12:23.562011Z
218,2271.3513544338,145882271.3513544202,2018-01-13T16:12:23.662011Z
219,2270.5047882398,145882270.5047882199,2018-01-13T16:12:23.762011Z
220,2269.6575092480,145882269.6575092375,2018-01-13T16:12:23.862011Z
221,2268.8095174584,145882268.8095174730,2018-01-13T16:12:23.962011Z
222,2267.9608128710,145882267.9608128965,2018-01-13T16:12:24.062011Z
223,2267.1113954858,145882267.1113954782,2018-01-13T16:12:24.162011Z
224,2266.2615029021,145882266.2615028918,2018-01-13T16:12:24.262011Z
225,2265.4106599212,145882265.4106599092,2018-01-13T16:12:24.362011Z
226,2264.5593417419,145882264.5593417287,2018-01-13T16:12:24.462011Z
227,2263.7073107647,145882263.7073107660,2018-01-13T16:12:24.562011Z
228,2262.8545669897,145882262.8545669615,2018-01-13T16:12:24.662011Z
229,2262.0011104169,145882262.0011104047,2018-01-13T16:12:24.762011Z
230,2261.1471786456,145882261.1471786499,2018-01-13T16:12:24.862011Z
231,2260.2922964772,145882260.2922964692,2018-01-13T16:12:24.962011Z
232,2259.4369391103,145882259.4369391203,2018-01-13T16:12:25.062011Z
233,2258.5808689456,145882258.5808689594,2018-01-13T16:12:25.162011Z
234,2257.7240859830,145882257.7240859866,2018-01-13T16:12:25.262011Z
235,2256.8665902227,145882256.8665902317,2018-01-13T16:12:25.362011Z
236,2256.0086192638,145882256.0086192489,2018-01-13T16:12:25.462011Z
237,2255.1496979078,145882255.1496979296,2018-01-13T16:12:25.562011Z
238,2254.2903013533,145882254.2903013527,2018-01-13T16:12:25.662011Z
239,2253.4299544018,145882253.4299543798,2018-01-13T16:12:25.762011Z
240,2252.5691322517,145882252.5691322386,2018-01-13T16:12:25.862011Z
241,2251.7075973038,145882251.7075972855,2018-01-13T16:12:25.962011Z
242,2250.8453495580,145882250.8453495502,2018-01-13T16:12:26.062011Z
243,2249.9823890145,145882249.9823890030,2018-01-13T16:12:26.162011Z
