index,doppler_offset,measured_freq,timestamp
0,2409.9439582002,145882409.9439581931,2018-01-13T16:12:01.862011Z
1,2409.2076380669,145882409.2076380551,2018-01-13T16:12:01.962011Z
2,2408.4708427350,145882408.4708427489,2018-01-13T16:12:02.062011Z
3,2407.7335722045,145882407.7335722148,2018-01-13T16:12:02.162011Z
4,2406.9955888763,145882406.9955888987,2018-01-13T16:12:02.262011Z
5,2406.2571303495,145882406.2571303546,2018-01-13T16:12:02.362011Z
6,2405.5179590249,145882405.5179590285,2018-01-13T16:12:02.462011Z
7,2404.7780749025,145882404.7780749202,2018-01-13T16:12:02.562011Z
8,2404.0377155816,145882404.0377155840,2018-01-13T16:12:02.662011Z
9,2403.2968810621,145882403.2968810499,2018-01-13T16:12:02.762011Z
10,2402.5553337448,145882402.5553337634,2018-01-13T16:12:02.862011Z
11,2401.8130736298,145882401.8130736351,2018-01-13T16:12:02.962011Z
12,2401.0703383161,145882401.0703383088,2018-01-13T16:12:03.062011Z
13,2400.3268902047,145882400.3268902004,2018-01-13T16:12:03.162011Z
14,2399.5829668948,145882399.5829668939,2018-01-13T16:12:03.262011Z
15,2398.8383307870,145882398.8383307755,2018-01-13T16:12:03.362011Z
16,2398.0932194807,145882398.0932194889,2018-01-13T16:12:03.462011Z
17,2397.3473953766,145882397.3473953605,2018-01-13T16:12:03.562011Z
18,2396.6010960739,145882396.6010960639,2018-01-13T16:12:03.662011Z
19,2395.8540839735,145882395.8540839851,2018-01-13T16:12:03.762011Z
20,2395.1063590752,145882395.1063590646,2018-01-13T16:12:03.862011Z
21,2394.3581589784,145882394.3581589758,2018-01-13T16:12:03.962011Z
22,2393.6094836831,145882393.6094836891,2018-01-13T16:12:04.062011Z
23,2392.8600955900,145882392.8600955904,2018-01-13T16:12:04.162011Z
24,2392.1099946990,145882392.1099946797,2018-01-13T16:12:04.262011Z
25,2391.3594186095,145882391.3594186008,2018-01-13T16:12:04.362011Z
26,2390.6081297223,145882390.6081297100,2018-01-13T16:12:04.462011Z
27,2389.8561280372,145882389.8561280370,2018-01-13T16:12:04.562011Z
28,2389.1036511535,145882389.1036511660,2018-01-13T16:12:04.662011Z
29,2388.3506990714,145882388.3506990671,2018-01-13T16:12:04.762011Z
30,2387.5970341914,145882387.5970341861,2018-01-13T16:12:04.862011Z
31,2386.8426565136,145882386.8426565230,2018-01-13T16:12:04.962011Z
32,2386.0878036373,145882386.0878036320,2018-01-13T16:12:05.062011Z
33,2385.3322379632,145882385.3322379887,2018-01-13T16:12:05.162011Z
34,2384.5759594913,145882384.5759595037,2018-01-13T16:12:05.262011Z
35,2383.8192058208,145882383.8192058504,2018-01-13T16:12:05.362011Z
36,2383.0619769518,145882383.0619769394,2018-01-13T16:12:05.462011Z
37,2382.3040352850,145882382.3040352762,2018-01-13T16:12:05.562011Z
38,2381.5453808204,145882381.5453808308,2018-01-13T16:12:05.662011Z
39,2380.7862511572,145882380.7862511575,2018-01-13T16:12:05.762011Z
40,2380.0264086963,145882380.0264087021,2018-01-13T16:12:05.862011Z
41,2379.2658534375,145882379.2658534348,2018-01-13T16:12:05.962011Z
42,2378.5048229802,145882378.5048229694,2018-01-13T16:12:06.062011Z
43,2377.7430797251,145882377.7430797219,2018-01-13T16:12:06.162011Z
44,2376.9808612715,145882376.9808612764,2018-01-13T16:12:06.262011Z
45,2376.2179300200,145882376.2179300189,2018-01-13T16:12:06.362011Z
46,2375.4545235700,145882375.4545235634,2018-01-13T16:12:06.462011Z
47,2374.6901667230,145882374.6901667118,2018-01-13T16:12:06.562011Z
48,2373.9255722767,145882373.9255722761,2018-01-13T16:12:06.662011Z
49,2373.1600274333,145882373.1600274146,2018-01-13T16:12:06.762011Z
50,2372.3942449906,145882372.3942449689,2018-01-13T16:12:06.862011Z
51,2371.6275121508,145882371.6275121570,2018-01-13T16:12:06.962011Z
52,2370.8603041126,145882370.8603041172,2018-01-13T16:12:07.062011Z
53,2370.0923832765,145882370.0923832953,2018-01-13T16:12:07.162011Z
54,2369.3239872418,145882369.3239872456,2018-01-13T16:12:07.262011Z
55,2368.5548784094,145882368.5548784137,2018-01-13T16:12:07.362011Z
56,2367.7850567792,145882367.7850567698,2018-01-13T16:12:07.462011Z
57,2367.0147599504,145882367.0147599280,2018-01-13T16:12:07.562011Z
58,2366.2437503238,145882366.2437503338,2018-01-13T16:12:07.662011Z
59,2365.4722654987,145882365.4722654819,2018-01-13T16:12:07.762011Z
60,2364.7000678758,145882364.7000678778,2018-01-13T16:12:07.862011Z
61,2363.9271574551,145882363.9271574616,2018-01-13T16:12:07.962011Z
62,2363.1537718358,145882363.1537718475,2018-01-13T16:12:08.062011Z
63,2362.3796734187,145882362.3796734214,2018-01-13T16:12:08.162011Z
64,2361.6048622039,145882361.6048622131,2018-01-13T16:12:08.262011Z
65,2360.8295757904,145882360.8295758069,2018-01-13T16:12:08.362011Z
66,2360.0535765792,145882360.0535765588,2018-01-13T16:12:08.462011Z
67,2359.2768645702,145882359.2768645585,2018-01-13T16:12:08.562011Z
68,2358.4996773626,145882358.4996773601,2018-01-13T16:12:08.662011Z
69,2357.7217773573,145882357.7217773497,2018-01-13T16:12:08.762011Z
70,2356.9434021534,145882356.9434021413,2018-01-13T16:12:08.862011Z
71,2356.1643141516,145882356.1643141508,2018-01-13T16:12:08.962011Z
72,2355.3845133521,145882355.3845133483,2018-01-13T16:12:09.062011Z
73,2354.6042373541,145882354.6042373776,2018-01-13T16:12:09.162011Z
74,2353.8232485582,145882353.8232485652,2018-01-13T16:12:09.262011Z
75,2353.0415469646,145882353.0415469706,2018-01-13T16:12:09.362011Z
76,2352.2593701723,145882352.2593701780,2018-01-13T16:12:09.462011Z
77,2351.4764805823,145882351.4764805734,2018-01-13T16:12:09.562011Z
78,2350.6928781945,145882350.6928781867,2018-01-13T16:12:09.662011Z
79,2349.9088006082,145882349.9088006020,2018-01-13T16:12:09.762011Z
80,2349.1240102240,145882349.1240102053,2018-01-13T16:12:09.862011Z
81,2348.3385070421,145882348.3385070562,2018-01-13T16:12:09.962011Z
82,2347.5525286616,145882347.5525286794,2018-01-13T16:12:10.062011Z
83,2346.7658374832,145882346.7658374608,2018-01-13T16:12:10.162011Z
84,2345.9786711064,145882345.9786711335,2018-01-13T16:12:10.262011Z
85,2345.1905543325,145882345.1905543208,2018-01-13T16:12:10.362011Z
86,2344.4019623600,145882344.4019623697,2018-01-13T16:12:10.462011Z
