index,doppler_offset,measured_freq,timestamp
0,2374.6647436012,145882374.6647436023,2018-01-13T16:12:01.862011Z
1,2373.8980107615,145882373.8980107903,2018-01-13T16:12:01.962011Z
2,2373.1305651239,145882373.1305651069,2018-01-13T16:12:02.062011Z
3,2372.3624066886,145882372.3624067008,2018-01-13T16:12:02.162011Z
4,2371.5937730547,145882371.5937730372,2018-01-13T16:12:02.262011Z
5,2370.8244266230,145882370.8244266212,2018-01-13T16:12:02.362011Z
6,2370.0546049928,145882370.0546049774,2018-01-13T16:12:02.462011Z
7,2369.2840705647,145882369.2840705514,2018-01-13T16:12:02.562011Z
8,2368.5128233389,145882368.5128233433,2018-01-13T16:12:02.662011Z
9,2367.7411009145,145882367.7411009073,2018-01-13T16:12:02.762011Z
10,2366.9686656923,145882366.9686656892,2018-01-13T16:12:02.862011Z
11,2366.1955176723,145882366.1955176592,2018-01-13T16:12:02.962011Z
12,2365.4218944538,145882365.4218944609,2018-01-13T16:12:03.062011Z
13,2364.6475584374,145882364.6475584507,2018-01-13T16:12:03.162011Z
14,2363.8727472226,145882363.8727472126,2018-01-13T16:12:03.262011Z
15,2363.0972232099,145882363.0972232223,2018-01-13T16:12:03.362011Z
16,2362.3209863994,145882362.3209863901,2018-01-13T16:12:03.462011Z
17,2361.5440367911,145882361.5440368056,2018-01-13T16:12:03.562011Z
18,2360.7666119843,145882360.7666119933,2018-01-13T16:12:03.662011Z
19,2359.9887119789,145882359.9887119830,2018-01-13T16:12:03.762011Z
20,2359.2098615764,145882359.2098615468,2018-01-13T16:12:03.862011Z
21,2358.4305359755,145882358.4305359721,2018-01-13T16:12:03.962011Z
22,2357.6507351760,145882357.6507351696,2018-01-13T16:12:04.062011Z
23,2356.8699839794,145882356.8699839711,2018-01-13T16:12:04.162011Z
24,2356.0887575842,145882356.0887575746,2018-01-13T16:12:04.262011Z
25,2355.3070559906,145882355.3070559800,2018-01-13T16:12:04.362011Z
26,2354.5244039998,145882354.5244040191,2018-01-13T16:12:04.462011Z
27,2353.7412768106,145882353.7412768006,2018-01-13T16:12:04.562011Z
28,2352.9576744227,145882352.9576744139,2018-01-13T16:12:04.662011Z
29,2352.1733592371,145882352.1733592153,2018-01-13T16:12:04.762011Z
30,2351.3883312537,145882351.3883312643,2018-01-13T16:12:04.862011Z
31,2350.6025904725,145882350.6025904715,2018-01-13T16:12:04.962011Z
32,2349.8163744927,145882349.8163744807,2018-01-13T16:12:05.062011Z
33,2349.0294457151,145882349.0294457376,2018-01-13T16:12:05.162011Z
34,2348.2418041397,145882348.2418041527,2018-01-13T16:12:05.262011Z
35,2347.4536873658,145882347.4536873400,2018-01-13T16:12:05.362011Z
36,2346.6648577941,145882346.6648578048,2018-01-13T16:12:05.462011Z
37,2345.8753154246,145882345.8753153980,2018-01-13T16:12:05.562011Z
38,2345.0852978565,145882345.0852978528,2018-01-13T16:12:05.662011Z
39,2344.2945674906,145882344.2945674956,2018-01-13T16:12:05.762011Z
40,2343.5031243270,145882343.5031243265,2018-01-13T16:12:05.862011Z
41,2342.7112059647,145882342.7112059593,2018-01-13T16:12:05.962011Z
42,2341.9185748047,145882341.9185748100,2018-01-13T16:12:06.062011Z
43,2341.1252308469,145882341.1252308488,2018-01-13T16:12:06.162011Z
44,2340.3311740913,145882340.3311740756,2018-01-13T16:12:06.262011Z
45,2339.5366421371,145882339.5366421342,2018-01-13T16:12:06.362011Z
46,2338.7413973851,145882338.7413973808,2018-01-13T16:12:06.462011Z
47,2337.9456774346,145882337.9456774294,2018-01-13T16:12:06.562011Z
48,2337.1492446863,145882337.1492446661,2018-01-13T16:12:06.662011Z
49,2336.3520991402,145882336.3520991206,2018-01-13T16:12:06.762011Z
50,2335.5542407962,145882335.5542407930,2018-01-13T16:12:06.862011Z
51,2334.7559072538,145882334.7559072673,2018-01-13T16:12:06.962011Z
52,2333.9566233142,145882333.9566232860,2018-01-13T16:12:07.062011Z
53,2333.1571017754,145882333.1571017802,2018-01-13T16:12:07.162011Z
54,2332.3566298395,145882332.3566298485,2018-01-13T16:12:07.262011Z
55,2331.5556827051,145882331.5556826890,2018-01-13T16:12:07.362011Z
56,2330.7540227729,145882330.7540227771,2018-01-13T16:12:07.462011Z
57,2329.9516500428,145882329.9516500533,2018-01-13T16:12:07.562011Z
58,2329.1488021143,145882329.1488021016,2018-01-13T16:12:07.662011Z
59,2328.3452413879,145882328.3452413976,2018-01-13T16:12:07.762011Z
60,2327.5409678637,145882327.5409678519,2018-01-13T16:12:07.862011Z
61,2326.7362191410,145882326.7362191677,2018-01-13T16:12:07.962011Z
62,2325.9305200212,145882325.9305200279,2018-01-13T16:12:08.062011Z
63,2325.1243457029,145882325.1243456900,2018-01-13T16:12:08.162011Z
64,2324.3176961860,145882324.3176961839,2018-01-13T16:12:08.262011Z
65,2323.5100962721,145882323.5100962520,2018-01-13T16:12:08.362011Z
66,2322.7020211596,145882322.7020211518,2018-01-13T16:12:08.462011Z
67,2321.8932332493,145882321.8932332695,2018-01-13T16:12:08.562011Z
68,2321.0839701405,145882321.0839701295,2018-01-13T16:12:08.662011Z
69,2320.2737566346,145882320.2737566531,2018-01-13T16:12:08.762011Z
70,2319.4630679301,145882319.4630679488,2018-01-13T16:12:08.862011Z
71,2318.6516664279,145882318.6516664326,2018-01-13T16:12:08.962011Z
72,2317.8397897271,145882317.8397897184,2018-01-13T16:12:09.062011Z
73,2317.0269626293,145882317.0269626379,2018-01-13T16:12:09.162011Z
74,2316.2136603329,145882316.2136603296,2018-01-13T16:12:09.262011Z
75,2315.3996452387,145882315.3996452391,2018-01-13T16:12:09.362011Z
76,2314.5851549460,145882314.5851549506,2018-01-13T16:12:09.462011Z
77,2313.7697142562,145882313.7697142661,2018-01-13T16:12:09.562011Z
78,2312.9537983678,145882312.9537983835,2018-01-13T16:12:09.662011Z
79,2312.1374072809,145882312.1374073029,2018-01-13T16:12:09.762011Z
80,2311.3200657970,145882311.3200657964,2018-01-13T16:12:09.862011Z
81,2310.5022491145,145882310.5022490919,2018-01-13T16:12:09.962011Z
82,2309.6834820349,145882309.6834820211,2018-01-13T16:12:10.062011Z
