index,doppler_offset,measured_freq,timestamp
0,2391.6956215746,145882391.6956215799,2018-01-13T16:12:01.862011Z
1,2390.9440950880,145882390.9440950751,2018-01-13T16:12:01.962011Z
2,2390.1920934030,145882390.1920934021,2018-01-13T16:12:02.062011Z
3,2389.4393789201,145882389.4393789470,2018-01-13T16:12:02.162011Z
4,2388.6859516394,145882388.6859516203,2018-01-13T16:12:02.262011Z
5,2387.9320491601,145882387.9320491552,2018-01-13T16:12:02.362011Z
6,2387.1774338831,145882387.1774338782,2018-01-13T16:12:02.462011Z
7,2386.4221058082,145882386.4221058190,2018-01-13T16:12:02.562011Z
8,2385.6663025348,145882385.6663025320,2018-01-13T16:12:02.662011Z
9,2384.9100240629,145882384.9100240469,2018-01-13T16:12:02.762011Z
10,2384.1530327932,145882384.1530327797,2018-01-13T16:12:02.862011Z
11,2383.3953287256,145882383.3953287303,2018-01-13T16:12:02.962011Z
12,2382.6369118603,145882382.6369118690,2018-01-13T16:12:03.062011Z
13,2381.8780197964,145882381.8780197799,2018-01-13T16:12:03.162011Z
14,2381.1186525340,145882381.1186525524,2018-01-13T16:12:03.262011Z
15,2380.3585724738,145882380.3585724533,2018-01-13T16:12:03.362011Z
16,2379.5977796157,145882379.5977796018,2018-01-13T16:12:03.462011Z
17,2378.8365115592,145882378.8365115523,2018-01-13T16:12:03.562011Z
18,2378.0745307048,145882378.0745307207,2018-01-13T16:12:03.662011Z
19,2377.3118370526,145882377.3118370473,2018-01-13T16:12:03.762011Z
20,2376.5486682019,145882376.5486682057,2018-01-13T16:12:03.862011Z
21,2375.7850241527,145882375.7850241661,2018-01-13T16:12:03.962011Z
22,2375.0204297063,145882375.0204297304,2018-01-13T16:12:04.062011Z
23,2374.2553600615,145882374.2553600669,2018-01-13T16:12:04.162011Z
24,2373.4898152181,145882373.4898152053,2018-01-13T16:12:04.262011Z
25,2372.7235575769,145882372.7235575616,2018-01-13T16:12:04.362011Z
26,2371.9565871378,145882371.9565871358,2018-01-13T16:12:04.462011Z
27,2371.1891415003,145882371.1891414821,2018-01-13T16:12:04.562011Z
28,2370.4209830649,145882370.4209830761,2018-01-13T16:12:04.662011Z
29,2369.6521118318,145882369.6521118283,2018-01-13T16:12:04.762011Z
30,2368.8827654001,145882368.8827654123,2018-01-13T16:12:04.862011Z
31,2368.1127061706,145882368.1127061844,2018-01-13T16:12:04.962011Z
32,2367.3421717425,145882367.3421717584,2018-01-13T16:12:05.062011Z
33,2366.5709245167,145882366.5709244907,2018-01-13T16:12:05.162011Z
34,2365.7989644930,145882365.7989644706,2018-01-13T16:12:05.262011Z
35,2365.0265292708,145882365.0265292525,2018-01-13T16:12:05.362011Z
36,2364.2533812508,145882364.2533812523,2018-01-13T16:12:05.462011Z
37,2363.4795204330,145882363.4795204103,2018-01-13T16:12:05.562011Z
38,2362.7051844167,145882362.7051844299,2018-01-13T16:12:05.662011Z
39,2361.9301356026,145882361.9301356077,2018-01-13T16:12:05.762011Z
40,2361.1546115899,145882361.1546115875,2018-01-13T16:12:05.862011Z
41,2360.3783747794,145882360.3783747852,2018-01-13T16:12:05.962011Z
42,2359.6014251711,145882359.6014251709,2018-01-13T16:12:06.062011Z
43,2358.8240003643,145882358.8240003884,2018-01-13T16:12:06.162011Z
44,2358.0458627596,145882358.0458627641,2018-01-13T16:12:06.262011Z
45,2357.2670123572,145882357.2670123577,2018-01-13T16:12:06.362011Z
46,2356.4874491569,145882356.4874491692,2018-01-13T16:12:06.462011Z
47,2355.7076483574,145882355.7076483667,2018-01-13T16:12:06.562011Z
48,2354.9268971608,145882354.9268971682,2018-01-13T16:12:06.662011Z
49,2354.1456707657,145882354.1456707716,2018-01-13T16:12:06.762011Z
50,2353.3637315728,145882353.3637315631,2018-01-13T16:12:06.862011Z
51,2352.5810795820,145882352.5810795724,2018-01-13T16:12:06.962011Z
52,2351.7979523927,145882351.7979523838,2018-01-13T16:12:07.062011Z
53,2351.0141124057,145882351.0141123831,2018-01-13T16:12:07.162011Z
54,2350.2295596208,145882350.2295596302,2018-01-13T16:12:07.262011Z
55,2349.4445316373,145882349.4445316195,2018-01-13T16:12:07.362011Z
56,2348.6587908561,145882348.6587908268,2018-01-13T16:12:07.462011Z
57,2347.8725748763,145882347.8725748658,2018-01-13T16:12:07.562011Z
58,2347.0854084995,145882347.0854085088,2018-01-13T16:12:07.662011Z
59,2346.2977669241,145882346.2977669239,2018-01-13T16:12:07.762011Z
60,2345.5096501502,145882345.5096501708,2018-01-13T16:12:07.862011Z
61,2344.7208205785,145882344.7208205760,2018-01-13T16:12:07.962011Z
62,2343.9312782090,145882343.9312782288,2018-01-13T16:12:08.062011Z
63,2343.1410230416,145882343.1410230398,2018-01-13T16:12:08.162011Z
64,2342.3502926757,145882342.3502926826,2018-01-13T16:12:08.262011Z
65,2341.5588495121,145882341.5588495135,2018-01-13T16:12:08.362011Z
66,2340.7666935506,145882340.7666935623,2018-01-13T16:12:08.462011Z
67,2339.9740623906,145882339.9740624130,2018-01-13T16:12:08.562011Z
68,2339.1807184327,145882339.1807184219,2018-01-13T16:12:08.662011Z
69,2338.3866616771,145882338.3866616786,2018-01-13T16:12:08.762011Z
70,2337.5921297229,145882337.5921297371,2018-01-13T16:12:08.862011Z
71,2336.7968849710,145882336.7968849838,2018-01-13T16:12:08.962011Z
72,2336.0009274212,145882336.0009274185,2018-01-13T16:12:09.062011Z
73,2335.2042570736,145882335.2042570710,2018-01-13T16:12:09.162011Z
74,2334.4071115275,145882334.4071115255,2018-01-13T16:12:09.262011Z
75,2333.6092531835,145882333.6092531681,2018-01-13T16:12:09.362011Z
76,2332.8109196411,145882332.8109196424,2018-01-13T16:12:09.462011Z
