index,doppler_offset,measured_freq,timestamp
0,2341.7372865628,145882341.7372865677,2018-01-13T16:12:01.862011Z
1,2340.9437050057,145882340.9437049925,2018-01-13T16:12:01.962011Z
2,2340.1496482501,145882340.1496482491,2018-01-13T16:12:02.062011Z
3,2339.3546410973,145882339.3546410799,2018-01-13T16:12:02.162011Z
4,2338.5591587461,145882338.5591587424,2018-01-13T16:12:02.262011Z
5,2337.7632011963,145882337.7632012069,2018-01-13T16:12:02.362011Z
6,2336.9662932495,145882336.9662932456,2018-01-13T16:12:02.462011Z
7,2336.1689101041,145882336.1689101160,2018-01-13T16:12:02.562011Z
8,2335.3708141609,145882335.3708141446,2018-01-13T16:12:02.662011Z
9,2334.5722430191,145882334.5722430050,2018-01-13T16:12:02.762011Z
10,2333.7729590796,145882333.7729590833,2018-01-13T16:12:02.862011Z
11,2332.9729623423,145882332.9729623497,2018-01-13T16:12:02.962011Z
12,2332.1722528071,145882332.1722528040,2018-01-13T16:12:03.062011Z
13,2331.3710680734,145882331.3710680604,2018-01-13T16:12:03.162011Z
14,2330.5691705419,145882330.5691705346,2018-01-13T16:12:03.262011Z
15,2329.7665602126,145882329.7665601969,2018-01-13T16:12:03.362011Z
16,2328.9632370855,145882328.9632370770,2018-01-13T16:12:03.462011Z
17,2328.1594387599,145882328.1594387591,2018-01-13T16:12:03.562011Z
18,2327.3549276364,145882327.3549276292,2018-01-13T16:12:03.662011Z
19,2326.5497037152,145882326.5497037172,2018-01-13T16:12:03.762011Z
20,2325.7440045954,145882325.7440046072,2018-01-13T16:12:03.862011Z
21,2324.9375926778,145882324.9375926852,2018-01-13T16:12:03.962011Z
22,2324.1304679624,145882324.1304679513,2018-01-13T16:12:04.062011Z
23,2323.3226304491,145882323.3226304352,2018-01-13T16:12:04.162011Z
24,2322.5143177374,145882322.5143177211,2018-01-13T16:12:04.262011Z
25,2321.7052922278,145882321.7052922547,2018-01-13T16:12:04.362011Z
26,2320.8955539205,145882320.8955539167,2018-01-13T16:12:04.462011Z
27,2320.0851028153,145882320.0851028264,2018-01-13T16:12:04.562011Z
28,2319.2741765116,145882319.2741765082,2018-01-13T16:12:04.662011Z
29,2318.4625374101,145882318.4625374079,2018-01-13T16:12:04.762011Z
30,2317.6501855108,145882317.6501855254,2018-01-13T16:12:04.862011Z
31,2316.8373584129,145882316.8373584151,2018-01-13T16:12:04.962011Z
32,2316.0238185173,145882316.0238184929,2018-01-13T16:12:05.062011Z
33,2315.2095658238,145882315.2095658183,2018-01-13T16:12:05.162011Z
34,2314.3946003326,145882314.3946003318,2018-01-13T16:12:05.262011Z
35,2313.5789220435,145882313.5789220333,2018-01-13T16:12:05.362011Z
36,2312.7627685559,145882312.7627685666,2018-01-13T16:12:05.462011Z
37,2311.9459022705,145882311.9459022582,2018-01-13T16:12:05.562011Z
38,2311.1283231872,145882311.1283231974,2018-01-13T16:12:05.662011Z
39,2310.3100313062,145882310.3100312948,2018-01-13T16:12:05.762011Z
40,2309.4912642266,145882309.4912642539,2018-01-13T16:12:05.862011Z
41,2308.6717843493,145882308.6717843413,2018-01-13T16:12:05.962011Z
42,2307.8515916741,145882307.8515916765,2018-01-13T16:12:06.062011Z
43,2307.0306862011,145882307.0306861997,2018-01-13T16:12:06.162011Z
