index,doppler_offset,measured_freq,timestamp
0,2316.7570498602,145882316.7570498586,2018-01-13T16:12:01.862011Z
1,2315.9425595674,145882315.9425595701,2018-01-13T16:12:01.962011Z
2,2315.1273564769,145882315.1273564994,2018-01-13T16:12:02.062011Z
3,2314.3114405886,145882314.3114405870,2018-01-13T16:12:02.162011Z
4,2313.4950495017,145882313.4950495064,2018-01-13T16:12:02.262011Z
5,2312.6777080177,145882312.6777079999,2018-01-13T16:12:02.362011Z
6,2311.8598913352,145882311.8598913252,2018-01-13T16:12:02.462011Z
7,2311.0415994542,145882311.0415994525,2018-01-13T16:12:02.562011Z
8,2310.2223571761,145882310.2223571539,2018-01-13T16:12:02.662011Z
9,2309.4026396995,145882309.4026397169,2018-01-13T16:12:02.762011Z
10,2308.5822094250,145882308.5822094381,2018-01-13T16:12:02.862011Z
11,2307.7610663528,145882307.7610663474,2018-01-13T16:12:02.962011Z
12,2306.9392104827,145882306.9392105043,2018-01-13T16:12:03.062011Z
13,2306.1168794141,145882306.1168794036,2018-01-13T16:12:03.162011Z
14,2305.2938355477,145882305.2938355505,2018-01-13T16:12:03.262011Z
15,2304.4700788835,145882304.4700788856,2018-01-13T16:12:03.362011Z
16,2303.6456094215,145882303.6456094086,2018-01-13T16:12:03.462011Z
17,2302.8206647609,145882302.8206647336,2018-01-13T16:12:03.562011Z
18,2301.9947697033,145882301.9947696924,2018-01-13T16:12:03.662011Z
19,2301.1683994472,145882301.1683994532,2018-01-13T16:12:03.762011Z
20,2300.3415539925,145882300.3415539861,2018-01-13T16:12:03.862011Z
21,2299.5137581407,145882299.5137581229,2018-01-13T16:12:03.962011Z
22,2298.6852494911,145882298.6852494776,2018-01-13T16:12:04.062011Z
23,2297.8562656430,145882297.8562656343,2018-01-13T16:12:04.162011Z
24,2297.0265689971,145882297.0265690088,2018-01-13T16:12:04.262011Z
25,2296.1961595533,145882296.1961595714,2018-01-13T16:12:04.362011Z
26,2295.3652749111,145882295.3652749062,2018-01-13T16:12:04.462011Z
27,2294.5334398717,145882294.5334398746,2018-01-13T16:12:04.562011Z
28,2293.7011296339,145882293.7011296153,2018-01-13T16:12:04.662011Z
29,2292.8681065982,145882292.8681065738,2018-01-13T16:12:04.762011Z
30,2292.0343707647,145882292.0343707800,2018-01-13T16:12:04.862011Z
31,2291.2001597327,145882291.2001597285,2018-01-13T16:12:04.962011Z
32,2290.3649983036,145882290.3649983108,2018-01-13T16:12:05.062011Z
33,2289.5293616759,145882289.5293616652,2018-01-13T16:12:05.162011Z
34,2288.6930122505,145882288.6930122375,2018-01-13T16:12:05.262011Z
35,2287.8559500272,145882287.8559500277,2018-01-13T16:12:05.362011Z
36,2287.0181750062,145882287.0181750059,2018-01-13T16:12:05.462011Z
37,2286.1796871873,145882286.1796872020,2018-01-13T16:12:05.562011Z
38,2285.3407241699,145882285.3407241702,2018-01-13T16:12:05.662011Z
39,2284.5010483547,145882284.5010483563,2018-01-13T16:12:05.762011Z
40,2283.6606597417,145882283.6606597304,2018-01-13T16:12:05.862011Z
41,2282.8195583309,145882282.8195583224,2018-01-13T16:12:05.962011Z
42,2281.9777441223,145882281.9777441025,2018-01-13T16:12:06.062011Z
43,2281.1354547151,145882281.1354547143,2018-01-13T16:12:06.162011Z
44,2280.2924525102,145882280.2924525142,2018-01-13T16:12:06.262011Z
45,2279.4484999081,145882279.4484999180,2018-01-13T16:12:06.362011Z
46,2278.6040721076,145882278.6040721238,2018-01-13T16:12:06.462011Z
47,2277.7589315092,145882277.7589315176,2018-01-13T16:12:06.562011Z
48,2276.9133157123,145882276.9133157134,2018-01-13T16:12:06.662011Z
49,2276.0667495183,145882276.0667495131,2018-01-13T16:12:06.762011Z
