index,doppler_offset,measured_freq,timestamp
0,2270.4468140183,145882270.4468140006,2018-01-13T16:12:01.862011Z
1,2270.6095695173,145882270.6095694900,2018-01-13T16:12:01.962011Z
2,2270.7720874170,145882270.7720873952,2018-01-13T16:12:02.062011Z
3,2270.9348429160,145882270.9348429441,2018-01-13T16:12:02.162011Z
4,2271.0973608157,145882271.0973608196,2018-01-13T16:12:02.262011Z
5,2271.2598787154,145882271.2598787248,2018-01-13T16:12:02.362011Z
6,2271.4226342144,145882271.4226342142,2018-01-13T16:12:02.462011Z
7,2271.5851521141,145882271.5851521194,2018-01-13T16:12:02.562011Z
8,2271.7476700138,145882271.7476700246,2018-01-13T16:12:02.662011Z
9,2271.9101879135,145882271.9101879299,2018-01-13T16:12:02.762011Z
10,2272.0729434125,145882272.0729434192,2018-01-13T16:12:02.862011Z
11,2272.2354613122,145882272.2354613245,2018-01-13T16:12:02.962011Z
12,2272.3979792120,145882272.3979792297,2018-01-13T16:12:03.062011Z
13,2272.5604971117,145882272.5604971349,2018-01-13T16:12:03.162011Z
14,2272.7230150114,145882272.7230150104,2018-01-13T16:12:03.262011Z
15,2272.8855329111,145882272.8855329156,2018-01-13T16:12:03.362011Z
16,2273.0480508108,145882273.0480508208,2018-01-13T16:12:03.462011Z
17,2273.2105687105,145882273.2105687261,2018-01-13T16:12:03.562011Z
18,2273.3728490110,145882273.3728489876,2018-01-13T16:12:03.662011Z
19,2273.5353669107,145882273.5353668928,2018-01-13T16:12:03.762011Z
20,2273.6978848104,145882273.6978847980,2018-01-13T16:12:03.862011Z
21,2273.8604027101,145882273.8604027033,2018-01-13T16:12:03.962011Z
22,2274.0226830106,145882274.0226829946,2018-01-13T16:12:04.062011Z
23,2274.1852009103,145882274.1852008998,2018-01-13T16:12:04.162011Z
24,2274.3477188100,145882274.3477188051,2018-01-13T16:12:04.262011Z
25,2274.5099991105,145882274.5099990964,2018-01-13T16:12:04.362011Z
26,2274.6725170102,145882274.6725170016,2018-01-13T16:12:04.462011Z
27,2274.8347973106,145882274.8347973228,2018-01-13T16:12:04.562011Z
28,2274.9973152104,145882274.9973152280,2018-01-13T16:12:04.662011Z
29,2275.1595955108,145882275.1595955193,2018-01-13T16:12:04.762011Z
30,2275.3221134105,145882275.3221134245,2018-01-13T16:12:04.862011Z
31,2275.4843937110,145882275.4843937159,2018-01-13T16:12:04.962011Z
32,2275.6466740114,145882275.6466740072,2018-01-13T16:12:05.062011Z
33,2275.8091919111,145882275.8091919124,2018-01-13T16:12:05.162011Z
34,2275.9714722116,145882275.9714722037,2018-01-13T16:12:05.262011Z
35,2276.1337525120,145882276.1337525249,2018-01-13T16:12:05.362011Z
36,2276.2960328125,145882276.2960328162,2018-01-13T16:12:05.462011Z
37,2276.4583131129,145882276.4583131373,2018-01-13T16:12:05.562011Z
38,2276.6205934134,145882276.6205934286,2018-01-13T16:12:05.662011Z
39,2276.7828737138,145882276.7828736901,2018-01-13T16:12:05.762011Z
40,2276.9451540143,145882276.9451540112,2018-01-13T16:12:05.862011Z
41,2277.1074343147,145882277.1074343026,2018-01-13T16:12:05.962011Z
42,2277.2697146152,145882277.2697146237,2018-01-13T16:12:06.062011Z
43,2277.4319949156,145882277.4319949150,2018-01-13T16:12:06.162011Z
44,2277.5942752161,145882277.5942752361,2018-01-13T16:12:06.262011Z
45,2277.7565555165,145882277.7565554976,2018-01-13T16:12:06.362011Z
46,2277.9188358170,145882277.9188358188,2018-01-13T16:12:06.462011Z
47,2278.0808785181,145882278.0808785260,2018-01-13T16:12:06.562011Z
48,2278.2431588186,145882278.2431588173,2018-01-13T16:12:06.662011Z
49,2278.4054391190,145882278.4054391384,2018-01-13T16:12:06.762011Z
50,2278.5674818202,145882278.5674818158,2018-01-13T16:12:06.862011Z
51,2278.7297621207,145882278.7297621071,2018-01-13T16:12:06.962011Z
52,2278.8920424211,145882278.8920424283,2018-01-13T16:12:07.062011Z
53,2279.0540851223,145882279.0540851355,2018-01-13T16:12:07.162011Z
54,2279.2163654227,145882279.2163653970,2018-01-13T16:12:07.262011Z
55,2279.3784081239,145882279.3784081340,2018-01-13T16:12:07.362011Z
56,2279.5404508251,145882279.5404508412,2018-01-13T16:12:07.462011Z
57,2279.7027311255,145882279.7027311325,2018-01-13T16:12:07.562011Z
58,2279.8647738267,145882279.8647738099,2018-01-13T16:12:07.662011Z
59,2280.0268165279,145882280.0268165171,2018-01-13T16:12:07.762011Z
60,2280.1890968283,145882280.1890968382,2018-01-13T16:12:07.862011Z
61,2280.3511395295,145882280.3511395156,2018-01-13T16:12:07.962011Z
62,2280.5131822307,145882280.5131822228,2018-01-13T16:12:08.062011Z
63,2280.6752249319,145882280.6752249300,2018-01-13T16:12:08.162011Z
64,2280.8372676331,145882280.8372676373,2018-01-13T16:12:08.262011Z
65,2280.9993103342,145882280.9993103147,2018-01-13T16:12:08.362011Z
66,2281.1613530354,145882281.1613530517,2018-01-13T16:12:08.462011Z
67,2281.3233957366,145882281.3233957589,2018-01-13T16:12:08.562011Z
