index,doppler_offset,measured_freq,timestamp
0,2315.4559562654,145882315.4559562802,2018-01-13T16:12:01.862011Z
1,2314.6402779763,145882314.6402779818,2018-01-13T16:12:01.962011Z
2,2313.8241244887,145882313.8241244853,2018-01-13T16:12:02.062011Z
3,2313.0074958025,145882313.0074957907,2018-01-13T16:12:02.162011Z
4,2312.1899167193,145882312.1899167001,2018-01-13T16:12:02.262011Z
5,2311.3718624375,145882311.3718624413,2018-01-13T16:12:02.362011Z
6,2310.5530953580,145882310.5530953705,2018-01-13T16:12:02.462011Z
7,2309.7336154806,145882309.7336154878,2018-01-13T16:12:02.562011Z
8,2308.9136604047,145882308.9136604071,2018-01-13T16:12:02.662011Z
9,2308.0927549317,145882308.0927549303,2018-01-13T16:12:02.762011Z
10,2307.2713742602,145882307.2713742554,2018-01-13T16:12:02.862011Z
11,2306.4492807909,145882306.4492807984,2018-01-13T16:12:02.962011Z
12,2305.6267121230,145882305.6267121434,2018-01-13T16:12:03.062011Z
13,2304.8031930581,145882304.8031930625,2018-01-13T16:12:03.162011Z
14,2303.9791987946,145882303.9791988134,2018-01-13T16:12:03.262011Z
15,2303.1544917333,145882303.1544917226,2018-01-13T16:12:03.362011Z
16,2302.3290718742,145882302.3290718794,2018-01-13T16:12:03.462011Z
17,2301.5031768166,145882301.5031768084,2018-01-13T16:12:03.562011Z
18,2300.6763313619,145882300.6763313413,2018-01-13T16:12:03.662011Z
19,2299.8490107087,145882299.8490107059,2018-01-13T16:12:03.762011Z
20,2299.0209772576,145882299.0209772587,2018-01-13T16:12:03.862011Z
21,2298.1924686080,145882298.1924686134,2018-01-13T16:12:03.962011Z
22,2297.3630095614,145882297.3630095422,2018-01-13T16:12:04.062011Z
23,2296.5330753162,145882296.5330753028,2018-01-13T16:12:04.162011Z
24,2295.7024282732,145882295.7024282813,2018-01-13T16:12:04.262011Z
25,2294.8710684324,145882294.8710684478,2018-01-13T16:12:04.362011Z
26,2294.0389957938,145882294.0389958024,2018-01-13T16:12:04.462011Z
27,2293.2064479567,145882293.2064479589,2018-01-13T16:12:04.562011Z
28,2292.3729497224,145882292.3729497492,2018-01-13T16:12:04.662011Z
29,2291.5389762897,145882291.5389762819,2018-01-13T16:12:04.762011Z
30,2290.7042900591,145882290.7042900622,2018-01-13T16:12:04.862011Z
31,2289.8688910308,145882289.8688910306,2018-01-13T16:12:04.962011Z
32,2289.0330168038,145882289.0330168009,2018-01-13T16:12:05.062011Z
33,2288.1961921799,145882288.1961921751,2018-01-13T16:12:05.162011Z
34,2287.3588923574,145882287.3588923514,2018-01-13T16:12:05.262011Z
35,2286.5208797370,145882286.5208797455,2018-01-13T16:12:05.362011Z
36,2285.6821543189,145882285.6821542978,2018-01-13T16:12:05.462011Z
37,2284.8429537022,145882284.8429537117,2018-01-13T16:12:05.562011Z
38,2284.0028026885,145882284.0028026998,2018-01-13T16:12:05.662011Z
39,2283.1621764762,145882283.1621764600,2018-01-13T16:12:05.762011Z
40,2282.3208374661,145882282.3208374679,2018-01-13T16:12:05.862011Z
41,2281.4787856583,145882281.4787856638,2018-01-13T16:12:05.962011Z
42,2280.6360210526,145882280.6360210478,2018-01-13T16:12:06.062011Z
43,2279.7925436491,145882279.7925436497,2018-01-13T16:12:06.162011Z
44,2278.9485910470,145882278.9485910535,2018-01-13T16:12:06.262011Z
45,2278.1039256472,145882278.1039256454,2018-01-13T16:12:06.362011Z
46,2277.2585474495,145882277.2585474551,2018-01-13T16:12:06.462011Z
47,2276.4124564541,145882276.4124564528,2018-01-13T16:12:06.562011Z
48,2275.5656526608,145882275.5656526685,2018-01-13T16:12:06.662011Z
49,2274.7181360698,145882274.7181360722,2018-01-13T16:12:06.762011Z
50,2273.8699066809,145882273.8699066937,2018-01-13T16:12:06.862011Z
51,2273.0212020935,145882273.0212020874,2018-01-13T16:12:06.962011Z
52,2272.1717847083,145882272.1717846990,2018-01-13T16:12:07.062011Z
53,2271.3216545252,145882271.3216545284,2018-01-13T16:12:07.162011Z
54,2270.4708115444,145882270.4708115458,2018-01-13T16:12:07.262011Z
55,2269.6192557658,145882269.6192557812,2018-01-13T16:12:07.362011Z
56,2268.7672247886,145882268.7672247887,2018-01-13T16:12:07.462011Z
57,2267.9142434144,145882267.9142434299,2018-01-13T16:12:07.562011Z
58,2267.0607868416,145882267.0607868433,2018-01-13T16:12:07.662011Z
59,2266.2063798717,145882266.2063798606,2018-01-13T16:12:07.762011Z
60,2265.3514977034,145882265.3514977098,2018-01-13T16:12:07.862011Z
61,2264.4959027372,145882264.4959027469,2018-01-13T16:12:07.962011Z
62,2263.6398325724,145882263.6398325861,2018-01-13T16:12:08.062011Z
63,2262.7828120106,145882262.7828120291,2018-01-13T16:12:08.162011Z
64,2261.9250786510,145882261.9250786602,2018-01-13T16:12:08.262011Z
65,2261.0668700928,145882261.0668700933,2018-01-13T16:12:08.362011Z
66,2260.2079487369,145882260.2079487443,2018-01-13T16:12:08.462011Z
67,2259.3480769839,145882259.3480769992,2018-01-13T16:12:08.562011Z
68,2258.4877300323,145882258.4877300262,2018-01-13T16:12:08.662011Z
69,2257.6266702829,145882257.6266702712,2018-01-13T16:12:08.762011Z
70,2256.7651353350,145882256.7651353180,2018-01-13T16:12:08.862011Z
71,2255.9026499900,145882255.9026499689,2018-01-13T16:12:08.962011Z
72,2255.0394518472,145882255.0394518375,2018-01-13T16:12:09.062011Z
73,2254.1757785059,145882254.1757784784,2018-01-13T16:12:09.162011Z
74,2253.3113923668,145882253.3113923669,2018-01-13T16:12:09.262011Z
75,2252.4460558305,145882252.4460558295,2018-01-13T16:12:09.362011Z
76,2251.5802440958,145882251.5802440941,2018-01-13T16:12:09.462011Z
77,2250.7137195632,145882250.7137195468,2018-01-13T16:12:09.562011Z
78,2249.8464822329,145882249.8464822173,2018-01-13T16:12:09.662011Z
79,2248.9785321047,145882248.9785321057,2018-01-13T16:12:09.762011Z
80,2248.1101067780,145882248.1101067662,2018-01-13T16:12:09.862011Z
81,2247.2407310542,145882247.2407310605,2018-01-13T16:12:09.962011Z
82,2246.3706425327,145882246.3706425130,2018-01-13T16:12:10.062011Z
83,2245.5000788125,145882245.5000787973,2018-01-13T16:12:10.162011Z
84,2244.6288022946,145882244.6288022995,2018-01-13T16:12:10.262011Z
85,2243.7565753796,145882243.7565753758,2018-01-13T16:12:10.362011Z
86,2242.8838732661,145882242.8838732541,2018-01-13T16:12:10.462011Z
87,2242.0104583547,145882242.0104583800,2018-01-13T16:12:10.562011Z
88,2241.1363306456,145882241.1363306344,2018-01-13T16:12:10.662011Z
89,2240.2614901386,145882240.2614901662,2018-01-13T16:12:10.762011Z
90,2239.3859368339,145882239.3859368265,2018-01-13T16:12:10.862011Z
91,2238.5096707313,145882238.5096707344,2018-01-13T16:12:10.962011Z
92,2237.6329294302,145882237.6329294443,2018-01-13T16:12:11.062011Z
93,2236.7552377320,145882236.7552377284,2018-01-13T16:12:11.162011Z
94,2235.8770708353,145882235.8770708442,2018-01-13T16:12:11.262011Z
95,2234.9979535415,145882234.9979535639,2018-01-13T16:12:11.362011Z
96,2234.1183610492,145882234.1183610559,2018-01-13T16:12:11.462011Z
97,2233.2378181598,145882233.2378181517,2018-01-13T16:12:11.562011Z
98,2232.3568000719,145882232.3568000793,2018-01-13T16:12:11.662011Z
99,2231.4750691861,145882231.4750691950,2018-01-13T16:12:11.762011Z
100,2230.5926255026,145882230.5926254988,2018-01-13T16:12:11.862011Z
101,2229.7094690212,145882229.7094690204,2018-01-13T16:12:11.962011Z
102,2228.8255997421,145882228.8255997300,2018-01-13T16:12:12.062011Z
103,2227.9410176651,145882227.9410176575,2018-01-13T16:12:12.162011Z
104,2227.0557227903,145882227.0557228029,2018-01-13T16:12:12.262011Z
105,2226.1697151178,145882226.1697151065,2018-01-13T16:12:12.362011Z
106,2225.2829946474,145882225.2829946578,2018-01-13T16:12:12.462011Z
107,2224.3957989785,145882224.3957989812,2018-01-13T16:12:12.562011Z
108,2223.5076529125,145882223.5076529086,2018-01-13T16:12:12.662011Z
109,2222.6187940487,145882222.6187940538,2018-01-13T16:12:12.762011Z
110,2221.7294599863,145882221.7294600010,2018-01-13T16:12:12.862011Z
111,2220.8391755269,145882220.8391755223,2018-01-13T16:12:12.962011Z
112,2219.9484158690,145882219.9484158456,2018-01-13T16:12:13.062011Z
113,2219.0567058139,145882219.0567058325,2018-01-13T16:12:13.162011Z
114,2218.1645205604,145882218.1645205617,2018-01-13T16:12:13.262011Z
115,2217.2716225090,145882217.2716225088,2018-01-13T16:12:13.362011Z
116,2216.3777740606,145882216.3777740598,2018-01-13T16:12:13.462011Z
117,2215.4834504136,145882215.4834504426,2018-01-13T16:12:13.562011Z
118,2214.5884139688,145882214.5884139836,2018-01-13T16:12:13.662011Z
119,2213.6924271270,145882213.6924271286,2018-01-13T16:12:13.762011Z
120,2212.7959650866,145882212.7959650755,2018-01-13T16:12:13.862011Z
121,2211.8987902484,145882211.8987902403,2018-01-13T16:12:13.962011Z
122,2211.0009026123,145882211.0009025931,2018-01-13T16:12:14.062011Z
123,2210.1023021785,145882210.1023021638,2018-01-13T16:12:14.162011Z
124,2209.2029889469,145882209.2029889524,2018-01-13T16:12:14.262011Z
125,2208.3027253182,145882208.3027253151,2018-01-13T16:12:14.362011Z
126,2207.4019864910,145882207.4019865096,2018-01-13T16:12:14.462011Z
127,2206.5005348660,145882206.5005348623,2018-01-13T16:12:14.562011Z
128,2205.5983704431,145882205.5983704627,2018-01-13T16:12:14.662011Z
129,2204.6954932225,145882204.6954932213,2018-01-13T16:12:14.762011Z
130,2203.7919032040,145882203.7919031978,2018-01-13T16:12:14.862011Z
131,2202.8876003878,145882202.8876003921,2018-01-13T16:12:14.962011Z
132,2201.9825847737,145882201.9825847745,2018-01-13T16:12:15.062011Z
133,2201.0768563618,145882201.0768563747,2018-01-13T16:12:15.162011Z
134,2200.1704151522,145882200.1704151630,2018-01-13T16:12:15.262011Z
135,2199.2632611447,145882199.2632611394,2018-01-13T16:12:15.362011Z
136,2198.3553943394,145882198.3553943336,2018-01-13T16:12:15.462011Z
137,2197.4468147363,145882197.4468147457,2018-01-13T16:12:15.562011Z
138,2196.5375223354,145882196.5375223160,2018-01-13T16:12:15.662011Z
139,2195.6275171367,145882195.6275171340,2018-01-13T16:12:15.762011Z
140,2194.7167991402,145882194.7167991400,2018-01-13T16:12:15.862011Z
141,2193.8053683459,145882193.8053683341,2018-01-13T16:12:15.962011Z
142,2192.8932247537,145882192.8932247460,2018-01-13T16:12:16.062011Z
143,2191.9803683638,145882191.9803683460,2018-01-13T16:12:16.162011Z
144,2191.0667991761,145882191.0667991936,2018-01-13T16:12:16.262011Z
145,2190.1525171905,145882190.1525171995,2018-01-13T16:12:16.362011Z
146,2189.2375224072,145882189.2375223935,2018-01-13T16:12:16.462011Z
147,2188.3218148260,145882188.3218148053,2018-01-13T16:12:16.562011Z
148,2187.4053944471,145882187.4053944349,2018-01-13T16:12:16.662011Z
149,2186.4880236711,145882186.4880236685,2018-01-13T16:12:16.762011Z
150,2185.5701776965,145882185.5701777041,2018-01-13T16:12:16.862011Z
151,2184.6516189241,145882184.6516189277,2018-01-13T16:12:16.962011Z
152,2183.7323473539,145882183.7323473692,2018-01-13T16:12:17.062011Z
153,2182.8121253867,145882182.8121253848,2018-01-13T16:12:17.162011Z
154,2181.8914282209,145882181.8914282322,2018-01-13T16:12:17.262011Z
155,2180.9700182573,145882180.9700182378,2018-01-13T16:12:17.362011Z
156,2180.0478954959,145882180.0478954911,2018-01-13T16:12:17.462011Z
157,2179.1248223374,145882179.1248223484,2018-01-13T16:12:17.562011Z
158,2178.2012739804,145882178.2012739778,2018-01-13T16:12:17.662011Z
159,2177.2767752263,145882177.2767752111,2018-01-13T16:12:17.762011Z
160,2176.3518012737,145882176.3518012762,2018-01-13T16:12:17.862011Z
161,2175.4258769240,145882175.4258769155,2018-01-13T16:12:17.962011Z
162,2174.4994773757,145882174.4994773567,2018-01-13T16:12:18.062011Z
163,2173.5721274304,145882173.5721274316,2018-01-13T16:12:18.162011Z
164,2172.6440646873,145882172.6440646946,2018-01-13T16:12:18.262011Z
165,2171.7152891464,145882171.7152891457,2018-01-13T16:12:18.362011Z
166,2170.7860384069,145882170.7860383987,2018-01-13T16:12:18.462011Z
167,2169.8558372704,145882169.8558372557,2018-01-13T16:12:18.562011Z
168,2168.9249233360,145882168.9249233305,2018-01-13T16:12:18.662011Z
169,2167.9932966039,145882167.9932965934,2018-01-13T16:12:18.762011Z
170,2167.0609570739,145882167.0609570742,2018-01-13T16:12:18.862011Z
171,2166.1279047462,145882166.1279047430,2018-01-13T16:12:18.962011Z
172,2165.1941396206,145882165.1941395998,2018-01-13T16:12:19.062011Z
173,2164.2594240980,145882164.2594240904,2018-01-13T16:12:19.162011Z
174,2163.3242333768,145882163.3242333829,2018-01-13T16:12:19.262011Z
175,2162.3883298578,145882162.3883298635,2018-01-13T16:12:19.362011Z
176,2161.4514759418,145882161.4514759481,2018-01-13T16:12:19.462011Z
177,2160.5141468272,145882160.5141468346,2018-01-13T16:12:19.562011Z
178,2159.5758673155,145882159.5758673251,2018-01-13T16:12:19.662011Z
179,2158.6371126053,145882158.6371126175,2018-01-13T16:12:19.762011Z
180,2157.6974074980,145882157.6974075139,2018-01-13T16:12:19.862011Z
181,2156.7569895929,145882156.7569895983,2018-01-13T16:12:19.962011Z
182,2155.8158588901,145882155.8158589005,2018-01-13T16:12:20.062011Z
183,2154.8740153894,145882154.8740153909,2018-01-13T16:12:20.162011Z
184,2153.9314590909,145882153.9314590991,2018-01-13T16:12:20.262011Z
185,2152.9881899946,145882152.9881899953,2018-01-13T16:12:20.362011Z
186,2152.0442081004,145882152.0442081094,2018-01-13T16:12:20.462011Z
187,2151.0995134085,145882151.0995134115,2018-01-13T16:12:20.562011Z
188,2150.1538683195,145882150.1538683176,2018-01-13T16:12:20.662011Z
189,2149.2077480320,145882149.2077480555,2018-01-13T16:12:20.762011Z
190,2148.2606773474,145882148.2606773674,2018-01-13T16:12:20.862011Z
191,2147.3131314642,145882147.3131314516,2018-01-13T16:12:20.962011Z
192,2146.3646351840,145882146.3646351993,2018-01-13T16:12:21.062011Z
193,2145.4154261060,145882145.4154261053,2018-01-13T16:12:21.162011Z
