index,doppler_offset,measured_freq,timestamp
0,2300.4111705782,145882300.4111706018,2018-01-13T16:12:01.862011Z
1,2299.5828995278,145882299.5828995407,2018-01-13T16:12:01.962011Z
2,2298.7539156797,145882298.7539156675,2018-01-13T16:12:02.062011Z
3,2297.9244566331,145882297.9244566560,2018-01-13T16:12:02.162011Z
4,2297.0942847886,145882297.0942847729,2018-01-13T16:12:02.262011Z
5,2296.2634001464,145882296.2634001672,2018-01-13T16:12:02.362011Z
6,2295.4320403056,145882295.4320403039,2018-01-13T16:12:02.462011Z
7,2294.5997300677,145882294.5997300446,2018-01-13T16:12:02.562011Z
8,2293.7669446313,145882293.7669446170,2018-01-13T16:12:02.662011Z
9,2292.9334463970,145882292.9334463775,2018-01-13T16:12:02.762011Z
10,2292.0992353650,145882292.0992353559,2018-01-13T16:12:02.862011Z
11,2291.2643115352,145882291.2643115222,2018-01-13T16:12:02.962011Z
12,2290.4289125068,145882290.4289125204,2018-01-13T16:12:03.062011Z
13,2289.5925630814,145882289.5925630927,2018-01-13T16:12:03.162011Z
14,2288.7557384574,145882288.7557384670,2018-01-13T16:12:03.262011Z
15,2287.9182010356,145882287.9182010293,2018-01-13T16:12:03.362011Z
16,2287.0801884153,145882287.0801884234,2018-01-13T16:12:03.462011Z
17,2286.2412253979,145882286.2412253916,2018-01-13T16:12:03.562011Z
18,2285.4017871820,145882285.4017871916,2018-01-13T16:12:03.662011Z
19,2284.5613985690,145882284.5613985658,2018-01-13T16:12:03.762011Z
20,2283.7205347574,145882283.7205347419,2018-01-13T16:12:03.862011Z
21,2282.8789581481,145882282.8789581656,2018-01-13T16:12:03.962011Z
22,2282.0366687409,145882282.0366687477,2018-01-13T16:12:04.062011Z
23,2281.1939041352,145882281.1939041317,2018-01-13T16:12:04.162011Z
24,2280.3501891324,145882280.3501891494,2018-01-13T16:12:04.262011Z
25,2279.5059989311,145882279.5059989393,2018-01-13T16:12:04.362011Z
26,2278.6610959320,145882278.6610959172,2018-01-13T16:12:04.462011Z
27,2277.8154801351,145882277.8154801428,2018-01-13T16:12:04.562011Z
28,2276.9691515404,145882276.9691515565,2018-01-13T16:12:04.662011Z
29,2276.1223477471,145882276.1223477423,2018-01-13T16:12:04.762011Z
30,2275.2745935568,145882275.2745935619,2018-01-13T16:12:04.862011Z
31,2274.4263641679,145882274.4263641834,2018-01-13T16:12:04.962011Z
32,2273.5774219813,145882273.5774219632,2018-01-13T16:12:05.062011Z
33,2272.7277669968,145882272.7277669907,2018-01-13T16:12:05.162011Z
34,2271.8773992145,145882271.8773992360,2018-01-13T16:12:05.262011Z
35,2271.0263186344,145882271.0263186395,2018-01-13T16:12:05.362011Z
36,2270.1747628558,145882270.1747628450,2018-01-13T16:12:05.462011Z
37,2269.3222566800,145882269.3222566843,2018-01-13T16:12:05.562011Z
38,2268.4692753058,145882268.4692752957,2018-01-13T16:12:05.662011Z
39,2267.6155811338,145882267.6155811548,2018-01-13T16:12:05.762011Z
40,2266.7611741639,145882266.7611741722,2018-01-13T16:12:05.862011Z
41,2265.9060543962,145882265.9060544074,2018-01-13T16:12:05.962011Z
42,2265.0502218308,145882265.0502218306,2018-01-13T16:12:06.062011Z
43,2264.1936764675,145882264.1936764717,2018-01-13T16:12:06.162011Z
44,2263.3366559057,145882263.3366559148,2018-01-13T16:12:06.262011Z
45,2262.4786849468,145882262.4786849618,2018-01-13T16:12:06.362011Z
46,2261.6202387894,145882261.6202388108,2018-01-13T16:12:06.462011Z
47,2260.7610798342,145882260.7610798478,2018-01-13T16:12:06.562011Z
48,2259.9012080811,145882259.9012081027,2018-01-13T16:12:06.662011Z
49,2259.0406235303,145882259.0406235158,2018-01-13T16:12:06.762011Z
50,2258.1793261817,145882258.1793261766,2018-01-13T16:12:06.862011Z
51,2257.3175536345,145882257.3175536394,2018-01-13T16:12:06.962011Z
52,2256.4548306902,145882256.4548307061,2018-01-13T16:12:07.062011Z
53,2255.5916325474,145882255.5916325450,2018-01-13T16:12:07.162011Z
54,2254.7274840076,145882254.7274839878,2018-01-13T16:12:07.262011Z
55,2253.8628602692,145882253.8628602624,2018-01-13T16:12:07.362011Z
56,2252.9975237329,145882252.9975237548,2018-01-13T16:12:07.462011Z
57,2252.1314743989,145882252.1314743757,2018-01-13T16:12:07.562011Z
58,2251.2647122671,145882251.2647122741,2018-01-13T16:12:07.662011Z
59,2250.3972373375,145882250.3972373307,2018-01-13T16:12:07.762011Z
60,2249.5292872093,145882249.5292871892,2018-01-13T16:12:07.862011Z
61,2248.6603866841,145882248.6603866816,2018-01-13T16:12:07.962011Z
62,2247.7907733610,145882247.7907733619,2018-01-13T16:12:08.062011Z
63,2246.9206848395,145882246.9206848145,2018-01-13T16:12:08.162011Z
64,2246.0498835201,145882246.0498835146,2018-01-13T16:12:08.262011Z
65,2245.1781318036,145882245.1781317890,2018-01-13T16:12:08.362011Z
66,2244.3059048886,145882244.3059048653,2018-01-13T16:12:08.462011Z
67,2243.4329651758,145882243.4329651892,2018-01-13T16:12:08.562011Z
68,2242.5593126652,145882242.5593126714,2018-01-13T16:12:08.662011Z
69,2241.6849473568,145882241.6849473417,2018-01-13T16:12:08.762011Z
70,2240.8098692506,145882240.8098692298,2018-01-13T16:12:08.862011Z
71,2239.9343159458,145882239.9343159497,2018-01-13T16:12:08.962011Z
72,2239.0578122440,145882239.0578122437,2018-01-13T16:12:09.062011Z
73,2238.1805957443,145882238.1805957556,2018-01-13T16:12:09.162011Z
74,2237.3029040461,145882237.3029040396,2018-01-13T16:12:09.262011Z
75,2236.4242619509,145882236.4242619276,2018-01-13T16:12:09.362011Z
76,2235.5451446571,145882235.5451446772,2018-01-13T16:12:09.462011Z
77,2234.6653145655,145882234.6653145850,2018-01-13T16:12:09.562011Z
78,2233.7847716761,145882233.7847716510,2018-01-13T16:12:09.662011Z
79,2232.9032783896,145882232.9032783806,2018-01-13T16:12:09.762011Z
80,2232.0213099046,145882232.0213099122,2018-01-13T16:12:09.862011Z
81,2231.1386286218,145882231.1386286020,2018-01-13T16:12:09.962011Z
82,2230.2552345412,145882230.2552345395,2018-01-13T16:12:10.062011Z
83,2229.3711276628,145882229.3711276352,2018-01-13T16:12:10.162011Z
84,2228.4863079865,145882228.4863079786,2018-01-13T16:12:10.262011Z
85,2227.6010131118,145882227.6010131240,2018-01-13T16:12:10.362011Z
86,2226.7147678399,145882226.7147678435,2018-01-13T16:12:10.462011Z
87,2225.8278097703,145882225.8278097510,2018-01-13T16:12:10.562011Z
88,2224.9401389028,145882224.9401389062,2018-01-13T16:12:10.662011Z
89,2224.0519928368,145882224.0519928336,2018-01-13T16:12:10.762011Z
90,2223.1628963737,145882223.1628963649,2018-01-13T16:12:10.862011Z
91,2222.2733247121,145882222.2733247280,2018-01-13T16:12:10.962011Z
92,2221.3828026534,145882221.3828026354,2018-01-13T16:12:11.062011Z
93,2220.4918053962,145882220.4918054044,2018-01-13T16:12:11.162011Z
94,2219.5998577419,145882219.5998577178,2018-01-13T16:12:11.262011Z
95,2218.7074348891,145882218.7074348629,2018-01-13T16:12:11.362011Z
96,2217.8142992385,145882217.8142992556,2018-01-13T16:12:11.462011Z
97,2216.9202131908,145882216.9202131927,2018-01-13T16:12:11.562011Z
98,2216.0256519445,145882216.0256519318,2018-01-13T16:12:11.662011Z
99,2215.1303779005,145882215.1303779185,2018-01-13T16:12:11.762011Z
100,2214.2343910586,145882214.2343910336,2018-01-13T16:12:11.862011Z
101,2213.3374538197,145882213.3374538124,2018-01-13T16:12:11.962011Z
102,2212.4400413822,145882212.4400413632,2018-01-13T16:12:12.062011Z
103,2211.5419161469,145882211.5419161618,2018-01-13T16:12:12.162011Z
104,2210.6430781139,145882210.6430780888,2018-01-13T16:12:12.262011Z
105,2209.7435272830,145882209.7435272932,2018-01-13T16:12:12.362011Z
106,2208.8432636543,145882208.8432636559,2018-01-13T16:12:12.462011Z
107,2207.9422872278,145882207.9422872066,2018-01-13T16:12:12.562011Z
108,2207.0405980035,145882207.0405979753,2018-01-13T16:12:12.662011Z
109,2206.1381959814,145882206.1381959915,2018-01-13T16:12:12.762011Z
110,2205.2350811614,145882205.2350811660,2018-01-13T16:12:12.862011Z
111,2204.3312535437,145882204.3312535584,2018-01-13T16:12:12.962011Z
112,2203.4267131282,145882203.4267131388,2018-01-13T16:12:13.062011Z
113,2202.5214599149,145882202.5214599073,2018-01-13T16:12:13.162011Z
114,2201.6154939037,145882201.6154938936,2018-01-13T16:12:13.262011Z
115,2200.7088150948,145882200.7088150978,2018-01-13T16:12:13.362011Z
116,2199.8014234880,145882199.8014234900,2018-01-13T16:12:13.462011Z
117,2198.8930814842,145882198.8930814862,2018-01-13T16:12:13.562011Z
118,2197.9842642818,145882197.9842642844,2018-01-13T16:12:13.662011Z
119,2197.0747342817,145882197.0747343004,2018-01-13T16:12:13.762011Z
120,2196.1644914837,145882196.1644914746,2018-01-13T16:12:13.862011Z
121,2195.2535358879,145882195.2535358965,2018-01-13T16:12:13.962011Z
122,2194.3418674943,145882194.3418674767,2018-01-13T16:12:14.062011Z
123,2193.4294863029,145882193.4294863045,2018-01-13T16:12:14.162011Z
124,2192.5163923137,145882192.5163922906,2018-01-13T16:12:14.262011Z
125,2191.6025855267,145882191.6025855541,2018-01-13T16:12:14.362011Z
126,2190.6880659419,145882190.6880659163,2018-01-13T16:12:14.462011Z
127,2189.7728335593,145882189.7728335559,2018-01-13T16:12:14.562011Z
128,2188.8568883789,145882188.8568883836,2018-01-13T16:12:14.662011Z
129,2187.9399928014,145882187.9399927855,2018-01-13T16:12:14.762011Z
130,2187.0226220254,145882187.0226220191,2018-01-13T16:12:14.862011Z
131,2186.1045384515,145882186.1045384705,2018-01-13T16:12:14.962011Z
132,2185.1857420799,145882185.1857420802,2018-01-13T16:12:15.062011Z
133,2184.2659953112,145882184.2659952939,2018-01-13T16:12:15.162011Z
134,2183.3457733439,145882183.3457733691,2018-01-13T16:12:15.262011Z
135,2182.4248385789,145882182.4248385727,2018-01-13T16:12:15.362011Z
136,2181.5029534167,145882181.5029534101,2018-01-13T16:12:15.462011Z
137,2180.5805930561,145882180.5805930495,2018-01-13T16:12:15.562011Z
138,2179.6572822983,145882179.6572822928,2018-01-13T16:12:15.662011Z
139,2178.7334963420,145882178.7334963381,2018-01-13T16:12:15.762011Z
140,2177.8087599887,145882177.8087599874,2018-01-13T16:12:15.862011Z
141,2176.8835484368,145882176.8835484385,2018-01-13T16:12:15.962011Z
142,2175.9573864878,145882175.9573864937,2018-01-13T16:12:16.062011Z
143,2175.0305117410,145882175.0305117369,2018-01-13T16:12:16.162011Z
144,2174.1031617957,145882174.1031618118,2018-01-13T16:12:16.262011Z
145,2173.1748614533,145882173.1748614609,2018-01-13T16:12:16.362011Z
146,2172.2458483131,145882172.2458482981,2018-01-13T16:12:16.462011Z
147,2171.3161223751,145882171.3161223531,2018-01-13T16:12:16.562011Z
148,2170.3856836393,145882170.3856836259,2018-01-13T16:12:16.662011Z
149,2169.4545321057,145882169.4545320868,2018-01-13T16:12:16.762011Z
150,2168.5226677743,145882168.5226677656,2018-01-13T16:12:16.862011Z
151,2167.5900906451,145882167.5900906324,2018-01-13T16:12:16.962011Z
152,2166.6568007181,145882166.6568007171,2018-01-13T16:12:17.062011Z
153,2165.7225603940,145882165.7225603759,2018-01-13T16:12:17.162011Z
154,2164.7878448713,145882164.7878448665,2018-01-13T16:12:17.262011Z
155,2163.8524165509,145882163.8524165452,2018-01-13T16:12:17.362011Z
156,2162.9160378334,145882162.9160378277,2018-01-13T16:12:17.462011Z
157,2161.9791839173,145882161.9791839123,2018-01-13T16:12:17.562011Z
158,2161.0413796042,145882161.0413796008,2018-01-13T16:12:17.662011Z
159,2160.1028624933,145882160.1028625071,2018-01-13T16:12:17.762011Z
160,2159.1638701838,145882159.1638701856,2018-01-13T16:12:17.862011Z
161,2158.2239274772,145882158.2239274979,2018-01-13T16:12:17.962011Z
