index,doppler_offset,measured_freq,timestamp
0,2294.5567246001,145882294.5567246079,2018-01-13T16:12:01.862011Z
1,2293.7206127739,145882293.7206127942,2018-01-13T16:12:01.962011Z
2,2292.8837881499,145882292.8837881386,2018-01-13T16:12:02.062011Z
3,2292.0462507281,145882292.0462507010,2018-01-13T16:12:02.162011Z
4,2291.2082381078,145882291.2082380950,2018-01-13T16:12:02.262011Z
5,2290.3692750904,145882290.3692750633,2018-01-13T16:12:02.362011Z
6,2289.5298368745,145882289.5298368633,2018-01-13T16:12:02.462011Z
7,2288.6896858607,145882288.6896858811,2018-01-13T16:12:02.562011Z
8,2287.8488220492,145882287.8488220572,2018-01-13T16:12:02.662011Z
9,2287.0072454398,145882287.0072454214,2018-01-13T16:12:02.762011Z
10,2286.1649560327,145882286.1649560332,2018-01-13T16:12:02.862011Z
11,2285.3221914270,145882285.3221914172,2018-01-13T16:12:02.962011Z
12,2284.4787140235,145882284.4787140191,2018-01-13T16:12:03.062011Z
13,2283.6345238222,145882283.6345238090,2018-01-13T16:12:03.162011Z
14,2282.7896208231,145882282.7896208465,2018-01-13T16:12:03.262011Z
15,2281.9440050262,145882281.9440050423,2018-01-13T16:12:03.362011Z
16,2281.0976764314,145882281.0976764262,2018-01-13T16:12:03.462011Z
17,2280.2508726382,145882280.2508726418,2018-01-13T16:12:03.562011Z
18,2279.4031184478,145882279.4031184614,2018-01-13T16:12:03.662011Z
19,2278.5548890590,145882278.5548890531,2018-01-13T16:12:03.762011Z
20,2277.7059468723,145882277.7059468627,2018-01-13T16:12:03.862011Z
21,2276.8562918878,145882276.8562918901,2018-01-13T16:12:03.962011Z
22,2276.0059241055,145882276.0059241056,2018-01-13T16:12:04.062011Z
23,2275.1548435254,145882275.1548435390,2018-01-13T16:12:04.162011Z
24,2274.3032877468,145882274.3032877445,2018-01-13T16:12:04.262011Z
25,2273.4507815711,145882273.4507815540,2018-01-13T16:12:04.362011Z
26,2272.5978001968,145882272.5978002250,2018-01-13T16:12:04.462011Z
27,2271.7441060248,145882271.7441060245,2018-01-13T16:12:04.562011Z
28,2270.8896990549,145882270.8896990716,2018-01-13T16:12:04.662011Z
29,2270.0345792873,145882270.0345793068,2018-01-13T16:12:04.762011Z
30,2269.1787467218,145882269.1787467301,2018-01-13T16:12:04.862011Z
31,2268.3224389578,145882268.3224389553,2018-01-13T16:12:04.962011Z
32,2267.4651807967,145882267.4651808143,2018-01-13T16:12:05.062011Z
33,2266.6074474371,145882266.6074474454,2018-01-13T16:12:05.162011Z
34,2265.7490012797,145882265.7490012646,2018-01-13T16:12:05.262011Z
35,2264.8896047252,145882264.8896047473,2018-01-13T16:12:05.362011Z
36,2264.0297329722,145882264.0297329724,2018-01-13T16:12:05.462011Z
37,2263.1693860206,145882263.1693860292,2018-01-13T16:12:05.562011Z
38,2262.3080886720,145882262.3080886900,2018-01-13T16:12:05.662011Z
39,2261.4460785255,145882261.4460785091,2018-01-13T16:12:05.762011Z
40,2260.5833555813,145882260.5833555758,2018-01-13T16:12:05.862011Z
41,2259.7201574385,145882259.7201574445,2018-01-13T16:12:05.962011Z
42,2258.8562464979,145882258.8562465012,2018-01-13T16:12:06.062011Z
43,2257.9913851602,145882257.9913851619,2018-01-13T16:12:06.162011Z
44,2257.1260486240,145882257.1260486245,2018-01-13T16:12:06.262011Z
45,2256.2599992900,145882256.2599992752,2018-01-13T16:12:06.362011Z
46,2255.3932371581,145882255.3932371438,2018-01-13T16:12:06.462011Z
47,2254.5257622285,145882254.5257622302,2018-01-13T16:12:06.562011Z
48,2253.6575745011,145882253.6575745046,2018-01-13T16:12:06.662011Z
49,2252.7889115751,145882252.7889115810,2018-01-13T16:12:06.762011Z
50,2251.9192982521,145882251.9192982614,2018-01-13T16:12:06.862011Z
51,2251.0489721312,145882251.0489721298,2018-01-13T16:12:06.962011Z
52,2250.1781708118,145882250.1781708300,2018-01-13T16:12:07.062011Z
53,2249.3066566946,145882249.3066566885,2018-01-13T16:12:07.162011Z
54,2248.4341921804,145882248.4341921806,2018-01-13T16:12:07.262011Z
55,2247.5612524676,145882247.5612524748,2018-01-13T16:12:07.362011Z
56,2246.6875999570,145882246.6875999570,2018-01-13T16:12:07.462011Z
57,2245.8132346485,145882245.8132346570,2018-01-13T16:12:07.562011Z
58,2244.9381565423,145882244.9381565452,2018-01-13T16:12:07.662011Z
59,2244.0623656383,145882244.0623656213,2018-01-13T16:12:07.762011Z
60,2243.1858619365,145882243.1858619452,2018-01-13T16:12:07.862011Z
61,2242.3088830361,145882242.3088830411,2018-01-13T16:12:07.962011Z
62,2241.4309537386,145882241.4309537411,2018-01-13T16:12:08.062011Z
63,2240.5523116434,145882240.5523116589,2018-01-13T16:12:08.162011Z
64,2239.6731943496,145882239.6731943488,2018-01-13T16:12:08.262011Z
65,2238.7931266587,145882238.7931266725,2018-01-13T16:12:08.362011Z
66,2237.9125837693,145882237.9125837684,2018-01-13T16:12:08.462011Z
67,2237.0310904829,145882237.0310904980,2018-01-13T16:12:08.562011Z
68,2236.1491219979,145882236.1491219997,2018-01-13T16:12:08.662011Z
69,2235.2664407150,145882235.2664406896,2018-01-13T16:12:08.762011Z
70,2234.3830466344,145882234.3830466270,2018-01-13T16:12:08.862011Z
71,2233.4989397560,145882233.4989397824,2018-01-13T16:12:08.962011Z
72,2232.6138824805,145882232.6138824821,2018-01-13T16:12:09.062011Z
73,2231.7283500065,145882231.7283500135,2018-01-13T16:12:09.162011Z
74,2230.8421047346,145882230.8421047330,2018-01-13T16:12:09.262011Z
75,2229.9551466650,145882229.9551466703,2018-01-13T16:12:09.362011Z
76,2229.0677133968,145882229.0677133799,2018-01-13T16:12:09.462011Z
77,2228.1793297315,145882228.1793297231,2018-01-13T16:12:09.562011Z
78,2227.2902332684,145882227.2902332544,2018-01-13T16:12:09.662011Z
79,2226.4004240076,145882226.4004240334,2018-01-13T16:12:09.762011Z
80,2225.5099019489,145882225.5099019408,2018-01-13T16:12:09.862011Z
81,2224.6189046917,145882224.6189047098,2018-01-13T16:12:09.962011Z
82,2223.7269570374,145882223.7269570231,2018-01-13T16:12:10.062011Z
83,2222.8342965853,145882222.8342965841,2018-01-13T16:12:10.162011Z
84,2221.9411609346,145882221.9411609173,2018-01-13T16:12:10.262011Z
85,2221.0470748869,145882221.0470748842,2018-01-13T16:12:10.362011Z
86,2220.1522760414,145882220.1522760391,2018-01-13T16:12:10.462011Z
87,2219.2570019974,145882219.2570019960,2018-01-13T16:12:10.562011Z
88,2218.3607775562,145882218.3607775569,2018-01-13T16:12:10.662011Z
89,2217.4640779166,145882217.4640779197,2018-01-13T16:12:10.762011Z
90,2216.5664278798,145882216.5664278567,2018-01-13T16:12:10.862011Z
91,2215.6683026446,145882215.6683026552,2018-01-13T16:12:10.962011Z
92,2214.7692270122,145882214.7692270279,2018-01-13T16:12:11.062011Z
93,2213.8696761813,145882213.8696761727,2018-01-13T16:12:11.162011Z
94,2212.9691749534,145882212.9691749513,2018-01-13T16:12:11.262011Z
95,2212.0681985269,145882212.0681985319,2018-01-13T16:12:11.362011Z
96,2211.1662717033,145882211.1662716866,2018-01-13T16:12:11.462011Z
97,2210.2638696812,145882210.2638696730,2018-01-13T16:12:11.562011Z
98,2209.3607548613,145882209.3607548475,2018-01-13T16:12:11.662011Z
99,2208.4566896443,145882208.4566896558,2018-01-13T16:12:11.762011Z
100,2207.5521492287,145882207.5521492362,2018-01-13T16:12:11.862011Z
101,2206.6466584161,145882206.6466583908,2018-01-13T16:12:11.962011Z
102,2205.7406924050,145882205.7406924069,2018-01-13T16:12:12.062011Z
103,2204.8337759968,145882204.8337759972,2018-01-13T16:12:12.162011Z
104,2203.9263843900,145882203.9263843894,2018-01-13T16:12:12.262011Z
105,2203.0180423862,145882203.0180423856,2018-01-13T16:12:12.362011Z
106,2202.1092251839,145882202.1092251837,2018-01-13T16:12:12.462011Z
107,2201.1994575844,145882201.1994575858,2018-01-13T16:12:12.562011Z
108,2200.2892147864,145882200.2892147899,2018-01-13T16:12:12.662011Z
109,2199.3780215914,145882199.3780215979,2018-01-13T16:12:12.762011Z
110,2198.4663531978,145882198.4663531780,2018-01-13T16:12:12.862011Z
111,2197.5537344072,145882197.5537343919,2018-01-13T16:12:12.962011Z
112,2196.6406404180,145882196.6406404078,2018-01-13T16:12:13.062011Z
113,2195.7265960317,145882195.7265960276,2018-01-13T16:12:13.162011Z
114,2194.8120764469,145882194.8120764494,2018-01-13T16:12:13.262011Z
115,2193.8966064650,145882193.8966064453,2018-01-13T16:12:13.362011Z
