index,doppler_offset,measured_freq,timestamp
0,2286.7869909179,145882286.7869909108,2018-01-13T16:12:01.862011Z
1,2285.9475527019,145882285.9475526810,2018-01-13T16:12:01.962011Z
2,2285.1071640889,145882285.1071641147,2018-01-13T16:12:02.062011Z
3,2284.2663002774,145882284.2663002908,2018-01-13T16:12:02.162011Z
4,2283.4247236680,145882283.4247236550,2018-01-13T16:12:02.262011Z
5,2282.5826718601,145882282.5826718509,2018-01-13T16:12:02.362011Z
6,2281.7396696552,145882281.7396696508,2018-01-13T16:12:02.462011Z
7,2280.8961922517,145882280.8961922526,2018-01-13T16:12:02.562011Z
8,2280.0517644511,145882280.0517644584,2018-01-13T16:12:02.662011Z
9,2279.2068614520,145882279.2068614364,2018-01-13T16:12:02.762011Z
10,2278.3612456551,145882278.3612456322,2018-01-13T16:12:02.862011Z
11,2277.5151546596,145882277.5151546597,2018-01-13T16:12:02.962011Z
12,2276.6681132671,145882276.6681132615,2018-01-13T16:12:03.062011Z
13,2275.8205966760,145882275.8205966949,2018-01-13T16:12:03.162011Z
14,2274.9721296879,145882274.9721297026,2018-01-13T16:12:03.262011Z
15,2274.1231875012,145882274.1231875122,2018-01-13T16:12:03.362011Z
16,2273.2735325167,145882273.2735325098,2018-01-13T16:12:03.462011Z
17,2272.4231647344,145882272.4231647253,2018-01-13T16:12:03.562011Z
18,2271.5720841543,145882271.5720841587,2018-01-13T16:12:03.662011Z
19,2270.7205283757,145882270.7205283642,2018-01-13T16:12:03.762011Z
20,2269.8680222000,145882269.8680222034,2018-01-13T16:12:03.862011Z
21,2269.0150408258,145882269.0150408149,2018-01-13T16:12:03.962011Z
22,2268.1613466537,145882268.1613466442,2018-01-13T16:12:04.062011Z
23,2267.3069396839,145882267.3069396615,2018-01-13T16:12:04.162011Z
24,2266.4518199162,145882266.4518199265,2018-01-13T16:12:04.262011Z
25,2265.5959873507,145882265.5959873796,2018-01-13T16:12:04.362011Z
26,2264.7396795867,145882264.7396796048,2018-01-13T16:12:04.462011Z
27,2263.8824214257,145882263.8824214339,2018-01-13T16:12:04.562011Z
28,2263.0246880660,145882263.0246880651,2018-01-13T16:12:04.662011Z
29,2262.1660043093,145882262.1660043001,2018-01-13T16:12:04.762011Z
30,2261.3068453541,145882261.3068453372,2018-01-13T16:12:04.862011Z
31,2260.4469736011,145882260.4469735920,2018-01-13T16:12:04.962011Z
32,2259.5863890503,145882259.5863890350,2018-01-13T16:12:05.062011Z
33,2258.7250917016,145882258.7250916958,2018-01-13T16:12:05.162011Z
34,2257.8633191544,145882257.8633191586,2018-01-13T16:12:05.262011Z
35,2257.0005962102,145882257.0005962253,2018-01-13T16:12:05.362011Z
36,2256.1373980674,145882256.1373980939,2018-01-13T16:12:05.462011Z
37,2255.2732495275,145882255.2732495368,2018-01-13T16:12:05.562011Z
38,2254.4086257891,145882254.4086257815,2018-01-13T16:12:05.662011Z
39,2253.5432892529,145882253.5432892740,2018-01-13T16:12:05.762011Z
40,2252.6772399189,145882252.6772399247,2018-01-13T16:12:05.862011Z
41,2251.8104777871,145882251.8104777932,2018-01-13T16:12:05.962011Z
42,2250.9430028574,145882250.9430028498,2018-01-13T16:12:06.062011Z
43,2250.0748151300,145882250.0748151243,2018-01-13T16:12:06.162011Z
44,2249.2061522040,145882249.2061522007,2018-01-13T16:12:06.262011Z
45,2248.3365388810,145882248.3365388811,2018-01-13T16:12:06.362011Z
46,2247.4664503594,145882247.4664503634,2018-01-13T16:12:06.462011Z
47,2246.5954114408,145882246.5954114199,2018-01-13T16:12:06.562011Z
48,2245.7238973236,145882245.7238973379,2018-01-13T16:12:06.662011Z
49,2244.8516704086,145882244.8516703844,2018-01-13T16:12:06.762011Z
50,2243.9787306958,145882243.9787307084,2018-01-13T16:12:06.862011Z
51,2243.1050781851,145882243.1050781906,2018-01-13T16:12:06.962011Z
52,2242.2307128767,145882242.2307128608,2018-01-13T16:12:07.062011Z
53,2241.3556347705,145882241.3556347787,2018-01-13T16:12:07.162011Z
54,2240.4798438665,145882240.4798438549,2018-01-13T16:12:07.262011Z
55,2239.6033401646,145882239.6033401489,2018-01-13T16:12:07.362011Z
56,2238.7263612643,145882238.7263612449,2018-01-13T16:12:07.462011Z
57,2237.8484319668,145882237.8484319746,2018-01-13T16:12:07.562011Z
58,2236.9697898716,145882236.9697898626,2018-01-13T16:12:07.662011Z
59,2236.0906725778,145882236.0906725824,2018-01-13T16:12:07.762011Z
60,2235.2108424862,145882235.2108424902,2018-01-13T16:12:07.862011Z
61,2234.3300619975,145882234.3300619721,2018-01-13T16:12:07.962011Z
62,2233.4488063103,145882233.4488062859,2018-01-13T16:12:08.062011Z
63,2232.5668378253,145882232.5668378174,2018-01-13T16:12:08.162011Z
64,2231.6841565425,145882231.6841565371,2018-01-13T16:12:08.262011Z
65,2230.8007624619,145882230.8007624447,2018-01-13T16:12:08.362011Z
66,2229.9166555834,145882229.9166555703,2018-01-13T16:12:08.462011Z
67,2229.0318359072,145882229.0318358839,2018-01-13T16:12:08.562011Z
68,2228.1463034332,145882228.1463034451,2018-01-13T16:12:08.662011Z
69,2227.2600581613,145882227.2600581646,2018-01-13T16:12:08.762011Z
70,2226.3731000917,145882226.3731000721,2018-01-13T16:12:08.862011Z
71,2225.4854292242,145882225.4854292274,2018-01-13T16:12:08.962011Z
72,2224.5972831582,145882224.5972831547,2018-01-13T16:12:09.062011Z
73,2223.7081866952,145882223.7081866860,2018-01-13T16:12:09.162011Z
74,2222.8183774343,145882222.8183774352,2018-01-13T16:12:09.262011Z
75,2221.9280929749,145882221.9280929863,2018-01-13T16:12:09.362011Z
76,2221.0368581184,145882221.0368581116,2018-01-13T16:12:09.462011Z
77,2220.1451480634,145882220.1451480687,2018-01-13T16:12:09.562011Z
78,2219.2524876113,145882219.2524875998,2018-01-13T16:12:09.662011Z
79,2218.3593519606,145882218.3593519628,2018-01-13T16:12:09.762011Z
80,2217.4655035122,145882217.4655035138,2018-01-13T16:12:09.862011Z
81,2216.5707046667,145882216.5707046688,2018-01-13T16:12:09.962011Z
82,2215.6754306226,145882215.6754306257,2018-01-13T16:12:10.062011Z
83,2214.7794437808,145882214.7794437706,2018-01-13T16:12:10.162011Z
84,2213.8825065418,145882213.8825065494,2018-01-13T16:12:10.262011Z
85,2212.9850941044,145882212.9850941002,2018-01-13T16:12:10.362011Z
86,2212.0869688691,145882212.0869688690,2018-01-13T16:12:10.462011Z
87,2211.1878932367,145882211.1878932416,2018-01-13T16:12:10.562011Z
88,2210.2883424058,145882210.2883423865,2018-01-13T16:12:10.662011Z
89,2209.3880787772,145882209.3880787492,2018-01-13T16:12:10.762011Z
90,2208.4871023507,145882208.4871023595,2018-01-13T16:12:10.862011Z
91,2207.5854131263,145882207.5854131281,2018-01-13T16:12:10.962011Z
92,2206.6827735050,145882206.6827735007,2018-01-13T16:12:11.062011Z
93,2205.7796586851,145882205.7796587050,2018-01-13T16:12:11.162011Z
94,2204.8758310673,145882204.8758310676,2018-01-13T16:12:11.262011Z
95,2203.9712906518,145882203.9712906778,2018-01-13T16:12:11.362011Z
96,2203.0660374385,145882203.0660374165,2018-01-13T16:12:11.462011Z
97,2202.1600714273,145882202.1600714326,2018-01-13T16:12:11.562011Z
98,2201.2533926184,145882201.2533926368,2018-01-13T16:12:11.662011Z
99,2200.3457634124,145882200.3457634151,2018-01-13T16:12:11.762011Z
100,2199.4376590078,145882199.4376590252,2018-01-13T16:12:11.862011Z
101,2198.5288418055,145882198.5288417935,2018-01-13T16:12:11.962011Z
102,2197.6193118053,145882197.6193118095,2018-01-13T16:12:12.062011Z
103,2196.7090690073,145882196.7090690136,2018-01-13T16:12:12.162011Z
104,2195.7981134115,145882195.7981134057,2018-01-13T16:12:12.262011Z
105,2194.8862074187,145882194.8862074316,2018-01-13T16:12:12.362011Z
106,2193.9738262273,145882193.9738262296,2018-01-13T16:12:12.462011Z
107,2193.0607322381,145882193.0607322454,2018-01-13T16:12:12.562011Z
108,2192.1469254511,145882192.1469254494,2018-01-13T16:12:12.662011Z
109,2191.2321682670,145882191.2321682870,2018-01-13T16:12:12.762011Z
110,2190.3169358844,145882190.3169358969,2018-01-13T16:12:12.862011Z
111,2189.4009907040,145882189.4009906948,2018-01-13T16:12:12.962011Z
112,2188.4843327258,145882188.4843327105,2018-01-13T16:12:13.062011Z
113,2187.5667243505,145882187.5667243302,2018-01-13T16:12:13.162011Z
114,2186.6486407766,145882186.6486407816,2018-01-13T16:12:13.262011Z
115,2185.7296068057,145882185.7296068072,2018-01-13T16:12:13.362011Z
116,2184.8100976363,145882184.8100976348,2018-01-13T16:12:13.462011Z
117,2183.8896380697,145882183.8896380961,2018-01-13T16:12:13.562011Z
118,2182.9687033047,145882182.9687032998,2018-01-13T16:12:13.662011Z
119,2182.0468181425,145882182.0468181372,2018-01-13T16:12:13.762011Z
120,2181.1244577819,145882181.1244577765,2018-01-13T16:12:13.862011Z
121,2180.2011470241,145882180.2011470199,2018-01-13T16:12:13.962011Z
122,2179.2771234686,145882179.2771234512,2018-01-13T16:12:14.062011Z
