index,doppler_offset,measured_freq,timestamp
0,2257.6803677176,145882257.6803677380,2018-01-13T16:12:01.862011Z
1,2256.8166943763,145882256.8166943789,2018-01-13T16:12:01.962011Z
2,2255.9523082371,145882255.9523082376,2018-01-13T16:12:02.062011Z
3,2255.0872093002,145882255.0872093141,2018-01-13T16:12:02.162011Z
4,2254.2213975655,145882254.2213975787,2018-01-13T16:12:02.262011Z
5,2253.3548730329,145882253.3548730314,2018-01-13T16:12:02.362011Z
6,2252.4878733018,145882252.4878732860,2018-01-13T16:12:02.462011Z
7,2251.6199231737,145882251.6199231744,2018-01-13T16:12:02.562011Z
8,2250.7514978469,145882250.7514978349,2018-01-13T16:12:02.662011Z
9,2249.8821221232,145882249.8821221292,2018-01-13T16:12:02.762011Z
10,2249.0122712009,145882249.0122712255,2018-01-13T16:12:02.862011Z
11,2248.1417074807,145882248.1417074800,2018-01-13T16:12:02.962011Z
12,2247.2704309628,145882247.2704309523,2018-01-13T16:12:03.062011Z
13,2246.3984416471,145882246.3984416425,2018-01-13T16:12:03.162011Z
14,2245.5257395336,145882245.5257395506,2018-01-13T16:12:03.262011Z
15,2244.6523246222,145882244.6523246169,2018-01-13T16:12:03.362011Z
16,2243.7781969131,145882243.7781969309,2018-01-13T16:12:03.462011Z
17,2242.9033564061,145882242.9033564031,2018-01-13T16:12:03.562011Z
18,2242.0280407006,145882242.0280407071,2018-01-13T16:12:03.662011Z
19,2241.1517745981,145882241.1517745852,2018-01-13T16:12:03.762011Z
20,2240.2750332970,145882240.2750332952,2018-01-13T16:12:03.862011Z
21,2239.3973415988,145882239.3973416090,2018-01-13T16:12:03.962011Z
22,2238.5191747021,145882238.5191747248,2018-01-13T16:12:04.062011Z
23,2237.6402950075,145882237.6402949989,2018-01-13T16:12:04.162011Z
24,2236.7604649159,145882236.7604649067,2018-01-13T16:12:04.262011Z
25,2235.8801596258,145882235.8801596165,2018-01-13T16:12:04.362011Z
26,2234.9991415379,145882234.9991415143,2018-01-13T16:12:04.462011Z
27,2234.1174106521,145882234.1174106300,2018-01-13T16:12:04.562011Z
28,2233.2349669686,145882233.2349669933,2018-01-13T16:12:04.662011Z
29,2232.3518104872,145882232.3518105149,2018-01-13T16:12:04.762011Z
30,2231.4679412081,145882231.4679411948,2018-01-13T16:12:04.862011Z
31,2230.5835967304,145882230.5835967362,2018-01-13T16:12:04.962011Z
32,2229.6983018556,145882229.6983018517,2018-01-13T16:12:05.062011Z
33,2228.8122941830,145882228.8122941852,2018-01-13T16:12:05.162011Z
34,2227.9255737126,145882227.9255737066,2018-01-13T16:12:05.262011Z
35,2227.0383780437,145882227.0383780599,2018-01-13T16:12:05.362011Z
36,2226.1502319777,145882226.1502319872,2018-01-13T16:12:05.462011Z
37,2225.2616107132,145882225.2616107166,2018-01-13T16:12:05.562011Z
38,2224.3720390516,145882224.3720390499,2018-01-13T16:12:05.662011Z
39,2223.4819921915,145882223.4819921851,2018-01-13T16:12:05.762011Z
40,2222.5909949342,145882222.5909949243,2018-01-13T16:12:05.862011Z
41,2221.6995224785,145882221.6995224953,2018-01-13T16:12:05.962011Z
42,2220.8073372249,145882220.8073372245,2018-01-13T16:12:06.062011Z
43,2219.9142015743,145882219.9142015576,2018-01-13T16:12:06.162011Z
44,2219.0205907251,145882219.0205907226,2018-01-13T16:12:06.262011Z
45,2218.1262670781,145882218.1262670755,2018-01-13T16:12:06.362011Z
46,2217.2309930341,145882217.2309930325,2018-01-13T16:12:06.462011Z
47,2216.3352437915,145882216.3352438211,2018-01-13T16:12:06.562011Z
48,2215.4387817511,145882215.4387817383,2018-01-13T16:12:06.662011Z
49,2214.5416069129,145882214.5416069031,2018-01-13T16:12:06.762011Z
50,2213.6437192769,145882213.6437192559,2018-01-13T16:12:06.862011Z
51,2212.7448812438,145882212.7448812425,2018-01-13T16:12:06.962011Z
52,2211.8455680122,145882211.8455680311,2018-01-13T16:12:07.062011Z
53,2210.9455419828,145882210.9455419779,2018-01-13T16:12:07.162011Z
54,2210.0448031555,145882210.0448031723,2018-01-13T16:12:07.262011Z
55,2209.1433515305,145882209.1433515251,2018-01-13T16:12:07.362011Z
56,2208.2411871077,145882208.2411871254,2018-01-13T16:12:07.462011Z
57,2207.3383098870,145882207.3383098841,2018-01-13T16:12:07.562011Z
58,2206.4347198686,145882206.4347198904,2018-01-13T16:12:07.662011Z
59,2205.5304170523,145882205.5304170549,2018-01-13T16:12:07.762011Z
60,2204.6251638390,145882204.6251638532,2018-01-13T16:12:07.862011Z
61,2203.7194354271,145882203.7194354236,2018-01-13T16:12:07.962011Z
62,2202.8129942174,145882202.8129942119,2018-01-13T16:12:08.062011Z
63,2201.9058402099,145882201.9058402181,2018-01-13T16:12:08.162011Z
64,2200.9979734047,145882200.9979734123,2018-01-13T16:12:08.262011Z
65,2200.0893938016,145882200.0893937945,2018-01-13T16:12:08.362011Z
66,2199.1801014007,145882199.1801013947,2018-01-13T16:12:08.462011Z
67,2198.2700962020,145882198.2700962126,2018-01-13T16:12:08.562011Z
68,2197.3593782054,145882197.3593782187,2018-01-13T16:12:08.662011Z
69,2196.4477098119,145882196.4477098286,2018-01-13T16:12:08.762011Z
70,2195.5355662197,145882195.5355662107,2018-01-13T16:12:08.862011Z
71,2194.6227098298,145882194.6227098405,2018-01-13T16:12:08.962011Z
72,2193.7091406421,145882193.7091406286,2018-01-13T16:12:09.062011Z
73,2192.7946210573,145882192.7946210504,2018-01-13T16:12:09.162011Z
74,2191.8796262739,145882191.8796262741,2018-01-13T16:12:09.262011Z
75,2190.9639186928,145882190.9639186859,2018-01-13T16:12:09.362011Z
76,2190.0474983138,145882190.0474983156,2018-01-13T16:12:09.462011Z
77,2189.1301275378,145882189.1301275492,2018-01-13T16:12:09.562011Z
78,2188.2122815632,145882188.2122815549,2018-01-13T16:12:09.662011Z
79,2187.2934851916,145882187.2934851646,2018-01-13T16:12:09.762011Z
80,2186.3742136214,145882186.3742136061,2018-01-13T16:12:09.862011Z
81,2185.4539916541,145882185.4539916515,2018-01-13T16:12:09.962011Z
82,2184.5332944883,145882184.5332944691,2018-01-13T16:12:10.062011Z
83,2183.6116469255,145882183.6116469502,2018-01-13T16:12:10.162011Z
84,2182.6895241641,145882182.6895241737,2018-01-13T16:12:10.262011Z
85,2181.7664510056,145882181.7664510012,2018-01-13T16:12:10.362011Z
86,2180.8426650493,145882180.8426650465,2018-01-13T16:12:10.462011Z
87,2179.9184038945,145882179.9184038937,2018-01-13T16:12:10.562011Z
88,2178.9931923426,145882178.9931923449,2018-01-13T16:12:10.662011Z
89,2178.0672679929,145882178.0672679842,2018-01-13T16:12:10.762011Z
90,2177.1406308454,145882177.1406308413,2018-01-13T16:12:10.862011Z
91,2176.2132809001,145882176.2132809162,2018-01-13T16:12:10.962011Z
92,2175.2852181570,145882175.2852181494,2018-01-13T16:12:11.062011Z
93,2174.3564426160,145882174.3564426303,2018-01-13T16:12:11.162011Z
94,2173.4269542773,145882173.4269542694,2018-01-13T16:12:11.262011Z
