index,doppler_offset,measured_freq,timestamp
0,2219.5528130868,145882219.5528130829,2018-01-13T16:12:01.862011Z
1,2218.6577766420,145882218.6577766538,2018-01-13T16:12:01.962011Z
2,2217.7620273994,145882217.7620273829,2018-01-13T16:12:02.062011Z
3,2216.8655653590,145882216.8655653596,2018-01-13T16:12:02.162011Z
4,2215.9683905208,145882215.9683905244,2018-01-13T16:12:02.262011Z
5,2215.0705028848,145882215.0705028772,2018-01-13T16:12:02.362011Z
6,2214.1719024510,145882214.1719024479,2018-01-13T16:12:02.462011Z
7,2213.2725892194,145882213.2725892365,2018-01-13T16:12:02.562011Z
8,2212.3725631899,145882212.3725631833,2018-01-13T16:12:02.662011Z
9,2211.4718243627,145882211.4718243778,2018-01-13T16:12:02.762011Z
10,2210.5703727377,145882210.5703727305,2018-01-13T16:12:02.862011Z
11,2209.6684459141,145882209.6684459150,2018-01-13T16:12:02.962011Z
12,2208.7655686934,145882208.7655687034,2018-01-13T16:12:03.062011Z
13,2207.8619786750,145882207.8619786799,2018-01-13T16:12:03.162011Z
14,2206.9576758587,145882206.9576758444,2018-01-13T16:12:03.262011Z
15,2206.0526602447,145882206.0526602268,2018-01-13T16:12:03.362011Z
16,2205.1469318328,145882205.1469318271,2018-01-13T16:12:03.462011Z
17,2204.2404906231,145882204.2404906154,2018-01-13T16:12:03.562011Z
18,2203.3333366156,145882203.3333365917,2018-01-13T16:12:03.662011Z
19,2202.4254698104,145882202.4254697859,2018-01-13T16:12:03.762011Z
20,2201.5168902073,145882201.5168901980,2018-01-13T16:12:03.862011Z
21,2200.6078354056,145882200.6078354120,2018-01-13T16:12:03.962011Z
22,2199.6978302069,145882199.6978302002,2018-01-13T16:12:04.062011Z
23,2198.7871122104,145882198.7871122360,2018-01-13T16:12:04.162011Z
24,2197.8756814161,145882197.8756814003,2018-01-13T16:12:04.262011Z
25,2196.9635378240,145882196.9635378420,2018-01-13T16:12:04.362011Z
26,2196.0506814340,145882196.0506814420,2018-01-13T16:12:04.462011Z
27,2195.1368746470,145882195.1368746459,2018-01-13T16:12:04.562011Z
28,2194.2225926615,145882194.2225926518,2018-01-13T16:12:04.662011Z
29,2193.3075978782,145882193.3075979054,2018-01-13T16:12:04.762011Z
30,2192.3918902970,145882192.3918903172,2018-01-13T16:12:04.862011Z
31,2191.4754699181,145882191.4754699171,2018-01-13T16:12:04.962011Z
32,2190.5583367413,145882190.5583367348,2018-01-13T16:12:05.062011Z
33,2189.6402531675,145882189.6402531564,2018-01-13T16:12:05.162011Z
34,2188.7216943951,145882188.7216943800,2018-01-13T16:12:05.262011Z
35,2187.8024228249,145882187.8024228215,2018-01-13T16:12:05.362011Z
36,2186.8824384569,145882186.8824384511,2018-01-13T16:12:05.462011Z
37,2185.9615036919,145882185.9615036845,2018-01-13T16:12:05.562011Z
38,2185.0400937283,145882185.0400937498,2018-01-13T16:12:05.662011Z
39,2184.1177333676,145882184.1177333593,2018-01-13T16:12:05.762011Z
40,2183.1948978084,145882183.1948978007,2018-01-13T16:12:05.862011Z
41,2182.2711118521,145882182.2711118460,2018-01-13T16:12:05.962011Z
42,2181.3466130980,145882181.3466130793,2018-01-13T16:12:06.062011Z
43,2180.4216391454,145882180.4216391742,2018-01-13T16:12:06.162011Z
44,2179.4957147957,145882179.4957147837,2018-01-13T16:12:06.262011Z
45,2178.5690776482,145882178.5690776408,2018-01-13T16:12:06.362011Z
46,2177.6417277029,145882177.6417277157,2018-01-13T16:12:06.462011Z
47,2176.7136649597,145882176.7136649489,2018-01-13T16:12:06.562011Z
48,2175.7848894188,145882175.7848894298,2018-01-13T16:12:06.662011Z
49,2174.8554010801,145882174.8554010689,2018-01-13T16:12:06.762011Z
50,2173.9251999436,145882173.9251999557,2018-01-13T16:12:06.862011Z
51,2172.9942860092,145882172.9942860007,2018-01-13T16:12:06.962011Z
52,2172.0626592771,145882172.0626592636,2018-01-13T16:12:07.062011Z
53,2171.1300821478,145882171.1300821304,2018-01-13T16:12:07.162011Z
54,2170.1970298201,145882170.1970297992,2018-01-13T16:12:07.262011Z
55,2169.2630270953,145882169.2630271018,2018-01-13T16:12:07.362011Z
56,2168.3285491719,145882168.3285491765,2018-01-13T16:12:07.462011Z
57,2167.3931208514,145882167.3931208253,2018-01-13T16:12:07.562011Z
58,2166.4572173325,145882166.4572173357,2018-01-13T16:12:07.662011Z
59,2165.5203634164,145882165.5203634202,2018-01-13T16:12:07.762011Z
60,2164.5827967025,145882164.5827966928,2018-01-13T16:12:07.862011Z
61,2163.6445171909,145882163.6445171833,2018-01-13T16:12:07.962011Z
62,2162.7055248814,145882162.7055248916,2018-01-13T16:12:08.062011Z
63,2161.7658197741,145882161.7658197880,2018-01-13T16:12:08.162011Z
64,2160.8254018690,145882160.8254018724,2018-01-13T16:12:08.262011Z
65,2159.8840335669,145882159.8840335608,2018-01-13T16:12:08.362011Z
66,2158.9421900662,145882158.9421900511,2018-01-13T16:12:08.462011Z
67,2157.9993961684,145882157.9993961751,2018-01-13T16:12:08.562011Z
68,2157.0561270721,145882157.0561270714,2018-01-13T16:12:08.662011Z
69,2156.1119075787,145882156.1119075716,2018-01-13T16:12:08.762011Z
70,2155.1669752875,145882155.1669752896,2018-01-13T16:12:08.862011Z
71,2154.2213301985,145882154.2213302255,2018-01-13T16:12:08.962011Z
72,2153.2749723117,145882153.2749723196,2018-01-13T16:12:09.062011Z
73,2152.3279016271,145882152.3279016316,2018-01-13T16:12:09.162011Z
74,2151.3801181447,145882151.3801181614,2018-01-13T16:12:09.262011Z
75,2150.4316218645,145882150.4316218793,2018-01-13T16:12:09.362011Z
76,2149.4821751872,145882149.4821751714,2018-01-13T16:12:09.462011Z
77,2148.5322533114,145882148.5322532952,2018-01-13T16:12:09.562011Z
78,2147.5813810385,145882147.5813810229,2018-01-13T16:12:09.662011Z
79,2146.6297959678,145882146.6297959685,2018-01-13T16:12:09.762011Z
80,2145.6777356985,145882145.6777356863,2018-01-13T16:12:09.862011Z
81,2144.7247250322,145882144.7247250378,2018-01-13T16:12:09.962011Z
82,2143.7707639688,145882143.7707639635,2018-01-13T16:12:10.062011Z
83,2142.8163277069,145882142.8163276911,2018-01-13T16:12:10.162011Z
84,2141.8611786472,145882141.8611786366,2018-01-13T16:12:10.262011Z
85,2140.9050791903,145882140.9050791860,2018-01-13T16:12:10.362011Z
86,2139.9485045350,145882139.9485045373,2018-01-13T16:12:10.462011Z
87,2138.9909794826,145882138.9909794927,2018-01-13T16:12:10.562011Z
88,2138.0327416323,145882138.0327416062,2018-01-13T16:12:10.662011Z
89,2137.0737909843,145882137.0737909973,2018-01-13T16:12:10.762011Z
90,2136.1141275385,145882136.1141275465,2018-01-13T16:12:10.862011Z
91,2135.1537512948,145882135.1537512839,2018-01-13T16:12:10.962011Z
92,2134.1924246541,145882134.1924246550,2018-01-13T16:12:11.062011Z
93,2133.2306228148,145882133.2306228280,2018-01-13T16:12:11.162011Z
94,2132.2678705785,145882132.2678705752,2018-01-13T16:12:11.262011Z
95,2131.3044055444,145882131.3044055402,2018-01-13T16:12:11.362011Z
96,2130.3402277124,145882130.3402276933,2018-01-13T16:12:11.462011Z
97,2129.3753370827,145882129.3753370941,2018-01-13T16:12:11.562011Z
98,2128.4097336551,145882128.4097336531,2018-01-13T16:12:11.662011Z
99,2127.4431798305,145882127.4431798458,2018-01-13T16:12:11.762011Z
100,2126.4761508073,145882126.4761508107,2018-01-13T16:12:11.862011Z
101,2125.5081713871,145882125.5081714094,2018-01-13T16:12:11.962011Z
102,2124.5394791690,145882124.5394791663,2018-01-13T16:12:12.062011Z
103,2123.5700741532,145882123.5700741708,2018-01-13T16:12:12.162011Z
104,2122.5999563395,145882122.5999563336,2018-01-13T16:12:12.262011Z
105,2121.6291257281,145882121.6291257441,2018-01-13T16:12:12.362011Z
106,2120.6573447195,145882120.6573447287,2018-01-13T16:12:12.462011Z
107,2119.6848509132,145882119.6848509312,2018-01-13T16:12:12.562011Z
108,2118.7118819083,145882118.7118819058,2018-01-13T16:12:12.662011Z
109,2117.7377249071,145882117.7377249002,2018-01-13T16:12:12.762011Z
110,2116.7630927073,145882116.7630926967,2018-01-13T16:12:12.862011Z
111,2115.7877477097,145882115.7877477109,2018-01-13T16:12:12.962011Z
112,2114.8114523151,145882114.8114523292,2018-01-13T16:12:13.062011Z
113,2113.8346817219,145882113.8346817493,2018-01-13T16:12:13.162011Z
114,2112.8569607317,145882112.8569607437,2018-01-13T16:12:13.262011Z
115,2111.8785269436,145882111.8785269558,2018-01-13T16:12:13.362011Z
116,2110.8993803577,145882110.8993803561,2018-01-13T16:12:13.462011Z
117,2109.9192833748,145882109.9192833602,2018-01-13T16:12:13.562011Z
118,2108.9387111933,145882108.9387111962,2018-01-13T16:12:13.662011Z
119,2107.9571886148,145882107.9571886063,2018-01-13T16:12:13.762011Z
120,2106.9749532384,145882106.9749532342,2018-01-13T16:12:13.862011Z
121,2105.9920050643,145882105.9920050502,2018-01-13T16:12:13.962011Z
122,2105.0083440923,145882105.0083440840,2018-01-13T16:12:14.062011Z
123,2104.0237327232,145882104.0237327218,2018-01-13T16:12:14.162011Z
124,2103.0384085564,145882103.0384085774,2018-01-13T16:12:14.262011Z
125,2102.0523715917,145882102.0523715913,2018-01-13T16:12:14.362011Z
126,2101.0656218293,145882101.0656218231,2018-01-13T16:12:14.462011Z
127,2100.0781592690,145882100.0781592727,2018-01-13T16:12:14.562011Z
128,2099.0899839109,145882099.0899839103,2018-01-13T16:12:14.662011Z
129,2098.1008581558,145882098.1008581519,2018-01-13T16:12:14.762011Z
130,2097.1110196029,145882097.1110196114,2018-01-13T16:12:14.862011Z
131,2096.1204682521,145882096.1204682291,2018-01-13T16:12:14.962011Z
132,2095.1292041035,145882095.1292040944,2018-01-13T16:12:15.062011Z
133,2094.1369895579,145882094.1369895637,2018-01-13T16:12:15.162011Z
134,2093.1442998137,145882093.1442998052,2018-01-13T16:12:15.262011Z
135,2092.1506596725,145882092.1506596506,2018-01-13T16:12:15.362011Z
136,2091.1560691341,145882091.1560691297,2018-01-13T16:12:15.462011Z
137,2090.1610033973,145882090.1610033810,2018-01-13T16:12:15.562011Z
138,2089.1652248626,145882089.1652248502,2018-01-13T16:12:15.662011Z
139,2088.1684959309,145882088.1684959233,2018-01-13T16:12:15.762011Z
140,2087.1710542013,145882087.1710541844,2018-01-13T16:12:15.862011Z
141,2086.1728996740,145882086.1728996634,2018-01-13T16:12:15.962011Z
142,2085.1737947496,145882085.1737947464,2018-01-13T16:12:16.062011Z
143,2084.1742146266,145882084.1742146313,2018-01-13T16:12:16.162011Z
144,2083.1736841066,145882083.1736840904,2018-01-13T16:12:16.262011Z
145,2082.1724407887,145882082.1724407971,2018-01-13T16:12:16.362011Z
146,2081.1702470738,145882081.1702470779,2018-01-13T16:12:16.462011Z
147,2080.1675781603,145882080.1675781608,2018-01-13T16:12:16.562011Z
148,2079.1639588498,145882079.1639588475,2018-01-13T16:12:16.662011Z
149,2078.1596267415,145882078.1596267223,2018-01-13T16:12:16.762011Z
150,2077.1545818353,145882077.1545818448,2018-01-13T16:12:16.862011Z
151,2076.1485865321,145882076.1485865116,2018-01-13T16:12:16.962011Z
152,2075.1421160304,145882075.1421160102,2018-01-13T16:12:17.062011Z
153,2074.1346951315,145882074.1346951425,2018-01-13T16:12:17.162011Z
154,2073.1265614349,145882073.1265614331,2018-01-13T16:12:17.262011Z
155,2072.1174773412,145882072.1174773276,2018-01-13T16:12:17.362011Z
156,2071.1079180489,145882071.1079180539,2018-01-13T16:12:17.462011Z
157,2070.0974083596,145882070.0974083841,2018-01-13T16:12:17.562011Z
158,2069.0859482732,145882069.0859482884,2018-01-13T16:12:17.662011Z
159,2068.0740129883,145882068.0740129948,2018-01-13T16:12:17.762011Z
160,2067.0611273063,145882067.0611273050,2018-01-13T16:12:17.862011Z
161,2066.0477664258,145882066.0477664471,2018-01-13T16:12:17.962011Z
162,2065.0332175489,145882065.0332175493,2018-01-13T16:12:18.062011Z
163,2064.0181934734,145882064.0181934834,2018-01-13T16:12:18.162011Z
164,2063.0022190010,145882063.0022189915,2018-01-13T16:12:18.262011Z
165,2061.9855317307,145882061.9855317175,2018-01-13T16:12:18.362011Z
166,2060.9681316625,145882060.9681316614,2018-01-13T16:12:18.462011Z
167,2059.9500187966,145882059.9500187933,2018-01-13T16:12:18.562011Z
168,2058.9309555336,145882058.9309555292,2018-01-13T16:12:18.662011Z
169,2057.9111794728,145882057.9111794531,2018-01-13T16:12:18.762011Z
170,2056.8906906142,145882056.8906905949,2018-01-13T16:12:18.862011Z
171,2055.8694889578,145882055.8694889545,2018-01-13T16:12:18.962011Z
172,2054.8473369044,145882054.8473368883,2018-01-13T16:12:19.062011Z
173,2053.8244720531,145882053.8244720697,2018-01-13T16:12:19.162011Z
174,2052.8008944040,145882052.8008944094,2018-01-13T16:12:19.262011Z
175,2051.7763663578,145882051.7763663530,2018-01-13T16:12:19.362011Z
176,2050.7511255138,145882050.7511255145,2018-01-13T16:12:19.462011Z
177,2049.7251718721,145882049.7251718938,2018-01-13T16:12:19.562011Z
178,2048.6985054325,145882048.6985054314,2018-01-13T16:12:19.662011Z
179,2047.6708885958,145882047.6708885729,2018-01-13T16:12:19.762011Z
180,2046.6425589614,145882046.6425589621,2018-01-13T16:12:19.862011Z
181,2045.6135165291,145882045.6135165393,2018-01-13T16:12:19.962011Z
182,2044.5835236998,145882044.5835236907,2018-01-13T16:12:20.062011Z
183,2043.5528180726,145882043.5528180599,2018-01-13T16:12:20.162011Z
184,2042.5213996476,145882042.5213996470,2018-01-13T16:12:20.262011Z
185,2041.4892684249,145882041.4892684221,2018-01-13T16:12:20.362011Z
186,2040.4561868051,145882040.4561868012,2018-01-13T16:12:20.462011Z
187,2039.4223923874,145882039.4223923981,2018-01-13T16:12:20.562011Z
188,2038.3878851720,145882038.3878851831,2018-01-13T16:12:20.662011Z
189,2037.3526651587,145882037.3526651561,2018-01-13T16:12:20.762011Z
190,2036.3164947484,145882036.3164947331,2018-01-13T16:12:20.862011Z
191,2035.2796115403,145882035.2796115577,2018-01-13T16:12:20.962011Z
