index,doppler_offset,measured_freq,timestamp
0,2586.8047753645,145882586.8047753572,2018-01-13T16:12:01.862011Z
1,2586.2183803696,145882586.2183803916,2018-01-13T16:12:01.962011Z
2,2585.6315101762,145882585.6315101683,2018-01-13T16:12:02.062011Z
3,2585.0444023835,145882585.0444023609,2018-01-13T16:12:02.162011Z
4,2584.4565817930,145882584.4565817714,2018-01-13T16:12:02.262011Z
5,2583.8682860040,145882583.8682860136,2018-01-13T16:12:02.362011Z
6,2583.2795150164,145882583.2795149982,2018-01-13T16:12:02.462011Z
7,2582.6902688303,145882582.6902688146,2018-01-13T16:12:02.562011Z
8,2582.1005474456,145882582.1005474627,2018-01-13T16:12:02.662011Z
9,2581.5103508625,145882581.5103508532,2018-01-13T16:12:02.762011Z
10,2580.9194414815,145882580.9194414616,2018-01-13T16:12:02.862011Z
11,2580.3282945012,145882580.3282945156,2018-01-13T16:12:02.962011Z
12,2579.7366723224,145882579.7366723120,2018-01-13T16:12:03.062011Z
13,2579.1445749451,145882579.1445749700,2018-01-13T16:12:03.162011Z
14,2578.5517647700,145882578.5517647564,2018-01-13T16:12:03.262011Z
15,2577.9587169956,145882577.9587169886,2018-01-13T16:12:03.362011Z
16,2577.3649564233,145882577.3649564385,2018-01-13T16:12:03.462011Z
17,2576.7709582519,145882576.7709582448,2018-01-13T16:12:03.562011Z
18,2576.1762472826,145882576.1762472689,2018-01-13T16:12:03.662011Z
19,2575.5812987140,145882575.5812987387,2018-01-13T16:12:03.762011Z
20,2574.9856373477,145882574.9856373370,2018-01-13T16:12:03.862011Z
21,2574.3895007828,145882574.3895007670,2018-01-13T16:12:03.962011Z
22,2573.7928890193,145882573.7928889990,2018-01-13T16:12:04.062011Z
23,2573.1958020574,145882573.1958020627,2018-01-13T16:12:04.162011Z
24,2572.5984774961,145882572.5984774828,2018-01-13T16:12:04.262011Z
25,2572.0002025378,145882572.0002025366,2018-01-13T16:12:04.362011Z
26,2571.4016899802,145882571.4016899765,2018-01-13T16:12:04.462011Z
27,2570.8027022241,145882570.8027022183,2018-01-13T16:12:04.562011Z
28,2570.2032392695,145882570.2032392919,2018-01-13T16:12:04.662011Z
29,2569.6033011163,145882569.6033011377,2018-01-13T16:12:04.762011Z
30,2569.0026501653,145882569.0026501417,2018-01-13T16:12:04.862011Z
31,2568.4017616150,145882568.4017616212,2018-01-13T16:12:04.962011Z
32,2567.8001602669,145882567.8001602590,2018-01-13T16:12:05.062011Z
33,2567.1983213196,145882567.1983213127,2018-01-13T16:12:05.162011Z
34,2566.5957695744,145882566.5957695544,2018-01-13T16:12:05.262011Z
35,2565.9927426308,145882565.9927426279,2018-01-13T16:12:05.362011Z
36,2565.3892404885,145882565.3892404735,2018-01-13T16:12:05.462011Z
37,2564.7852631478,145882564.7852631509,2018-01-13T16:12:05.562011Z
38,2564.1808106085,145882564.1808106005,2018-01-13T16:12:05.662011Z
39,2563.5758828707,145882563.5758828819,2018-01-13T16:12:05.762011Z
40,2562.9704799343,145882562.9704799354,2018-01-13T16:12:05.862011Z
41,2562.3643642001,145882562.3643642068,2018-01-13T16:12:05.962011Z
42,2561.7580108667,145882561.7580108643,2018-01-13T16:12:06.062011Z
43,2561.1509447354,145882561.1509447098,2018-01-13T16:12:06.162011Z
44,2560.5436410049,145882560.5436410010,2018-01-13T16:12:06.262011Z
45,2559.9356244766,145882559.9356244802,2018-01-13T16:12:06.362011Z
46,2559.3271327497,145882559.3271327615,2018-01-13T16:12:06.462011Z
47,2558.7181658243,145882558.7181658149,2018-01-13T16:12:06.562011Z
48,2558.1087237004,145882558.1087237000,2018-01-13T16:12:06.662011Z
49,2557.4988063779,145882557.4988063872,2018-01-13T16:12:06.762011Z
50,2556.8881762576,145882556.8881762624,2018-01-13T16:12:06.862011Z
51,2556.2773085381,145882556.2773085237,2018-01-13T16:12:06.962011Z
52,2555.6657280207,145882555.6657280326,2018-01-13T16:12:07.062011Z
53,2555.0539099041,145882555.0539098978,2018-01-13T16:12:07.162011Z
54,2554.4413789897,145882554.4413789809,2018-01-13T16:12:07.262011Z
55,2553.8283728767,145882553.8283728659,2018-01-13T16:12:07.362011Z
56,2553.2148915652,145882553.2148915827,2018-01-13T16:12:07.462011Z
57,2552.6009350551,145882552.6009350717,2018-01-13T16:12:07.562011Z
58,2551.9865033466,145882551.9865033627,2018-01-13T16:12:07.662011Z
59,2551.3713588402,145882551.3713588417,2018-01-13T16:12:07.762011Z
60,2550.7559767345,145882550.7559767365,2018-01-13T16:12:07.862011Z
61,2550.1398818311,145882550.1398818195,2018-01-13T16:12:07.962011Z
62,2549.5235493284,145882549.5235493481,2018-01-13T16:12:08.062011Z
63,2548.9065040278,145882548.9065040350,2018-01-13T16:12:08.162011Z
64,2548.2889835288,145882548.2889835238,2018-01-13T16:12:08.262011Z
65,2547.6709878311,145882547.6709878147,2018-01-13T16:12:08.362011Z
66,2547.0522793357,145882547.0522793531,2018-01-13T16:12:08.462011Z
67,2546.4333332411,145882546.4333332479,2018-01-13T16:12:08.562011Z
68,2545.8136743486,145882545.8136743307,2018-01-13T16:12:08.662011Z
69,2545.1937778568,145882545.1937778294,2018-01-13T16:12:08.762011Z
70,2544.5731685673,145882544.5731685460,2018-01-13T16:12:08.862011Z
71,2543.9520840792,145882543.9520840943,2018-01-13T16:12:08.962011Z
72,2543.3305243925,145882543.3305243850,2018-01-13T16:12:09.062011Z
73,2542.7082519081,145882542.7082518935,2018-01-13T16:12:09.162011Z
74,2542.0857418244,145882542.0857418180,2018-01-13T16:12:09.262011Z
75,2541.4625189429,145882541.4625189304,2018-01-13T16:12:09.362011Z
76,2540.8390584621,145882540.8390584588,2018-01-13T16:12:09.462011Z
77,2540.2148851835,145882540.2148852050,2018-01-13T16:12:09.562011Z
78,2539.5902367064,145882539.5902366936,2018-01-13T16:12:09.662011Z
79,2538.9651130307,145882538.9651130140,2018-01-13T16:12:09.762011Z
80,2538.3392765572,145882538.3392765820,2018-01-13T16:12:09.862011Z
81,2537.7132024845,145882537.7132024765,2018-01-13T16:12:09.962011Z
82,2537.0864156139,145882537.0864156187,2018-01-13T16:12:10.062011Z
83,2536.4591535449,145882536.4591535628,2018-01-13T16:12:10.162011Z
84,2535.8314162772,145882535.8314162791,2018-01-13T16:12:10.262011Z
85,2535.2032038111,145882535.2032037973,2018-01-13T16:12:10.362011Z
86,2534.5745161464,145882534.5745161474,2018-01-13T16:12:10.462011Z
87,2533.9451156839,145882533.9451156855,2018-01-13T16:12:10.562011Z
88,2533.3152400229,145882533.3152400255,2018-01-13T16:12:10.662011Z
89,2532.6851267626,145882532.6851267517,2018-01-13T16:12:10.762011Z
90,2532.0540631052,145882532.0540631115,2018-01-13T16:12:10.862011Z
91,2531.4227618485,145882531.4227618277,2018-01-13T16:12:10.962011Z
92,2530.7909853933,145882530.7909854054,2018-01-13T16:12:11.062011Z
93,2530.1584961404,145882530.1584961414,2018-01-13T16:12:11.162011Z
94,2529.5257692881,145882529.5257692635,2018-01-13T16:12:11.262011Z
95,2528.8923296380,145882528.8923296332,2018-01-13T16:12:11.362011Z
96,2528.2581771902,145882528.2581771910,2018-01-13T16:12:11.462011Z
97,2527.6237871430,145882527.6237871349,2018-01-13T16:12:11.562011Z
98,2526.9889218973,145882526.9889218807,2018-01-13T16:12:11.662011Z
99,2526.3533438539,145882526.3533438742,2018-01-13T16:12:11.762011Z
100,2525.7172906118,145882525.7172906101,2018-01-13T16:12:11.862011Z
101,2525.0807621713,145882525.0807621479,2018-01-13T16:12:11.962011Z
102,2524.4437585322,145882524.4437585473,2018-01-13T16:12:12.062011Z
103,2523.8060420953,145882523.8060421050,2018-01-13T16:12:12.162011Z
104,2523.1680880591,145882523.1680880785,2018-01-13T16:12:12.262011Z
105,2522.5294212252,145882522.5294212401,2018-01-13T16:12:12.362011Z
106,2521.8902791926,145882521.8902792037,2018-01-13T16:12:12.462011Z
107,2521.2504243623,145882521.2504243851,2018-01-13T16:12:12.562011Z
108,2520.6103319327,145882520.6103319228,2018-01-13T16:12:12.662011Z
109,2519.9695267054,145882519.9695267081,2018-01-13T16:12:12.762011Z
110,2519.3282462794,145882519.3282462955,2018-01-13T16:12:12.862011Z
111,2518.6864906550,145882518.6864906549,2018-01-13T16:12:12.962011Z
