index,doppler_offset,measured_freq,timestamp
0,2442.7533284022,145882442.7533284128,2018-01-13T16:12:01.862011Z
1,2442.0452825818,145882442.0452825725,2018-01-13T16:12:01.962011Z
2,2441.3367615629,145882441.3367615640,2018-01-13T16:12:02.062011Z
3,2440.6277653454,145882440.6277653575,2018-01-13T16:12:02.162011Z
4,2439.9180563301,145882439.9180563390,2018-01-13T16:12:02.262011Z
5,2439.2076345170,145882439.2076345086,2018-01-13T16:12:02.362011Z
6,2438.4969751046,145882438.4969751239,2018-01-13T16:12:02.462011Z
7,2437.7853652952,145882437.7853652835,2018-01-13T16:12:02.562011Z
8,2437.0735178865,145882437.0735178888,2018-01-13T16:12:02.662011Z
9,2436.3609576800,145882436.3609576821,2018-01-13T16:12:02.762011Z
10,2435.6476846757,145882435.6476846635,2018-01-13T16:12:02.862011Z
11,2434.9339364729,145882434.9339364767,2018-01-13T16:12:02.962011Z
12,2434.2197130715,145882434.2197130919,2018-01-13T16:12:03.062011Z
13,2433.5047768723,145882433.5047768652,2018-01-13T16:12:03.162011Z
14,2432.7891278753,145882432.7891278565,2018-01-13T16:12:03.262011Z
15,2432.0732412790,145882432.0732412636,2018-01-13T16:12:03.362011Z
16,2431.3564042857,145882431.3564043045,2018-01-13T16:12:03.462011Z
17,2430.6393296931,145882430.6393297017,2018-01-13T16:12:03.562011Z
18,2429.9215423027,145882429.9215423167,2018-01-13T16:12:03.662011Z
19,2429.2030421144,145882429.2030421197,2018-01-13T16:12:03.762011Z
20,2428.4840667277,145882428.4840667248,2018-01-13T16:12:03.862011Z
21,2427.7643785431,145882427.7643785179,2018-01-13T16:12:03.962011Z
22,2427.0442151600,145882427.0442151725,2018-01-13T16:12:04.062011Z
23,2426.3235765784,145882426.3235765994,2018-01-13T16:12:04.162011Z
24,2425.6022251989,145882425.6022252142,2018-01-13T16:12:04.262011Z
25,2424.8801610217,145882424.8801610172,2018-01-13T16:12:04.362011Z
26,2424.1576216459,145882424.1576216519,2018-01-13T16:12:04.462011Z
27,2423.4346070716,145882423.4346070588,2018-01-13T16:12:04.562011Z
28,2422.7108796994,145882422.7108797133,2018-01-13T16:12:04.662011Z
29,2421.9866771288,145882421.9866771400,2018-01-13T16:12:04.762011Z
30,2421.2617617603,145882421.2617617548,2018-01-13T16:12:04.862011Z
31,2420.5363711933,145882420.5363712013,2018-01-13T16:12:04.962011Z
32,2419.8102678285,145882419.8102678359,2018-01-13T16:12:05.062011Z
33,2419.0836892651,145882419.0836892724,2018-01-13T16:12:05.162011Z
34,2418.3563979040,145882418.3563978970,2018-01-13T16:12:05.262011Z
35,2417.6286313443,145882417.6286313534,2018-01-13T16:12:05.362011Z
36,2416.9001519868,145882416.9001519978,2018-01-13T16:12:05.462011Z
37,2416.1711974307,145882416.1711974442,2018-01-13T16:12:05.562011Z
38,2415.4415300769,145882415.4415300786,2018-01-13T16:12:05.662011Z
39,2414.7113875245,145882414.7113875449,2018-01-13T16:12:05.762011Z
40,2413.9805321743,145882413.9805321693,2018-01-13T16:12:05.862011Z
41,2413.2492016256,145882413.2492016256,2018-01-13T16:12:05.962011Z
42,2412.5171582791,145882412.5171582997,2018-01-13T16:12:06.062011Z
43,2411.7846397340,145882411.7846397460,2018-01-13T16:12:06.162011Z
44,2411.0514083911,145882411.0514084101,2018-01-13T16:12:06.262011Z
45,2410.3177018497,145882410.3177018464,2018-01-13T16:12:06.362011Z
46,2409.5832825105,145882409.5832825005,2018-01-13T16:12:06.462011Z
47,2408.8483879727,145882408.8483879566,2018-01-13T16:12:06.562011Z
48,2408.1127806372,145882408.1127806604,2018-01-13T16:12:06.662011Z
49,2407.3766981031,145882407.3766981065,2018-01-13T16:12:06.762011Z
50,2406.6399027712,145882406.6399027705,2018-01-13T16:12:06.862011Z
51,2405.9026322408,145882405.9026322365,2018-01-13T16:12:06.962011Z
52,2405.1646489125,145882405.1646489203,2018-01-13T16:12:07.062011Z
53,2404.4261903857,145882404.4261904061,2018-01-13T16:12:07.162011Z
54,2403.6870190611,145882403.6870190799,2018-01-13T16:12:07.262011Z
55,2402.9471349387,145882402.9471349418,2018-01-13T16:12:07.362011Z
56,2402.2067756178,145882402.2067756355,2018-01-13T16:12:07.462011Z
57,2401.4659410983,145882401.4659411013,2018-01-13T16:12:07.562011Z
58,2400.7243937811,145882400.7243937850,2018-01-13T16:12:07.662011Z
59,2399.9821336660,145882399.9821336567,2018-01-13T16:12:07.762011Z
60,2399.2393983524,145882399.2393983603,2018-01-13T16:12:07.862011Z
61,2398.4961878402,145882398.4961878359,2018-01-13T16:12:07.962011Z
62,2397.7522645303,145882397.7522645295,2018-01-13T16:12:08.062011Z
63,2397.0076284225,145882397.0076284111,2018-01-13T16:12:08.162011Z
64,2396.2625171162,145882396.2625170946,2018-01-13T16:12:08.262011Z
65,2395.5166930121,145882395.5166930258,2018-01-13T16:12:08.362011Z
66,2394.7703937094,145882394.7703937292,2018-01-13T16:12:08.462011Z
67,2394.0233816090,145882394.0233816206,2018-01-13T16:12:08.562011Z
68,2393.2756567107,145882393.2756567001,2018-01-13T16:12:08.662011Z
69,2392.5274566139,145882392.5274566114,2018-01-13T16:12:08.762011Z
70,2391.7787813186,145882391.7787812948,2018-01-13T16:12:08.862011Z
