index,doppler_offset,measured_freq,timestamp
0,2364.4617558094,145882364.4617558122,2018-01-13T16:12:01.862011Z
1,2363.6874197931,145882363.6874197721,2018-01-13T16:12:01.962011Z
2,2362.9121333796,145882362.9121333659,2018-01-13T16:12:02.062011Z
3,2362.1366093670,145882362.1366093755,2018-01-13T16:12:02.162011Z
4,2361.3601349572,145882361.3601349592,2018-01-13T16:12:02.262011Z
5,2360.5831853489,145882360.5831853449,2018-01-13T16:12:02.362011Z
6,2359.8055229428,145882359.8055229485,2018-01-13T16:12:02.462011Z
7,2359.0273853382,145882359.0273853540,2018-01-13T16:12:02.562011Z
8,2358.2485349357,145882358.2485349178,2018-01-13T16:12:02.662011Z
9,2357.4689717355,145882357.4689717591,2018-01-13T16:12:02.762011Z
10,2356.6889333367,145882356.6889333129,2018-01-13T16:12:02.862011Z
11,2355.9081821401,145882355.9081821442,2018-01-13T16:12:02.962011Z
12,2355.1267181457,145882355.1267181635,2018-01-13T16:12:03.062011Z
13,2354.3447789528,145882354.3447789550,2018-01-13T16:12:03.162011Z
14,2353.5621269620,145882353.5621269643,2018-01-13T16:12:03.262011Z
15,2352.7789997728,145882352.7789997756,2018-01-13T16:12:03.362011Z
16,2351.9949221864,145882351.9949221909,2018-01-13T16:12:03.462011Z
17,2351.2103694015,145882351.2103694081,2018-01-13T16:12:03.562011Z
18,2350.4253414181,145882350.4253414273,2018-01-13T16:12:03.662011Z
19,2349.6393630376,145882349.6393630505,2018-01-13T16:12:03.762011Z
20,2348.8529094586,145882348.8529094756,2018-01-13T16:12:03.862011Z
21,2348.0659806810,145882348.0659806728,2018-01-13T16:12:03.962011Z
22,2347.2783391056,145882347.2783390880,2018-01-13T16:12:04.062011Z
23,2346.4899847324,145882346.4899847507,2018-01-13T16:12:04.162011Z
24,2345.7009175614,145882345.7009175718,2018-01-13T16:12:04.262011Z
25,2344.9113751919,145882344.9113751948,2018-01-13T16:12:04.362011Z
26,2344.1211200246,145882344.1211200356,2018-01-13T16:12:04.462011Z
27,2343.3301520594,145882343.3301520646,2018-01-13T16:12:04.562011Z
28,2342.5387088957,145882342.5387088954,2018-01-13T16:12:04.662011Z
29,2341.7463153350,145882341.7463153601,2018-01-13T16:12:04.762011Z
30,2340.9536841750,145882340.9536841512,2018-01-13T16:12:04.862011Z
31,2340.1601026179,145882340.1601026356,2018-01-13T16:12:04.962011Z
32,2339.3660458622,145882339.3660458624,2018-01-13T16:12:05.062011Z
33,2338.5712763088,145882338.5712763071,2018-01-13T16:12:05.162011Z
34,2337.7760315568,145882337.7760315537,2018-01-13T16:12:05.262011Z
35,2336.9800740070,145882336.9800740182,2018-01-13T16:12:05.362011Z
36,2336.1834036595,145882336.1834036410,2018-01-13T16:12:05.462011Z
37,2335.3860205141,145882335.3860205114,2018-01-13T16:12:05.562011Z
38,2334.5881621701,145882334.5881621838,2018-01-13T16:12:05.662011Z
39,2333.7895910284,145882333.7895910442,2018-01-13T16:12:05.762011Z
40,2332.9903070889,145882332.9903070927,2018-01-13T16:12:05.862011Z
41,2332.1905479508,145882332.1905479431,2018-01-13T16:12:05.962011Z
42,2331.3898384156,145882331.3898384273,2018-01-13T16:12:06.062011Z
43,2330.5888912812,145882330.5888912976,2018-01-13T16:12:06.162011Z
44,2329.7869937497,145882329.7869937718,2018-01-13T16:12:06.262011Z
45,2328.9846210197,145882328.9846210182,2018-01-13T16:12:06.362011Z
46,2328.1815354918,145882328.1815354824,2018-01-13T16:12:06.462011Z
47,2327.3777371662,145882327.3777371645,2018-01-13T16:12:06.562011Z
48,2326.5732260427,145882326.5732260346,2018-01-13T16:12:06.662011Z
49,2325.7682397208,145882325.7682397068,2018-01-13T16:12:06.762011Z
50,2324.9625406010,145882324.9625406265,2018-01-13T16:12:06.862011Z
51,2324.1563662826,145882324.1563662887,2018-01-13T16:12:06.962011Z
52,2323.3492415672,145882323.3492415547,2018-01-13T16:12:07.062011Z
53,2322.5416416533,145882322.5416416526,2018-01-13T16:12:07.162011Z
54,2321.7335665408,145882321.7335665524,2018-01-13T16:12:07.262011Z
55,2320.9245410313,145882320.9245410264,2018-01-13T16:12:07.362011Z
56,2320.1150403232,145882320.1150403321,2018-01-13T16:12:07.462011Z
