index,doppler_offset,measured_freq,timestamp
0,1787.7517823123,145881787.7517823279,2018-01-13T16:12:01.862011Z
1,1787.9330705542,145881787.9330705702,2018-01-13T16:12:01.962011Z
2,1788.1142399965,145881788.1142399907,2018-01-13T16:12:02.062011Z
3,1788.2955282385,145881788.2955282331,2018-01-13T16:12:02.162011Z
4,1788.4768164804,145881788.4768164754,2018-01-13T16:12:02.262011Z
5,1788.6579859227,145881788.6579858959,2018-01-13T16:12:02.362011Z
6,1788.8392741646,145881788.8392741382,2018-01-13T16:12:02.462011Z
7,1789.0204436069,145881789.0204436183,2018-01-13T16:12:02.562011Z
8,1789.2017318489,145881789.2017318606,2018-01-13T16:12:02.662011Z
9,1789.3829012912,145881789.3829012811,2018-01-13T16:12:02.762011Z
10,1789.5640707335,145881789.5640707314,2018-01-13T16:12:02.862011Z
11,1789.7452401758,145881789.7452401817,2018-01-13T16:12:02.962011Z
12,1789.9265284177,145881789.9265284240,2018-01-13T16:12:03.062011Z
13,1790.1076978600,145881790.1076978445,2018-01-13T16:12:03.162011Z
14,1790.2888673023,145881790.2888672948,2018-01-13T16:12:03.262011Z
15,1790.4700367446,145881790.4700367451,2018-01-13T16:12:03.362011Z
16,1790.6512061869,145881790.6512061954,2018-01-13T16:12:03.462011Z
17,1790.8323756292,145881790.8323756158,2018-01-13T16:12:03.562011Z
18,1791.0134262719,145881791.0134262741,2018-01-13T16:12:03.662011Z
19,1791.1945957142,145881791.1945956945,2018-01-13T16:12:03.762011Z
20,1791.3757651565,145881791.3757651746,2018-01-13T16:12:03.862011Z
21,1791.5569345988,145881791.5569345951,2018-01-13T16:12:03.962011Z
22,1791.7379852414,145881791.7379852235,2018-01-13T16:12:04.062011Z
23,1791.9191546837,145881791.9191547036,2018-01-13T16:12:04.162011Z
24,1792.1002053264,145881792.1002053022,2018-01-13T16:12:04.262011Z
25,1792.2812559691,145881792.2812559605,2018-01-13T16:12:04.362011Z
26,1792.4624254114,145881792.4624254107,2018-01-13T16:12:04.462011Z
27,1792.6434760540,145881792.6434760392,2018-01-13T16:12:04.562011Z
28,1792.8245266967,145881792.8245266974,2018-01-13T16:12:04.662011Z
29,1793.0055773394,145881793.0055773258,2018-01-13T16:12:04.762011Z
30,1793.1866279820,145881793.1866279840,2018-01-13T16:12:04.862011Z
31,1793.3677974243,145881793.3677974045,2018-01-13T16:12:04.962011Z
32,1793.5487292674,145881793.5487292707,2018-01-13T16:12:05.062011Z
33,1793.7297799100,145881793.7297799289,2018-01-13T16:12:05.162011Z
34,1793.9108305527,145881793.9108305275,2018-01-13T16:12:05.262011Z
35,1794.0918811954,145881794.0918811858,2018-01-13T16:12:05.362011Z
36,1794.2729318380,145881794.2729318440,2018-01-13T16:12:05.462011Z
37,1794.4538636811,145881794.4538636804,2018-01-13T16:12:05.562011Z
38,1794.6349143237,145881794.6349143088,2018-01-13T16:12:05.662011Z
39,1794.8159649664,145881794.8159649670,2018-01-13T16:12:05.762011Z
40,1794.9968968094,145881794.9968968034,2018-01-13T16:12:05.862011Z
41,1795.1778286525,145881795.1778286695,2018-01-13T16:12:05.962011Z
42,1795.3588792951,145881795.3588792682,2018-01-13T16:12:06.062011Z
43,1795.5398111382,145881795.5398111343,2018-01-13T16:12:06.162011Z
44,1795.7207429812,145881795.7207429707,2018-01-13T16:12:06.262011Z
45,1795.9017936239,145881795.9017936289,2018-01-13T16:12:06.362011Z
46,1796.0827254669,145881796.0827254653,2018-01-13T16:12:06.462011Z
47,1796.2636573099,145881796.2636573017,2018-01-13T16:12:06.562011Z
48,1796.4445891530,145881796.4445891678,2018-01-13T16:12:06.662011Z
49,1796.6255209960,145881796.6255210042,2018-01-13T16:12:06.762011Z
50,1796.8064528390,145881796.8064528406,2018-01-13T16:12:06.862011Z
51,1796.9872658824,145881796.9872658849,2018-01-13T16:12:06.962011Z
52,1797.1681977255,145881797.1681977212,2018-01-13T16:12:07.062011Z
53,1797.3491295685,145881797.3491295576,2018-01-13T16:12:07.162011Z
54,1797.5300614115,145881797.5300614238,2018-01-13T16:12:07.262011Z
55,1797.7108744549,145881797.7108744383,2018-01-13T16:12:07.362011Z
56,1797.8918062980,145881797.8918063045,2018-01-13T16:12:07.462011Z
57,1798.0726193414,145881798.0726193190,2018-01-13T16:12:07.562011Z
58,1798.2535511844,145881798.2535511851,2018-01-13T16:12:07.662011Z
59,1798.4343642278,145881798.4343642294,2018-01-13T16:12:07.762011Z
60,1798.6151772712,145881798.6151772738,2018-01-13T16:12:07.862011Z
61,1798.7959903146,145881798.7959903181,2018-01-13T16:12:07.962011Z
62,1798.9769221576,145881798.9769221544,2018-01-13T16:12:08.062011Z
63,1799.1577352010,145881799.1577352285,2018-01-13T16:12:08.162011Z
64,1799.3385482444,145881799.3385482430,2018-01-13T16:12:08.262011Z
65,1799.5193612878,145881799.5193612874,2018-01-13T16:12:08.362011Z
66,1799.7001743312,145881799.7001743317,2018-01-13T16:12:08.462011Z
67,1799.8808685750,145881799.8808685839,2018-01-13T16:12:08.562011Z
68,1800.0616816184,145881800.0616815984,2018-01-13T16:12:08.662011Z
69,1800.2424946618,145881800.2424946427,2018-01-13T16:12:08.762011Z
70,1800.4233077052,145881800.4233077168,2018-01-13T16:12:08.862011Z
71,1800.6040019489,145881800.6040019393,2018-01-13T16:12:08.962011Z
72,1800.7848149923,145881800.7848150134,2018-01-13T16:12:09.062011Z
73,1800.9655092361,145881800.9655092359,2018-01-13T16:12:09.162011Z
74,1801.1463222795,145881801.1463222504,2018-01-13T16:12:09.262011Z
75,1801.3270165233,145881801.3270165324,2018-01-13T16:12:09.362011Z
76,1801.5078295667,145881801.5078295469,2018-01-13T16:12:09.462011Z
77,1801.6885238104,145881801.6885237992,2018-01-13T16:12:09.562011Z
78,1801.8692180542,145881801.8692180514,2018-01-13T16:12:09.662011Z
79,1802.0499122979,145881802.0499123037,2018-01-13T16:12:09.762011Z
80,1802.2306065417,145881802.2306065559,2018-01-13T16:12:09.862011Z
81,1802.4113007855,145881802.4113007784,2018-01-13T16:12:09.962011Z
82,1802.5919950292,145881802.5919950306,2018-01-13T16:12:10.062011Z
83,1802.7726892730,145881802.7726892829,2018-01-13T16:12:10.162011Z
84,1802.9533835168,145881802.9533835053,2018-01-13T16:12:10.262011Z
85,1803.1340777605,145881803.1340777576,2018-01-13T16:12:10.362011Z
86,1803.3146532047,145881803.3146532178,2018-01-13T16:12:10.462011Z
87,1803.4953474484,145881803.4953474402,2018-01-13T16:12:10.562011Z
88,1803.6760416922,145881803.6760416925,2018-01-13T16:12:10.662011Z
89,1803.8566171363,145881803.8566171527,2018-01-13T16:12:10.762011Z
90,1804.0373113801,145881804.0373113751,2018-01-13T16:12:10.862011Z
91,1804.2178868242,145881804.2178868055,2018-01-13T16:12:10.962011Z
92,1804.3984622683,145881804.3984622657,2018-01-13T16:12:11.062011Z
93,1804.5791565121,145881804.5791565180,2018-01-13T16:12:11.162011Z
94,1804.7597319562,145881804.7597319484,2018-01-13T16:12:11.262011Z
95,1804.9403074004,145881804.9403074086,2018-01-13T16:12:11.362011Z
96,1805.1208828445,145881805.1208828688,2018-01-13T16:12:11.462011Z
97,1805.3014582886,145881805.3014582992,2018-01-13T16:12:11.562011Z
98,1805.4820337327,145881805.4820337594,2018-01-13T16:12:11.662011Z
99,1805.6626091769,145881805.6626091599,2018-01-13T16:12:11.762011Z
100,1805.8431846210,145881805.8431846201,2018-01-13T16:12:11.862011Z
101,1806.0237600651,145881806.0237600505,2018-01-13T16:12:11.962011Z
102,1806.2043355093,145881806.2043355107,2018-01-13T16:12:12.062011Z
103,1806.3847921538,145881806.3847921491,2018-01-13T16:12:12.162011Z
104,1806.5653675979,145881806.5653675795,2018-01-13T16:12:12.262011Z
105,1806.7458242424,145881806.7458242476,2018-01-13T16:12:12.362011Z
106,1806.9263996865,145881806.9263997078,2018-01-13T16:12:12.462011Z
107,1807.1068563310,145881807.1068563461,2018-01-13T16:12:12.562011Z
108,1807.2874317751,145881807.2874317765,2018-01-13T16:12:12.662011Z
109,1807.4678884196,145881807.4678884149,2018-01-13T16:12:12.762011Z
110,1807.6483450641,145881807.6483450532,2018-01-13T16:12:12.862011Z
111,1807.8289205083,145881807.8289205134,2018-01-13T16:12:12.962011Z
112,1808.0093771527,145881808.0093771517,2018-01-13T16:12:13.062011Z
113,1808.1898337972,145881808.1898338199,2018-01-13T16:12:13.162011Z
114,1808.3702904417,145881808.3702904582,2018-01-13T16:12:13.262011Z
115,1808.5507470862,145881808.5507470965,2018-01-13T16:12:13.362011Z
116,1808.7312037307,145881808.7312037349,2018-01-13T16:12:13.462011Z
117,1808.9115415756,145881808.9115415812,2018-01-13T16:12:13.562011Z
118,1809.0919982201,145881809.0919982195,2018-01-13T16:12:13.662011Z
119,1809.2724548646,145881809.2724548578,2018-01-13T16:12:13.762011Z
120,1809.4529115091,145881809.4529115260,2018-01-13T16:12:13.862011Z
121,1809.6332493539,145881809.6332493424,2018-01-13T16:12:13.962011Z
122,1809.8137059984,145881809.8137059808,2018-01-13T16:12:14.062011Z
123,1809.9940438433,145881809.9940438569,2018-01-13T16:12:14.162011Z
124,1810.1745004878,145881810.1745004952,2018-01-13T16:12:14.262011Z
125,1810.3548383326,145881810.3548383415,2018-01-13T16:12:14.362011Z
126,1810.5351761775,145881810.5351761580,2018-01-13T16:12:14.462011Z
127,1810.7155140224,145881810.7155140340,2018-01-13T16:12:14.562011Z
128,1810.8959706669,145881810.8959706724,2018-01-13T16:12:14.662011Z
129,1811.0763085117,145881811.0763085186,2018-01-13T16:12:14.762011Z
130,1811.2566463566,145881811.2566463351,2018-01-13T16:12:14.862011Z
131,1811.4369842014,145881811.4369842112,2018-01-13T16:12:14.962011Z
132,1811.6173220463,145881811.6173220277,2018-01-13T16:12:15.062011Z
133,1811.7976598912,145881811.7976599038,2018-01-13T16:12:15.162011Z
134,1811.9778789364,145881811.9778789282,2018-01-13T16:12:15.262011Z
135,1812.1582167813,145881812.1582167745,2018-01-13T16:12:15.362011Z
136,1812.3385546261,145881812.3385546207,2018-01-13T16:12:15.462011Z
137,1812.5187736713,145881812.5187736750,2018-01-13T16:12:15.562011Z
138,1812.6991115162,145881812.6991114914,2018-01-13T16:12:15.662011Z
139,1812.8793305614,145881812.8793305457,2018-01-13T16:12:15.762011Z
140,1813.0596684063,145881813.0596684217,2018-01-13T16:12:15.862011Z
141,1813.2398874515,145881813.2398874462,2018-01-13T16:12:15.962011Z
142,1813.4202252964,145881813.4202252924,2018-01-13T16:12:16.062011Z
143,1813.6004443416,145881813.6004443467,2018-01-13T16:12:16.162011Z
144,1813.7806633868,145881813.7806633711,2018-01-13T16:12:16.262011Z
145,1813.9608824321,145881813.9608824253,2018-01-13T16:12:16.362011Z
146,1814.1411014773,145881814.1411014795,2018-01-13T16:12:16.462011Z
147,1814.3213205225,145881814.3213205338,2018-01-13T16:12:16.562011Z
148,1814.5015395677,145881814.5015395880,2018-01-13T16:12:16.662011Z
