index,doppler_offset,timestamp,measured_freq
0,2239.9675292969,2018-01-13T16:12:01.862011Z,145882239.9675292969
1,2232.4924316406,2018-01-13T16:12:01.962011Z,145882232.4924316406
2,2259.5556640625,2018-01-13T16:12:02.062011Z,145882259.5556640625
3,2238.6418457031,2018-01-13T16:12:02.162011Z,145882238.6418457031
4,2240.3088378906,2018-01-13T16:12:02.262011Z,145882240.3088378906
5,2220.3242187500,2018-01-13T16:12:02.362011Z,145882220.3242187500
6,2223.5891113281,2018-01-13T16:12:02.462011Z,145882223.5891113281
7,2226.8874511719,2018-01-13T16:12:02.562011Z,145882226.8874511719
8,2206.6520996094,2018-01-13T16:12:02.662011Z,145882206.6520996094
9,2231.0515136719,2018-01-13T16:12:02.762011Z,145882231.0515136719
10,2228.0427246094,2018-01-13T16:12:02.862011Z,145882228.0427246094
11,2228.2939453125,2018-01-13T16:12:02.962011Z,145882228.2939453125
12,2221.7893066406,2018-01-13T16:12:03.062011Z,145882221.7893066406
13,2244.0937500000,2018-01-13T16:12:03.162011Z,145882244.0937500000
14,2230.1110839844,2018-01-13T16:12:03.262011Z,145882230.1110839844
15,2230.9228515625,2018-01-13T16:12:03.362011Z,145882230.9228515625
16,2258.2639160156,2018-01-13T16:12:03.462011Z,145882258.2639160156
17,2241.3706054688,2018-01-13T16:12:03.562011Z,145882241.3706054688
18,2252.5065917969,2018-01-13T16:12:03.662011Z,145882252.5065917969
19,2233.2924804688,2018-01-13T16:12:03.762011Z,145882233.2924804688
20,2201.1979980469,2018-01-13T16:12:03.862011Z,145882201.1979980469
21,2193.0354003906,2018-01-13T16:12:03.962011Z,145882193.0354003906
22,2210.9279785156,2018-01-13T16:12:04.062011Z,145882210.9279785156
23,2199.4770507812,2018-01-13T16:12:04.162011Z,145882199.4770507812
24,2201.4645996094,2018-01-13T16:12:04.262011Z,145882201.4645996094
25,2216.2600097656,2018-01-13T16:12:04.362011Z,145882216.2600097656
26,2247.7309570312,2018-01-13T16:12:04.462011Z,145882247.7309570312
27,2265.2229003906,2018-01-13T16:12:04.562011Z,145882265.2229003906
28,2232.4638671875,2018-01-13T16:12:04.662011Z,145882232.4638671875
29,2214.2207031250,2018-01-13T16:12:04.762011Z,145882214.2207031250
30,2215.5610351562,2018-01-13T16:12:04.862011Z,145882215.5610351562
31,2197.3225097656,2018-01-13T16:12:04.962011Z,145882197.3225097656
32,2219.0141601562,2018-01-13T16:12:05.062011Z,145882219.0141601562
33,2213.6293945312,2018-01-13T16:12:05.162011Z,145882213.6293945312
34,2218.4660644531,2018-01-13T16:12:05.262011Z,145882218.4660644531
35,2232.0158691406,2018-01-13T16:12:05.362011Z,145882232.0158691406
36,2201.7687988281,2018-01-13T16:12:05.462011Z,145882201.7687988281
37,2177.0285644531,2018-01-13T16:12:05.562011Z,145882177.0285644531
38,2196.4738769531,2018-01-13T16:12:05.662011Z,145882196.4738769531
39,2166.1035156250,2018-01-13T16:12:05.762011Z,145882166.1035156250
40,2164.9611816406,2018-01-13T16:12:05.862011Z,145882164.9611816406
41,2193.7802734375,2018-01-13T16:12:05.962011Z,145882193.7802734375
42,2181.6557617188,2018-01-13T16:12:06.062011Z,145882181.6557617188
43,2192.4160156250,2018-01-13T16:12:06.162011Z,145882192.4160156250
44,2190.7182617188,2018-01-13T16:12:06.262011Z,145882190.7182617188
45,2217.3100585938,2018-01-13T16:12:06.362011Z,145882217.3100585938
46,2222.8581542969,2018-01-13T16:12:06.462011Z,145882222.8581542969
47,2252.4929199219,2018-01-13T16:12:06.562011Z,145882252.4929199219
48,2243.2609863281,2018-01-13T16:12:06.662011Z,145882243.2609863281
49,2279.7917480469,2018-01-13T16:12:06.762011Z,145882279.7917480469
50,2259.8933105469,2018-01-13T16:12:06.862011Z,145882259.8933105469
51,2238.6904296875,2018-01-13T16:12:06.962011Z,145882238.6904296875
52,2225.3898925781,2018-01-13T16:12:07.062011Z,145882225.3898925781
53,2193.5515136719,2018-01-13T16:12:07.162011Z,145882193.5515136719
54,2212.1848144531,2018-01-13T16:12:07.262011Z,145882212.1848144531
